COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	d a b a			
222-1	a b oː b o n e			
208-1	a b u d b u d u			
962-1	a g o ɾ l a			
203-1	a g u d i			
138-1	a ʔ l l			
504-1	d uː ʃ e			
662-1	m b ʃ a			
478-1	g o ɗ eː			
409-1	a ɾ e			
410-1	g u n m i			
256-1	m b l e			
622-1	n dʒ u			
546-1	n dʒ u			
547-1	s e a a ʔ			
847-1	n e n m ɪ g			
95-1	b oː ɗ i			
105-1	b eː n e			
510-1	b o ʃ e			
951-1	m b m ɾ e			
1116-1	m b m a			
149-1	m u o ʔ i			
376-1	m o l i			
815-1	k o ɾ a a			
453-1	d eː ɲ e			
67-1	d e ʃ e			
47-1	d o k o l a			
869-1	d ɔː l a			
57-1	k a k eː			
303-1	g o o ʔ i a			
443-1	g eː ɾ e			
884-1	g eː n t i			
166-1	g u n m i			
918-1	a b ɛ ɾ e			
831-1	m uː ʃ e			
616-1	b n e			
84-1	h o ʃ e l e			
346-1	h o l u l o			
601-1	o ɪ g i			
177-1	k ʔ a a a			
341-1	k ʔ o l a			
1066-1	d e n dʒ ɪ n a			
318-1	d eː s e			
241-1	m uː ʃ ʃ			
556-1	d a n dʒ u d u			
191-1	m e b o l			
458-1	a o ʔ i o ʔ i			
1-1	d a n m i ɾ			
751-1	d o			
864-1	a ɲ o n i			
154-1	a m a ɲ dʒ i			
278-1	a m i l u ʔ i			
766-1	s u ɾ a			
251-1	a k o d u			
582-1	o ʔ o ɲ			
6-1	a l i			
1106-1	ɲ k o			
473-1	m e n e			
1111-1	d o l u			
957-1	m b d e			
41-1	b i e			
24-1	d eː			
25-1	d b d e			
879-1	a b a ʔ a b e d			
837-1	m uː ʃ i			
233-1	m i b i o			
938-1	m u l a a			
369-1	a d e			
946-1	m ɪ ɲ g o			
889-1	mː ʔ l e			
820-1	a ʃ o ɾ e			
438-1	n ʃ e n e			
283-1	m a b ɗ e ɾ o			
52-1	h o			
842-1	d o o o ʃ e			
110-1	m i n t e i			
165-1	m a			
1007-1	mʷ ɲ g o l e			
1088-1	h o ʃ u l i			
