COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n a a a									
1285-1	n i a a									
1303-1	n g ɔ m a									
2197-1	s i a l a									
2828-1	s i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	ɔ n a									
1789-1	k a l a a n a a									
3207-1	k ʊ l a									
3519-1	t ʊ m a									
3686-1	a i m p a									
4249-1	k a m i									
4451-1	a i s i									
448-1	l ʊ a a n a									
630-1	k k ɛ l a									
814-1	n ɔ a m b a									
1216-1	g a a a l a									
1228-1	p i a a									
1418-1	s i m a a l a									
1475-1	g i a									
2026-1	t a i a									
2775-1	s a i m b a									
3397-1	k ɔ l a									
3826-1	s ɔ k a									
4003-1	i i i β a									
4040-1	g ɛ n i									
4373-1	l i m a									
4384-1	i n a									
84-1	s a k a l a									
116-1	i i k a									
181-1	g ɔ ɔ n g a									
419-1	l ɔ g a									
587-1	ɔ ɔ n g a									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	g i n a									
1159-1	n a									
1350-1	l j a a									
1374-1	n i a a n a									
1396-1	s ɔ l a									
1430-1	i i s a									
1666-1	t a a n a									
1767-1	k ɔ k a									
1906-1	i n g i l a									
2177-1	n g a l a									
2286-1	l a									
2317-1	ɔ ʊ l a									
2419-1	s a k a									
2750-1	i a s a									
3018-1	s i l a									
3275-1	k a a n a									
3441-1	s a a n g a									
3464-1	a ɔ n a									
3639-1	t ɛ t ɛ m a a a									
3885-1	s a m a									
3981-1	i i m a l a									
4192-1	s i a m l a									
4260-1	s i a a									
4350-1	l a ɛ l a a									
43-1	ɔ i ɔ l a									
93-1	a ɔ n a									
200-1	β i a									
374-1	a a a l a a a									
459-1	l a m a									
508-1	p ɔ l a									
528-1	β i l a									
575-1	t a a									
871-1	ɔ i m a									
1137-1	a i g a									
1339-1	t a i a									
1585-1	a a l a									
1712-1	k ɔ l a									
1872-1	p ɔ a									
2088-1	i i s a									
2166-1	s u i m b a									
2334-1	i i g a									
2393-1	m a n a									
2537-1	l ɔ m a									
2665-1	i a n g i									
2738-1	β a ɛ l a									
2872-1	k a s a									
2893-1	ɔ i k ʊ a									
2997-1	g a i n s a									
3075-1	k u l a b a									
3675-1	l a a a l a									
4028-1	ɔ a a									
4137-1	m a l a									
4238-1	i i s a s a									
4316-1	t ɔ t a									
4429-1	p a s a									
4440-1	β i l a									
4485-1	s a									
4574-1	β u a a l a									
4688-1	ɔ ɔ ɔ l a									
143-1	s a a									
240-1	ɔ i g a									
388-1	s a a a m a									
401-1	i a									
599-1	t a a m l a									
649-1	l ɛ ɛ t a									
755-1	g u l a									
836-1	s u a m b a									
969-1	ɔ s a									
994-1	ɔ ɔ ɔ a l a									
1006-1	k u ɔ ŋ g a									
1032-1	l ɔ l ɔ l a									
1043-1	ɔ a l a									
1110-1	t ɛ m a									
1263-1	t a p a									
1273-1	l ɔ ɔ t a									
1329-1	i a a a l a									
1362-1	g i a									
1606-1	ɔ ɔ t a									
1617-1	ɔ i k a									
1629-1	ɔ a i a									
1744-1	i i a a									
1895-1	l a									
1917-1	a a m a									
1969-1	ɔ a a l a									
1989-1	s a g a									
2037-1	n k a t a									
2128-1	g a i m b a									
2186-1	g a n a									
2483-1	k a l a									
2592-1	l ɔ l a									
2615-1	t a a									
2700-1	g a a n l a									
2784-1	g ʊ l a									
2797-1	l ɔ m a									
2884-1	a p j a a									
2904-1	g ɛ ɛ n a a a									
2972-1	s a a									
3030-1	l i p a									
3148-1	i t a									
3160-1	l u i a									
3261-1	t a t a									
3364-1	s ɔ t a									
2689-2		n a m a								
893-2		a a n a a								
1303-2		n k o m a								
2197-2		s v a l a								
2828-2		s i n a								
3572-2		s o n a								
1095-2		l i m a								
1789-2		k a l a a n g a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		s i m b a								
4249-2		k u m a								
4451-2		v i s a								
448-2		t u a a g a								
630-2		v e e l a								
814-2		n o o m b a								
1216-2		g a v a l a								
1228-2		p u a a								
1418-2		s i m a a g a								
1475-2		k n a								
2026-2		t u i a								
3826-2		s o k a								
4003-2		s i v a								
4373-2		l u m a								
4384-2		i n a								
84-2		s u g u l a								
116-2		s i k a								
419-2		l o g a								
587-2		o o n g o								
660-2		l a l a								
848-2		k a l a								
