COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ³³									
236-1	ts o ³³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts i ⁴⁴									
400-1	ʂ u ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	t u ⁴²									
534-1	ts ou ⁴⁴									
556-1	k u ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ³³									
599-1	pʰ e ⁵⁵									
656-1	k u ²¹									
678-1	k u ²¹									
689-1	m i ⁴⁴									
700-1	m e ³⁵									
775-1	p j e ³⁵									
786-1	k e ⁵⁵									
820-1	ts o ²¹									
839-1	t ɯ ²¹									
863-1	k u ³³									
896-1	k ə˞ ³⁵									
929-1	ʂ i ³¹									
1015-1	ʂ o ³³									
1035-1	k u ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ³⁵									
1252-1	j o ²¹									
1294-1	k u ŋ ³⁵									
1326-1	tɕ i ³³									
1348-1	tɕ i ²¹									
1401-1	s e ŋ ⁴²									
1451-1	ʂ i ³³									
1473-1	t w e n ³⁵									
1507-1	ts i ⁵⁵									
1532-1	k ɯ ⁵⁵									
1543-1	ʂ ɯ ³³									
1575-1	ʂ j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ʂ i ³³									
1731-1	ʂ j o ³⁵									
1762-1	s w o ⁴²									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	ʂ i ²¹									
1816-1	ʂ o ³³									
1862-1	ʈʂʰ i ⁵⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	ʂ j e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k u ŋ ³⁵									
2051-1	ts o ²¹									
2074-1	k o ŋ ²¹									
2085-1	m ə˞ ³⁵									
2130-1	p e ⁴⁴									
2245-1	k u ⁴²									
2269-1	m e ³⁵									
2280-1	ʂ u ²¹									
2291-1	s e n ⁴²									
2316-1	tɕ i ⁴⁴									
