COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h ɛi							
5-1	h a							
4-1	tʰ ɛ k							
6-1	dʑ a ŋ							
15-1	dʑ ɛi							
55-1	l ɛi							
56-1	u							
60-1	h ɛi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ ɛi							
86-1	pʰ a a							
92-1	pʰ a a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d ɛi							
107-1	pʰ a a							
112-1	pʰ ɔ							
115-1	ɕ							
114-1	t ɔ							
120-1	t ɛi							
124-1	u							
125-1	tʰ ɔ k							
132-1	h i							
131-1	r i ŋ							
136-1	h ɛi							
134-1	kʰ a k							
137-1	u							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɛi							
149-1	z i t							
153-1	ɕ							
152-1	kʰ ɛ ŋ							
158-1	dʑ i s							
163-1	l ɛi							
164-1	h u							
167-1	pʰ a							
171-1	z u ŋ							
172-1	b u k							
173-1	tʰ ɔ n							
183-1	l ɛi							
185-1	m a							
188-1	kʰ u ŋ							
189-1	ts u							
193-1	h ɛi							
196-1	m a n							
199-1	ɕ ɛi							
200-1	kʰ a							
201-1	kʰ ɛi							
202-1	kʰ ɔ t							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	w a ŋ							
117-1	b u							
146-1	dʑ i t							
219-1	h u							
218-1	tɕʰ ɛi							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a t							
255-1	h a s							
260-1	b ɛi							
263-1	l ɛi							
269-1	dʑ a ŋ							
271-1	tʰ a k							
209-1	dʑ i t							
277-1	m ɛ n							
278-1	b ɔ ŋ							
135-1	d ɛi							
284-1	m u							
797-1	u							
290-1	z i							
289-1	dʑ i k							
296-1	ɲ ɛi							
310-1	ɕ a							
319-1	u							
325-1	l ɛi							
327-1	h ɛi							
331-1	h ɛi							
337-1	b ɛ ŋ							
338-1	z i ŋ							
339-1	a s							
350-1	kʰ ɛi							
349-1	d u ŋ							
357-1	tɕʰ a							
355-1	u							
363-1	dʑ ɛ n							
361-1	t ɛi							
365-1	dʑ a ɛi							
364-1	dʑ ɛ t							
375-1	l ɔ k							
379-1	dʑ ɛ t							
380-1	kʰ ɛi							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	z u m							
409-1	l j ɛ k							
410-1	ɕ u k							
415-1	b ɛi							
416-1	b u							
101-1	h a							
37-1	kʰ ɛi							
424-1	b ɛi							
434-1	tɕʰ a							
445-1	p							
446-1	ɕ i							
451-1	t ɛi							
457-1	dʑ a m							
456-1	b a a							
464-1	b i ŋ							
473-1	ɕ a							
474-1	ɔ ŋ							
479-1	z ɔ ɛi							
489-1	j ɛi							
490-1	j a ŋ							
494-1	ɕ a							
503-1	h ɛi							
502-1	z a ŋ							
235-1	z u ŋ							
519-1	l ɛi							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	s							
544-1	w a m							
850-1	a							
554-1	dʑ ɛi							
553-1	d u ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p ɛi							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	u							
582-1	l a							
585-1	a t							
589-1	kʰ u m							
593-1	d ɛ ŋ							
594-1	l u ŋ							
595-1	t u ŋ							
596-1	h ɔ k							
598-1	ʑ a k							
599-1	d ɛ m							
602-1	ɕ ɛi							
603-1	l a p							
606-1	s u ɛi							
605-1	b ɛi							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɛi							
646-1	r i ŋ							
168-1	h j ɛ k							
658-1	dʑ ɔ							
665-1	b a							
668-1	h a							
677-1	t a ŋ							
75-1	d ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ							
493-1	ɕ u							
693-1	ɕ a							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	ɕ ɹ							
710-1	t u p							
714-1	m ɛ t							
718-1	kʰ u							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i							
726-1	dʑ i ŋ							
729-1	b							
730-1	d ɛi							
739-1	pʰ a a							
740-1	b ɛi							
741-1	kʰ ɔ k							
744-1	u							
743-1	dʑ a							
746-1	pʰ ɔ ŋ							
748-1	tʰ i k							
747-1	kʰ u							
749-1	kʰ ɛ ŋ							
751-1	t a n							
762-1	m ɛ							
764-1	dʑ a ŋ							
765-1	dʑ ɛi							
788-1	h u m							
615-1	l a k							
803-1	ɕ a							
802-1	z a k							
808-1	b ɛi							
809-1	ts ɛi							
819-1	d u k							
821-1	ɕ a							
820-1	b ɛi							
828-1	dʑ a k							
827-1	p u							
835-1	h ɛi							
308-1	d u							
844-1	ʑ i k							
848-1	m ɛi							
705-1	l a							
613-1	u							
649-1	h j ɛ k							
876-1	ɕ ɛi							
878-1	j ɔ							
889-1	h a m							
898-1	z u k							
902-1	h a ŋ							
910-1	u ɛi							
916-1	l ɛi							
919-1	l ɛi							
922-1	dʑ i s							
930-1	ɕ u							
933-1	h ɛi							
939-1	r ɛ k							
947-1	j ɛ ŋ							
948-1	h a ŋ							
963-1	ɕ a							
967-1	tɕʰ u k							
969-1	ɕ							
970-1	dʑ ɔ t							
972-1	h ɛi							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h a s							
979-1	dʑ ɛ ŋ							
182-1	kʰ u							
993-1	ɲ a m							
994-1	ɛi u							
1001-1	ɕ a							
1002-1	d a k							
1005-1	tɕʰ u ɹ							
1009-1	kʰ ɛi							
1022-1	ɕ a							
1021-1	dʑ ɔ k							
1043-1	d u ŋ							
1049-1	t u s							
1065-1	dʑ i ŋ							
1068-1	j u							
1077-1	z u ŋ							
1081-1	l a m							
1084-1	dʑ ɔ ŋ							
1092-1	m ɛi							
1091-1	tɕʰ u							
1096-1	h ɛi							
1097-1	h u							
1102-1	h ɛi							
1104-1	tʰ ɔ ŋ							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɛi							
1116-1	ɕ a n							
722-1	kʰ ɛi							
1141-1	j a ŋ							
1147-1	p ɛi							
1146-1	z u							
1150-1	h j a ŋ							
1151-1	ɔ ɛi							
1158-1	dʑ a k							
1159-1	pʰ u							
1164-1	h ɛi							
1163-1	l a							
1167-1	dʑ a ŋ							
1171-1	l ɛi							
1177-1	tɕʰ u k							
1187-1	kʰ ɛi							
1189-1	dʑ i ŋ							
52-1	kʰ ɛi							
1195-1	z i							
1203-1	tʰ u k							
1211-1	j ɛi							
329-1	w ɛi							
1217-1	m ɛ n							
72-1	kʰ ɛi							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ ɹ							
1229-1	dʑ a							
1238-1	d a ŋ							
1249-1	h ɛi							
1252-1	j a							
1254-1	h a m							
1253-1	z u ŋ							
1257-1	kʰ a s							
1263-1	dʑ ɛi							
1266-1	dʑ a k							
584-1	t ɔ							
7-1	w ɛi							
1191-1	l j a							
13-1	tɕʰ a							
18-1	b a							
33-1	h ɛ s							
74-1	tʰ a ŋ							
81-1	ts a ŋ							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i							
122-1	kʰ u s							
121-1	m a							
154-1	tɕʰ a							
159-1	ɕ a							
161-1	tɕʰ ɛi							
170-1	dʑ ɛ t							
91-1	u							
181-1	n u							
186-1	dʑ ɛi							
191-1	ɕ ɛi							
217-1	kʰ a							
221-1	h ɛi							
252-1	ts ɛ ŋ							
253-1	j a m							
261-1	b ɛi							
262-1	w u							
281-1	ts a k							
287-1	h a ŋ							
288-1	h a							
292-1	dʑ ɔ k							
297-1	kʰ ɔ k							
311-1	kʰ ɛi							
332-1	b ɛi							
358-1	d ɔ ŋ							
366-1	dʑ ɛi							
378-1	tɕʰ a t							
382-1	m u							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a ŋ							
477-1	d u							
478-1	l u							
481-1	dʑ a p							
483-1	z ɛ							
511-1	kʰ							
525-1	tɕʰ i							
542-1	dʑ u ŋ							
638-1	ɲ ɔ ŋ							
656-1	z ɛi							
657-1	d u ŋ							
659-1	d u							
711-1	tɕʰ u							
745-1	ɲ i m							
818-1	tʰ ɔ k							
825-1	tʰ ɛi							
839-1	tɕʰ a							
841-1	h a							
894-1	b u							
932-1	ɕ							
1-2		b yː						
5-2		n a						
4-2		tʰ ɛ k						
6-2		n a ŋ						
15-2		dʑ yː						
55-2		j a						
56-2		a						
60-2		z ɛː						
61-2		kʰ y ŋ						
