COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
267											ʔ ɨ n g w ə r ə g ɨi̯							w ə l ə n g aː j a	
277															ʔ ɨ d ə g o t			ʔ a d ə g ə	ʔ a d ə g ə
347						ʔ ɨ fː o										ʔ a f o			
207	dʒ o r o	dʒ o r o																	
363															ʔ ai̯ n ə k o				ʔ ai̯ k u
312												ʔ ə r ə dː a m		ʔ ə r ə dː a m		r ə d ɨ ʔ a			
501			m a t ə g a	ʔ ɨ mː a t ə g	ʔ ɨ mː a t i n g i			h ɨ m ə g a								ʔ ɨ b h a m g ə m			
643	g a r				g i		g a m w ə	g a m w a			g ə z j ə	g oi̯		g e					
81						ʔ ɨ g w ə l t										ʔ ɨ g a l			
536	j a				z a							z a	z a	z a					
13		m ə kː a tʃː a	m ə t a g ə tʃ a																
58																		dʒ ə b ə	dʒ ə b a
641	s ə fː i	s ə f i															g ə fː i ħ		s ə fː i
566										r o g i					r a n dʒ i			r a n dʒ i	
495		tʃ ə h e d	tʃʼ e t		tʃʼ e t		tʃʼ e t	tʃʼ e t					tʃʼ e t						
213	ʔ a r aː ʃ	ʔ a r aː ʃ								ħ a r aː ʃ i		ʔ a r a ʃ	ʔ a r a ʃ		ʔ a r aː ʃ i	ħ ə r ə s t ai̯	ħ a r ə s t ai̯	ʔ a r a ʃ	ʔ a r aː ʃ i
498			m ə tʃʼ ə kʼ ə m					m ə tʃʼ ə kʼ ə m				m o tʃʼ ə kʼ ə m	m e tʃʼ ə kʼ ə m		b o tʃʼ ə kʼ ə			b o tʃʼ ə kʼ ə	
250	t ə w ə	t ə w ə	w ə t e		w ə t e		t a b o t	w ə t e			ʔ ə t ə ʔ u t			w ə t e					
418		b ə r b ə r e				b ə r b ə rː e				b ə r b ə r i						b ə r b ə r e	b ə r b ə r ə	b ə r b ə r e	b ə r b aː r i
609			ʔ ɨ x a	ʔ ɨ x ə	ʔ ɨ x a		ʔ ɨ x a	ʔ ɨ x a	ʔ i x a		ʔ ɨ x a	j i g a	ʔ ə g a	ʔ ɨ g a					
445	h a b t a m	d ə m a m															h a b t a m		
523															ʃ ɨ b ə t			ʃ ɨ b ə t	ʃ i b ai̯
463				b ə ʔ ə d							b ə ʔ ə d								
298			h u t		h u t	w ɨ ʔ ɨ t u	x u t	h u t	x u t a		h u d a		h u t i			h ɨ t u			ʔ u t
