COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	s ɔ n			
2054-1	d ɔ n ə r			
1375-1	l ɛɪ x ts			
760-1	w ɛ n t			
756-1	s n aː			
726-1	m ɔ n ə			
1351-1	x r ɛɪ n n t f aː ə			
1353-1	x r ɛɪ n + m oː r ə			
412-1	v aː ɔ n ə r +			
406-1	s x r l s r + m			
1005-1	s t eː p ɔ f aː d ə			
1012-1	s t ɪ p + m oː r ə			
1016-1	w ɛ t yː			
1069-1	ɛɪ x			
509-1	v aː l ə			
693-1	m ɑu l l t			
2179-1	n eː s t			
1753-1	v ɪ s k			
1131-1	w ɔ l f			
1198-1	b ɑ r			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h ɛ t ts			
1534-1	l eː k ə			
384-1	z uː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛɪ ə ə			
1385-1	z ɛɪ t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n t			
1970-1	v l l			
1230-1	d r ʉ t k			
2017-1	n ɑ w			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə			
829-1	k l ɪ p			
1025-1	w ɑ t ə ə			
1027-1	z ɛɪ			
1832-1	r oː w			
-1816-1	œy t aː			
-335-1	l ɑ x aː n			
1043-1	œy t r oː m			
1469-2		s ɔː n d		
2047-2		s ʌ n		
2054-2		d n n d ə		
1375-2		l ɪ t		
760-2		w aɪ n		
756-2		s n eɪ		
726-2		m aʊ ð		
1351-2		ɡ r aɪ + f f ɑː ð		
1353-2		ɡ r aɪ t l k aʊ ð		
412-2		s ʌ n + l r		
406-2		s ʌ n + ə k		
1005-2		s t + p f ð		
1012-2		s t ɪ p ŋ k aʊ ð		
1016-2		w ɛ d		
1069-2		ɪ k		
509-2		f əʊ l		
693-2		m ɪ l ɪ d		
2179-2		n ɛ k		
1753-2		f aɪ b		
1131-2		w ɔ l		
1198-2		b ɛ r d		
2032-2		h ɔː n		
2241-2		n əʊ		
2244-2		l ɪ b		
610-2		b iː n iː		
945-2		h ɛ r		
1534-2		l ɪ		
384-2		s aɪ l		
1650-2		n ʌ t		
1663-2		s ɔː l		
2279-2		l aɪ n		
471-2		s əʊ		
1385-2		s ɛ d aɪ		
792-2		s ɪ k		
1111-2		m æ s		
197-2		s ʌ d		
2020-2		l æ ŋ		
867-2		h aɪ n d		
1970-2		f ʊ l		
1230-2		d r ɪ t		
2017-2		n ɪ w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h aʊ l̩		
829-2		k l ɪ b		
1025-2		w ʊ t r		
1027-2		s eɪ		
1832-2		r aɪ		
-1816-2		ɔ t eɪ n		
-335-2		l eɪ + ʌ t		
1043-2		s t r əʊ m		
1469-3			ʃ ɔ z	
2047-3			ʀ ɔ z	
2054-3			t t ɛ	
1375-3			l ə	
760-3			p ə k	
756-3			ʀ ɔ s t	
726-3			p p ʀ o	
1351-3			ʀ ʀ a ɔ ʀ	
1353-3			ʀ ʀ a p ʀ o	
412-3			t ɔ o z i ə k	
406-3			t ɔ t z i ə k e	
1005-3			t ɔ ʀ o ə f o	
1012-3			t ɔ ʀ o ɑ̃ k p ʀ o	
1016-3			ʀ ə v z ɛ ʀ	
1069-3			i	
509-3			p l e	
693-3			k e ɔ ʀ	
2179-3			ʀ ɔ t i ʀ	
1753-3			p ə k	
1131-3			e ə l	
1198-3			ʀ ɔ k	
2032-3			o	
2241-3			ʀ s t	
2244-3			l ə p	
610-3			ʀ ə	
945-3			ɑ̃ a	
1534-3			l ə k	
384-3			ʃ ɔ k	
1650-3			ʀ ɛ	
1663-3			ʀ ɔ t	
2279-3			l k	
471-3			ʀ o e	
1385-3			ʀ u	
792-3			e t k	
1111-3			ʀ ɔ t i ʀ	
197-3			ʀ ɔ t e	
2020-3			l a	
867-3			t ʀ o	
1970-3			p l	
1230-3			t k t i	
2017-3			ʀ	
1469-4				z a n t
2047-4				z ʊ n
2054-4				t ʊ n t ə r
1375-4				l ɪ x t ə
760-4				v ɪ n t
756-4				ʃ n + ə
726-4				m ʊ t ə r
1351-4				ɡ r n t t ə f t ə
1353-4				ɡ r ai t + m ʊ d ə
412-4				z a r n ə n
406-4				ʃ ʊ n t r n d +
1005-4				ʃ t ai f ə f t ə
1012-4				ʃ t iː p + m ʊ d ə
1016-4				v ɪ t ɔy ə
1069-4				au x
509-4				f uː l ə n
693-4				m au s l ə
2179-4				n ɛ s t
1753-4				f ɪ s
1131-4				v ɔ l f
1198-4				b ɪ r t
2032-4				h oː r
2241-4				n a s
2244-4				l ɪ p
610-4				k aː iː n
945-4				h ɛ r t
1534-4				l ɪ ə
384-4				z ʊ k ə
1650-4				n ʊ t
1663-4				z au l t
2279-4				l ɪ n ə n
471-4				z eː ə n
1385-4				z aː t t
792-4				j uː k
1111-4				m a s t
197-4				z uː d ə
2020-4				l a ŋ
867-4				h ʊ n d t
1970-4				f ɔ l
1230-4				t ɪ r t x n
2017-4				n au z r
968-4				v ɪ r t l
1674-4				l a n t
1671-4				h ʏ f ə l
829-4				k l ɪ p
1025-4				v aː t ə r
1027-4				z eː
1832-4				r ʊ f
-1816-4				a ʃ ə ə
-335-4				l aː ɡ ʊ n ə n
1043-4				ʃ t r ɔy m
