COGID	1	10	2	3	4	5	6	7	8	9
2689-1	f a m a									
893-1	a a n d a a									
1285-1	l a i									
1303-1	l g a m a									
2197-1	z l a l a									
2828-1	g i n a									
3572-1	g a n									
1095-1	l a m a									
1755-1	w l u									
1789-1	k i l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	k a m a									
3686-1	a i m b a									
4249-1	t ʊ m a									
4451-1	β a l a									
448-1	l ɔ ŋʰ i l a									
630-1	l ɛ ɛ l a									
814-1	g a ɛ m b ɛ									
1216-1	g ɔ β i b a									
1228-1	p i l a									
1418-1	s ɔ β ʊ n a a									
1475-1	g i i									
2026-1	t a ɛ i									
2775-1	g ʊ ɛ m b i									
3397-1	β i l a									
3826-1	s a k a									
4003-1	i i ʊ n a									
4040-1	g ɛ n a									
4373-1	l i l i									
4384-1	i l a									
84-1	s u g a m a									
116-1	f a ɛ a									
181-1	n ɛ á ŋ g ʊ									
419-1	ʊ i h a									
587-1	a ɔ n g a									
660-1	β a l a									
848-1	k a m a									
1083-1	β a l a									
1122-1	g ɔ m ɔ									
1159-1	m a									
1350-1	l a a a									
1374-1	s n ʊ a n a									
1396-1	z a m a									
1430-1	i l m a									
1666-1	l u a l a									
1767-1	g u l a									
1906-1	i s g a a a									
2177-1	s g a h a									
2286-1	l a									
2317-1	β ʊ k a									
2419-1	ʃ a ɛ a									
2750-1	ɛ a z i									
3018-1	ʃ a l a									
3275-1	k a ɛ l a									
3441-1	s a a m g i									
3464-1	ʃ ɔ n a									
3639-1	t ɔ l ɔ m ɛ a a									
3885-1	l a m									
3981-1	ɔ ɔ m i ŋ a									
4192-1	s i i m b a									
4260-1	β i a a									
4350-1	l ɛ ɛ l b i									
43-1	b ɔ ɔ m a									
93-1	m i n a									
200-1	β i i									
374-1	ɲ a a l ɔ l a									
459-1	l ɔ m ɔ									
508-1	k ɔ g a									
528-1	g i l a									
575-1	t ɛ ɛ									
871-1	l u l a									
1137-1	β ɛ g a									
1339-1	p ʊ i i									
1585-1	a a l a									
1712-1	k ɔ l ɔ									
1872-1	p w k									
2088-1	g a n a									
2166-1	g ʊ á m b i									
2334-1	g a a									
2393-1	g a n a									
2537-1	l a m a									
2665-1	i ʊ n b a									
2738-1	l ɛ ɛ l a									
2872-1	k a s i									
2893-1	k i k ɔ a									
2997-1	g i ɛ m b a									
3075-1	k u l a g a									
3675-1	l l ɛ a a a									
4028-1	t ɛ ɛ									
4137-1	m a l a									
4238-1	u p s i z i									
4316-1	ɔ t a									
4429-1	i a s a									
4440-1	β a l a									
4485-1	s ʊ									
4574-1	l ʊ ʊ a l a									
4688-1	ɔ ɔ m a a									
143-1	ʃ u t									
240-1	ɔ ʊ g a									
388-1	n n g ʊ m a									
401-1	z i									
2689-2		w i m a								
893-2		o a n d d a								
1303-2		n k o m a								
2197-2		n g á l a								
2828-2		n o l a								
3572-2		s o n a								
1095-2		l u m a								
1789-2		v o l a a ŋ g a								
3207-2		w u l a								
3519-2		g u s a								
3686-2		a i m b a								
4249-2		b u m i								
4451-2		v iː n a								
448-2		m u a p l a								
630-2		v l á l a								
814-2		n a o m b a								
1216-2		dʒ a p l k a								
1228-2		p j a a								
1418-2		s á l a n a a								
1475-2		k w a								
2026-2		t e i								
3826-2		t u t a								
4003-2		n o o n a								
4373-2		v o l a								
4384-2		á l a								
84-2		s u g j m a								
116-2		w u t a								
419-2		w iː v a								
587-2		o a ŋ g o								
660-2		n iː m a								
848-2		k e l a								
1122-2		w iː n a								
1159-2		s a								
1350-2		w j a a								
1374-2		n d l a n a								
1906-2		o s g i l a								
2419-2		w e t a								
2750-2		l u l a								
3441-2		s o o ŋ g a								
3464-2		n iː n a								
3639-2		dʒ a a a m b p a								
3981-2		a o l a l a								
4192-2		dʒ a a m b i								
4350-2		l o á l a a								
278-2		l o								
3971-2		g u m a								
55-2		t u m a								
43-2		s e g p a								
93-2		k w n a								
459-2		iː n a								
1137-2		v á g a								
1585-2		e u n a								
1872-2		p e a								
2166-2		a a m b a								
2872-2		t o l a								
2997-2		dʒ a á n s a								
3075-2		w l l a g a								
3675-2		w á j a a a								
4137-2		w u n a								
4238-2		l u g j l a								
4316-2		t iː t a								
4574-2		w l l a l a								
3067-2		s t u								
3531-2		á a n i n a								
1033-2		s a n a o o o a								
3185-2		s o i k a								
794-2		d a e p k a								
143-2		n a a								
240-2		l a g a								
388-2		l a g a m a								
