COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t									
56-1	o m i									
96-1	a t									
99-1	a r i s a									
114-1	t o k									
115-1	o z									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a ʔ									
2-1	o m a									
65-1	i w									
74-1	p a n a									
52-2		e t e ʔ								
56-2		i m e								
96-2		a r a ʔ								
99-2		a r i k e m								
114-2		t e k i s i								
115-2		i r i s i								
133-2		t i p r a s i								
144-2		a a r a s i								
150-2		k a								
234-2		k e m								
236-2		p a k i n ʔ								
241-2		a i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		i k s i								
52-3			t i a							
56-3			i m e							
96-3			a t a t							
99-3			a t i r a m t							
114-3			t o h o tʃ i							
115-3			t i r i tʃ i							
133-3			tʃ e p a r a tʃ e							
144-3			t o w a tʃ e							
150-3			k a w							
234-3			h o n							
236-3			p h o n							
241-3			a w i n							
249-3			i h i							
1-3			w a e							
2-3			i n							
65-3			a w i							
93-3			t p a r i tʃ e							
95-3			w a d							
52-4				i t i						
56-4				u m e						
96-4				a i t						
99-4				a r i						
114-4				t o k						
115-4				u r						
133-4				t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ i						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n a						
93-4				t o p a r						
95-4				j a						
52-5					a t a					
56-5					i m e					
96-5					a r a s i					
99-5					a r i w e n					
114-5					t o k i s i					
115-5					i r e s i					
133-5					t i p r a s i					
144-5					a w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					w i m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					j i t i i					
52-6						t a t a				
56-6						a m i				
96-6						p a j i tʃ i				
99-6						a j a j a m t i				
114-6						u k u tʃ i				
115-6						t a r a tʃ i				
133-6						tʃ i p a j a tʃ i				
144-6						a t a j a tʃ i				
150-6						k a j				
234-6						k u				
236-6						p i k a n i				
241-6						a j i n				
249-6						i tʃ i				
1-6						j a tʃ a				
2-6						a m				
65-6						a j u p i				
74-6						p a m a				
93-6						t u p a j i tʃ i				
95-6						j i i tʃ i				
52-7							i t i			
56-7							i m i			
96-7							a a t			
99-7							a r i j a			
114-7							t u k ʃ i			
115-7							o r ʃ i			
133-7							t i p a s i			
144-7							a t a w a ʃ a			
150-7							k a w			
234-7							k o m			
236-7							p i k n			
241-7							a w i n			
249-7							i h i			
1-7							w a t a			
2-7							w i m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i ʃ a			
95-7							w i k i			
52-8								i p i		
56-8								u m e		
96-8								r a		
99-8								r e e m		
114-8								t o k i s i		
115-8								e r i s i		
133-8								t i p r a s i		
144-8								a r a r a s i		
150-8								k a		
234-8								k o		
236-8								p a k i m		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								i m		
65-8								i v		
74-8								p a m a		
93-8								t u p a r i s i		
95-8								j e t		
52-9									i t i	
56-9									i m i	
96-9									a r a ʃ i ʔ	
99-9									a r i t a	
114-9									t o k i ʃ i ʔ	
115-9									i r i ʃ i ʔ	
133-9									t i p r a n i ʔ	
144-9									a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ i	
1-9									w a t a ʔ	
2-9									e m	
65-9									i w	
74-9									p a n a	
93-9									t u p a r i ʃ i ʔ	
95-9									w i k i	
52-10										tʃ e ʔ
56-10										m e ʔ
96-10										a r a n ʔ
99-10										a r i k o n
114-10										t o k o tʃ i ʔ
115-10										r tʃ i ʔ
133-10										t i p a r a tʃ i ʔ
144-10										a a w a tʃ i ʔ
150-10										k a w ʔ
234-10										k o m
236-10										p i k i n ʔ
241-10										a w i
249-10										tʃ e ʔ
1-10										w a tʃ a
2-10										i m
65-10										w
74-10										p a n a
93-10										t o p o r i tʃ i
95-10										w i k i ʔ
