COGID	dutch	english	french	german
1469-1	z ɑu d			
2047-1	z oː m ə t			
2054-1	d oː n d ə r			
1375-1	l iː ɪ k t t t			
760-1	w ɪ n t			
756-1	s n aː t			
726-1	m oː t r			
1351-1	x r ə n t + v ɑ t r			
1353-1	x r ə n + m oː t r			
412-1	s ɛɪ x ə s + v ɑ t r + ə n +			
406-1	s ɛɪ x ə + m oː t r + ə n +			
1005-1	s t ɛɪ b t + v ɑ t r			
1012-1	s ɛɪ p + m oː t r			
1016-1	w ɪ d s			
1069-1	t ɪ k			
509-1	v ɔ l iː ə n			
693-1	m ɑu w l iː t t ɛɪ s			
2179-1	n eː s t			
1753-1	t f ɪ s x t			
1131-1	w ɔ l iː f t			
1198-1	b ʉ ə			
2032-1	h ɔ n			
2241-1	n aː z			
2244-1	l iː ɪ p t			
610-1	t n ɛɪ			
945-1	h ɛ t			
1534-1	l iː ɑ ə n			
384-1	z oː k ə n			
1650-1	n t oː t			
1663-1	z ɑ l iː t			
2279-1	l iː ɛɪ n ə n			
471-1	z oː t ə n			
1385-1	z aː t t d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d n			
2020-1	l iː ɑ ŋ			
867-1	h oː n d ə t			
1970-1	v ɔ l iː t			
1230-1	d r t ʉ d t ə t			
2017-1	n t			
968-1	w Ø l iː			
1674-1	l iː ɛ m			
1671-1	h Ø ə l iː			
829-1	l iː ɪ f ə			
1025-1	w ɑ ə			
1027-1	z ɛ			
1832-1	oː v			
-1816-1	oː Ø eː Ø n			
-335-1	l iː ə x uː m ə			
1043-1	s oː m			
1469-2		s ɑː n		
2047-2		s ɔ n +		
2054-2		t ɔ n t r		
1375-2		l aɪ + +		
760-2		w aɪ n t		
756-2		ʃ n		
726-2		m uː θ ə r		
1351-2		ɡ r ʌ t + v ɑː θ ə r		
1353-2		ɡ r ʌ t + m uː θ ə r		
412-2		ʃ əʊ ɡ ʌ n + p ɑː θ ə r		
406-2		ʃ əʊ n + m uː θ ə r		
1005-2		ʃ ə əʊ + v ɑː θ ə r		
1012-2		ʃ v + m uː θ ə r		
1016-2		w ɛ θ əʊ w ə n + əʊ		
1069-2		+ ɪ tʃ		
509-2		p ɪ l ə n̩		
693-2		m ʌ l + + s ə		
2179-2		n aɪ s t		
1753-2		+ p aɪ s +		
1131-2		w ɔ l v +		
1198-2		b ɑː r		
2032-2		h ɔ n		
2241-2		n s ə		
2244-2		l aɪ p + ə		
610-2		tʃ + n ə		
945-2		h æ r t		
1534-2		l ɪ tʃ n̩		
384-2		s ʌ ɡ n̩		
1650-2		n + ʌ t		
1663-2		s æ l		
2279-2		l aɪ n ə n̩		
471-2		s ɑː n̩		
1385-2		s ɑː + +		
792-2		Ø ɪ tʃ		
1111-2		m ɑː s t		
197-2		s θ ə n̩		
2020-2		l ɑː ŋ		
867-2		h ɔ n θ ə t		
1970-2		p ɔ l +		
1230-2		t iː r + əʊ θ + +		
2017-2		n +		
968-2		w ɛ		
1674-2		ɑː n		
1671-2		h Ø Ø ə		
829-2		tʃ aɪ ə		
1025-2		w əʊ ə		
1027-2				
1832-2		Ø		
-1816-2		ʌ s əʊ n		
-335-2		əʊ Ø n ə		
1043-2		s ʌ m		
1469-3			s a t	
2047-3			s u	
2054-3			Ø u t ɛ ʀ	
1375-3			l Ø ɛ t	
760-3			Ø Ø t	
756-3			u ʀ	
726-3			u Ø ɛ ʀ	
1351-3			Ø ʀ a t Ø Ø Ø Ø ɛ ʀ	
1353-3			Ø ʀ a Ø u Ø ɛ ʀ	
412-3			ɛ ɛ ʀ ɛ Ø Ø Ø ɛ ʀ	
406-3			ɛ ɛ ʀ ɛ u Ø ɛ ʀ	
1005-3			t ɔ Ø Ø Ø Ø ɛ ʀ	
1012-3			t ɔ p Ø u Ø ɛ ʀ	
1016-3			Ø Ø t u ɛ ʀ ʀ ʀ ʀ	
1069-3			Ø	
509-3			Ø u l ɛ ʀ	
693-3			ɔ l ɛ ʀ ɛ ɛ ʀ	
2179-3			Ø s t	
1753-3			Ø Ø	
1131-3			Ø u l Ø	
1198-3			b Ø ʀ t	
2032-3			Ø Ø ʀ	
2241-3			u	
2244-3			l Ø p	
610-3			ɔ	
945-3			Ø a ʀ t	
1534-3			l Ø k ɛ ʀ	
384-3			s u k ɛ ʀ	
1650-3			u t	
1663-3			s Ø t	
2279-3			l Ø ɛ	
471-3			s ʀ ʀ ɛ ʀ	
1385-3			s Ø t	
792-3			t u	
1111-3			a s t	
197-3			s Ø Ø ɛ ʀ	
2020-3			l a Ø	
867-3			Ø u t ɛ ʀ t	
1970-3			Ø u l	
1230-3			Ø Ø ʀ t ɛ	
2017-3			ɔ ʀ	
1469-4				ʃ ɛ n t ə
2047-4				ʃ ʊ n eː b
2054-4				d ʊ n d ə r
1375-4				l ai ɡ s eː n
760-4				v ʊ n t
756-4				ʃ n eː
726-4				m uː d ə r
1351-4				ɡ ə r a n t + f ai d ə r
1353-4				ɡ ə r a t + m uː d ə r
412-4				ʃ ɡ a n + f ai d ə r n l
406-4				ʃ ɡ ə n + m uː d ə r n l
1005-4				ʃ s iː s + f ai d ə r
1012-4				ʃ s iː + m uː d ə r
1016-4				v ɪ d ə n + aː
1069-4				b ai x
509-4				f ɔ l ə n
693-4				m uː l eː + x z ə n n
2179-4				n ɛ ʃ t
1753-4				b f ʊ ʃ b
1131-4				v ɔ l f b
1198-4				b aː ə r s
2032-4				h ɶː n
2241-4				n ə ʃ
2244-4				l ʊ f n
610-4				x b n iː
945-4				h aː r t
1534-4				l ʊ k ə ə n
384-4				ʃ au k ə n
1650-4				n b oː t
1663-4				ʃ au l t
2279-4				l ʊ n a n
471-4				ʃ aː ə n
1385-4				ʃ ai b b t ə
792-4				Ø ɔ x
1111-4				m aː ʃ t
197-4				ʃ au d ə n
2020-4				l a ŋ ə
867-4				h ʊ n d ə n r n ə t
1970-4				f ɔ l b
1230-4				d x r b oː d b ə b
2017-4				n v ə
968-4				v Ø ə t
1674-4				a n t
1671-4				h Ø f Ø
829-4				x ʊ f
1025-4				v eː ts ə
1027-4				z ai
1832-4				Ø f
-1816-4				oː ʃ Ø ə n
-335-4				ə ɡ Ø n ə
1043-4				ts ts au m
