COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n i i a									
1285-1	n w a i									
1303-1	n g ɔ m a									
2197-1	s i a l a									
2828-1	f i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	i ŋʰ ɛ									
1789-1	k a l a a ŋ g a									
3207-1	z ʊ l a									
3519-1	t ʊ m a									
3686-1	i i ŋ tʃ a									
4249-1	k u m i									
4451-1	β i s i									
448-1	t ʊ á a m i									
630-1	β ɛ ɛ l ɛ									
814-1	ɔ a m tʃ ɛ									
1216-1	g a z i i a									
1228-1	β w a i									
1418-1	s i m á i i a									
1475-1	g w a									
2026-1	t w i i									
2775-1	β u a m tʃ a									
3397-1	β ɔ l a									
3826-1	s ɔ k a									
4003-1	i i i β a									
4040-1	g ɛ n i									
4373-1	l i n i									
4384-1	i ŋʰ ɔ									
84-1	s u g u l ʊ									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ i ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	b i n a									
1159-1	n a									
1350-1	l w a a									
1374-1	n i a a n ɛ									
1396-1	f ɔ β ʊ									
1430-1	i n s ɔ									
1666-1	t a á m ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	n g a h i									
2286-1	ŋʰ ŋʰ									
2317-1	β ʊ z a									
2419-1	s ɛ k a									
2750-1	ɛ i s i									
3018-1	s i l a									
3275-1	k a a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	k u t ɛ m i a a									
3885-1	s u m ɔ									
3981-1	i b m a d a									
4192-1	β i a m d a									
4260-1	s w a i									
4350-1	l ɛ ɛ l i ɔ									
43-1	b ɔ ɔ l a									
93-1	k ɔ n ɔ									
200-1	β i i									
374-1	z a a l w a a									
459-1	l u m a									
508-1	z ɔ z ʊ									
528-1	β i l i									
575-1	t a ɛ									
871-1	k ɛ n a									
2689-2		n a m a								
893-2		a a n o b a								
1303-2		n oː o m a								
2197-2		s oː a l a								
2828-2		l i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a n k a								
3207-2		s u l a								
3519-2		t u m a								
3686-2		a oː ŋ k a								
4249-2		k u m i								
4451-2		i s i								
448-2		m u m m m i								
630-2		s e e l e								
814-2		ɲ o o m b e								
1216-2		g a v l b a								
1228-2		k w a								
1418-2		s i á m m m a								
1475-2		w a								
2026-2		t w e								
3826-2		o k a								
4003-2		n oː o v a								
