COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	n a							
46-1	n a							
98-1	g a ŋ tʃ i l a							
125-1	b i a ŋ a							
162-1	l a i s i							
171-1	o m s a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u							
282-1	l u s p u							
292-1	g a ŋ							
301-1	l i							
354-1	m u m b a i							
363-1	n i m p u							
397-1	g a m i							
406-1	g a m u							
426-1	m u k p a							
473-1	pʰ i ŋ a ŋ							
499-1	s a m i							
526-1	g a s a							
544-1	g u							
553-1	k o t a ŋ							
599-1	g o i tʃ a m							
608-1	b a ŋ o							
617-1	j a							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ŋ i ɾ i							
690-1	m i ŋ							
708-1	tʃ a r i ŋ p u							
717-1	g o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	r a b a							
899-1	s e							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	s a ɾ a ŋ							
980-1	g a ɾ o ŋ							
998-1	pʰ a i							
1022-1	t a t u r							
1031-1	b i n a ŋ k u k a							
1069-1	tʃ o a ŋ a a							
1079-1	s i ŋ a a							
1098-1	j a ŋ p u							
1117-1	tʃ u							
1141-1	r i ŋ p u							
1189-1	m a							
1198-1	n u							
1208-1	s a l a							
1217-1	l a ŋ i u							
1253-1	a m a							
1271-1	n o a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	g a m							
1334-1	s i ŋ m a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ a							
1370-1	n a k u							
1388-1	m a ŋ m a							
1397-1	t u r							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a a r m a							
1433-1	s u g u							
1442-1	l a m							
1451-1	b a t a m							
1468-1	pʰ a k p a							
1477-1	ŋ a							
1502-1	ŋ a m s u							
1511-1	m u t i a ŋ m a							
1529-1	tʃ a l u							
1538-1	s o l u							
1557-1	tʃ o i t u							
1618-1	i ŋ tʃ a							
1663-1	s u m							
1689-1	ŋ o i							
1698-1	g u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m u ŋ							
1742-1	m u g u							
1751-1	b u tʃ i l a							
1778-1	s a							
1787-1	tʃ u r p u							
1823-1	l a m							
1832-1	k a r m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	s u p tʃ a ŋ							
1888-1	s a m p i							
1897-1	s a							
1932-1	ɾ i n a ŋ s o p l a							
1950-1	s u							
1968-1	t o ŋ t a a							
1978-1	k u t p a							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ o o ŋ l a							
2238-1	ŋ a r k a							
2507-1	t i n u ŋ							
2526-1	l e							
2535-1	s a							
2544-1	s i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	g a i t u							
2578-1	n i tʃ i ŋ							
2596-1	tʃ u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i t i							
2728-1	k o tʃ u ŋ							
2747-1	n i ŋ u							
2756-1	s e r p u							
2774-1	b o ŋ i ŋ							
19-1	n a i b a							
28-1	n a i b a							
89-1	g a ŋ p u							
107-1	b i m i							
190-1	p u tʃ i							
229-1	g a							
257-1	pʰ a ŋ a							
338-1	b r u ŋ							
436-1	s u l u							
483-1	a							
535-1	s o s o							
571-1	g e l a ŋ t i							
699-1	tʃ o ŋ p a							
845-1	ɾ o k							
971-1	tʃ i t p u							
1049-1	b u							
1161-1	a m							
1180-1	s a							
1226-1	l a ŋ i ŋ							
1235-1	n a m n i ŋ							
1280-1	s i ŋ tʃ a							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	g a n t a							
1725-1	tʃ a p tʃ a							
2127-1	pʰ a m k a							
2181-1	b i l o							
2366-1	o j a k k a							
2672-1	b a g a							
2681-1	b a l a ŋ p u							
55-1	tʃ a i b a							
80-1	tʃ u ŋ g a							
116-1	t u l u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		g a ŋ tʃ i l a						
125-2		b i a ŋ ɾ a						
162-2		l e i i						
171-2		o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u s p u						
292-2		g a ŋ						
301-2		l i						
354-2		m u m b a i						
363-2		n a m b u						
397-2		g a m tʃ i						
406-2		g a u						
426-2		m u k p a						
473-2		pʰ i n a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		g u						
553-2		g o t a ŋ						
599-2		g o i tʃ a m						
608-2		b a n tʃ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u						
672-2		t o ŋ p a						
681-2		ŋ i ɾ i						
690-2		m i ŋ						
708-2		dʒ a ŋ ɾ i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a b a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		pʰ ʃ i						
881-2		l a m						
890-2		ɾ a b a						
899-2		s e ɾ						
926-2		tʃʰ a m						
944-2		g a ɾ a ŋ						
953-2		ʃ a ɾ a ŋ						
980-2		j a ɾ u ŋ						
998-2		pʰ a i						
1022-2		g j a tʰ u						
1031-2		b i n a ŋ u a						
1069-2		tʃ o ŋ a ŋ						
1079-2		ʃ a a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		ɾ i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		z a l a						
1217-2		l a ŋ i						
1253-2		a m a						
1271-2		n o ɾ a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		g a m						
1334-2		s i ŋ b a						
1343-2		b u i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a g u ŋ						
1388-2		m a n b a						
1397-2		tʃʰ u						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a ɾ						
1433-2		ʃ u g u						
1442-2		l a m						
1451-2		b a tʃ a m						
1468-2		pʰ a k p a						
1477-2		ŋ a						
1502-2		ŋ a m s u						
1511-2		m u t j a ŋ b a						
1529-2		tʃ a l u						
1538-2		s u l u						
1557-2		tʃ o i tʰ u ŋ						
1618-2		i ŋ tʃ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		g u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ a m						
1742-2		m u g i						
1751-2		b u ʃ i l a						
1778-2		z a						
1787-2		tʃ u ɾ tʃ u						
1823-2		l e m						
1832-2		g a ɾ m a						
1842-2		l u ŋ						
1860-2		ŋ a m						
1869-2		ʃ u p t a ŋ						
1888-2		ʃ a m b i						
1897-2		s e						
1932-2		ɾ i n a ŋ o a						
1950-2		z u						
1968-2		t o ŋ tʃ a u						
1978-2		g u t p a						
1987-2		s a m						
2015-2		ŋ a m ʃ u						
2118-2		m o ŋ ʃ u o ŋ u						
2238-2		ŋ a r ʃ u						
2507-2		dʒ i n u ŋ						
2526-2		l e						
2535-2		ʃ a						
2544-2		ʃ i ŋ						
2560-2		s o ŋ n i tʃ i ŋ						
2569-2		g e i tʰ u ɾ						
2578-2		n i tʃ i ŋ						
2596-2		tʃʰ u ŋ						
2615-2		ɾ i						
2663-2		g i t i						
2690-2		s i						
2719-2		ɾ i t i						
2728-2		g o tʃ u ŋ						
2747-2		n i ŋ u						
2756-2		s e ɾ b u						
2774-2		b o ŋ i ŋ						
19-2		n a ʃ i a						
28-2		n a ʃ i b a						
89-2		g a ŋ b u						
107-2		t i m i n						
145-2		dʒ u k p u						
190-2		pʰ u tʃ i						
229-2		g a						
257-2		dʒ a ŋ a						
338-2		b ɾ u ŋ						
436-2		z u l u						
483-2		j a						
571-2		g e l e n i						
699-2		t o ŋ b a						
845-2		ɾ o g						
971-2		tʃ i t p u						
1161-2		a m						
1180-2		ʃ a						
1235-2		n a m n i ŋ						
1280-2		s i ŋ tʃ a ŋ						
1307-2		t e p k a						
1352-2		g u						
1379-2		s i						
1415-2		ɾ a						
1636-2		b e tʃ a						
1654-2		l i						
1680-2		g a n tʃ a						
1725-2		tʃ a p tʃ e						
2127-2		dʒ a m ʃ u						
2181-2		dʒ i l o						
2366-2		j a g a						
2672-2		j a g a						
2681-2		b a l a ŋ b u						
55-2		d̪ a ʃ i b a						
80-2		t u ŋ g a						
116-2		tʃ u l i						
154-2		ʃ i						
10-3			dʒ a ŋ					
37-3			ŋ a ŋ					
46-3			ŋ a ŋ					
98-3			kʰ a ŋ tʃ i l a					
125-3			b i a ŋ ɾ a					
162-3			l e i z i					
171-3			o m z a					
