COGID	Albanian	English	French	German	Latin
560-1	m a				
438-1	m r r				
1222-1	m r				
353-1	m a r				
201-1	m a ə r				
20-1	m a				
503-1	p a t r				
957-1	p				
728-1	m e ə r				
244-1	m a r				
289-1	m a t				
911-1	p a r r				
724-1	m r r				
145-1	m ə				
992-1	m				
1181-1	m a p r				
741-1	p ə r				
1150-1	r a p r				
585-1	p				
814-1	m a ə				
916-1	p				
1079-1	p a ə				
630-1	m				
343-1	p a ə				
8-1	p ə				
385-1	m r				
683-1	p a p ə				
650-1	p a p r				
612-1	p ə m				
871-1	p ə r a				
667-1	p a p				
527-1	m r m r				
499-1	p				
1029-1	p				
560-2		s a t			
438-2		g r			
1222-2		s			
353-2		s a d			
201-2		s r t			
20-2		h ɪ r			
503-2		l l l t			
957-2		l t			
728-2		l a t			
244-2		s t t ɪ			
289-2		s a l t			
911-2		s ɪ r ɪ			
724-2		s r t			
145-2		s t			
992-2		l t			
706-2		g ɪ			
106-2		s l d			
741-2		h t			
421-2		s l d t			
227-2		l a t			
920-2		h ɪ r			
1083-2		r t			
1066-2		l t			
1125-2		s a k			
1197-2		s ɪ t			
473-2		g			
284-2		s t			
661-2		s			
701-2		s ɪ t			
315-2		s ɪ t			
1169-2		s a l			
1150-2		s ɪ l t			
982-2		s ɪ k			
987-2		s a t			
1055-2		s t d r t			
1130-2		s ɪ n			
433-2		s r n t			
625-2		s t t			
1186-2		s a t			
416-2		s			
1233-2		w t			
884-2		s ɪ r			
1016-2		g l n l t			
952-2		t			
78-2		s l t			
514-2		g r ɪ n			
116-2		l t			
188-2		h ɪ r i			
745-2		l ɪ l ɪ r			
1100-2		g r ɪ l d			
47-2		n t			
111-2		h t t			
1061-2		s t t t			
24-2		s ɪ l d			
232-2		s ɪ n			
671-2		s ɪ ɪ d			
385-2		s			
945-2		s ɪ t a t			
644-2		s a t			
1041-2		l t t			
492-2		s ɪ n			
1209-2		ɪ a t			
527-2		w a			
14-2		g ɪ l			
1-2		s l			
915-2		s ɪ t			
271-2		g ɪ t			
560-3			p ɛ s		
438-3			p r		
1222-3			p r		
353-3			p l s		
201-3			p u s		
20-3			p a s		
503-3			p l t		
957-3			p e		
728-3			p ɛ s		
244-3			p ɛ s		
289-3			p ɔ t		
911-3			p ɛ s		
724-3			p r e		
145-3			p t e		
992-3			p e		
1181-3			p a t e		
706-3			p		
106-3			p t t		
741-3			p u s		
421-3			p l l t		
227-3			p l e		
920-3			ɔ r e		
1083-3			r s		
1066-3			p		
1125-3			p e		
1197-3			p t t		
473-3			p e		
284-3			p r s		
661-3			p u		
701-3			r t s		
315-3			r ɔ t s		
1169-3			p ɔ t e		
1150-3			p ɛ t s		
982-3			p ɛ s		
987-3			p l e		
1055-3			t t t r		
1130-3			ɛ s		
433-3			p ɛ l		
585-3			p		
625-3			p ɛ t		
1186-3			p ɔ s		
814-3			p ɛ r		
416-3			p e		
1233-3			p l t s		
884-3			p ɔ r s		
916-3			p		
1016-3			p r ɛ l l l		
952-3			p e		
514-3			p t s		
1079-3			p ɛ		
1100-3			p r t s e		
47-3			s l t		
111-3			p u l		
1061-3			m ɔ t t		
1155-3			p ɔ l l		
343-3			p ɔ t s r		
671-3			r t s e		
460-3			p t s		
8-3			r r s		
644-3			p s		
683-3			p ɑ̃ s l		
650-3			p ɔ l e		
612-3			p ɛ		
871-3			r t t		
1209-3			p ɔ l t e		
667-3			p a		
499-3					
14-3			p r t s		
1029-3			p		
272-3			p ɑ̃ t r		
560-4				ʃ a t	
438-4				v r	
1222-4				ʃ r	
353-4				ʃ a l t	
201-4				ʃ ai t	
20-4				ʃ a r	
503-4				l a l t	
957-4				l t	
728-4				l a t	
244-4				ʃ a t	
289-4				ʃ ai t	
911-4				ʃ a t	
724-4				g r l	
145-4				ʃ t	
992-4				ʃ t	
1181-4				ʃ t l t	
706-4				ʃ	
106-4				ʃ a t r	
421-4				l l l t r	
227-4				l ai t	
920-4				a r t	
1083-4				r t	
1066-4				ʃ	
1125-4				l a	
1197-4				ʃ a t r	
473-4				l t	
284-4				ʃ a n	
661-4				ʃ a	
701-4				r a t	
315-4				r a l t	
1169-4				ʃ a l t	
1150-4				ʃ a l t	
982-4				l ai t	
987-4				ʃ a t	
1055-4				ʃ t a r	
1130-4				ʃ a a	
433-4				ʃ a t	
585-4				ʃ t	
625-4				ʃ a t	
1186-4				ʃ a r	
