COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	tʰ k							
6-1	n a ŋ							
15-1	b i							
55-1	l ɔˀ							
56-1	u							
60-1	h i							
61-1	kʰ i ŋ							
80-1	tɕʰ ɔ k							
87-1	tɕʰ u							
86-1	pʰ aˀ							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d							
107-1	p a							
112-1	pʰ							
115-1	ɕ a							
114-1	tʰ ɔ m							
120-1	t aˀ							
124-1	e							
125-1	tʰ ɔ k							
132-1	h i							
131-1	n i ŋ							
136-1	b u							
134-1	kʰ a k							
137-1	ɔˀ							
138-1	d ɔ k							
140-1	h ɹ a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɔi							
149-1	h u t							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ u k							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a							
171-1	ɲ i ŋ							
172-1	b i k							
173-1	tʰ ɔ n							
183-1	l ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts u n							
193-1	h ɔː							
196-1	m a ɹ							
199-1	ɕ ɛi							
200-1	kʰ a ɹ							
201-1	kʰ i							
202-1	kʰ o							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a ŋ							
117-1	b u							
146-1	kʰ i p							
219-1	h ɹ a							
218-1	kʰ i							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	b							
263-1	l ɔː							
269-1	kʰ j e ŋ							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m ɛ m							
278-1	l ɔ ŋ							
135-1	d e							
284-1	m u							
797-1	u							
290-1	l i							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	n i							
327-1	tʰ i							
331-1	k u							
337-1	b h ɛ m							
338-1	ɲ i ŋ							
339-1	a ɹ							
350-1	kʰ u							
349-1	tʰ i ŋ							
357-1	tɕʰ aˀ							
355-1	ɔˀ							
363-1	l a n							
361-1	tʰ u							
365-1	h a ɹ							
364-1	g ɔː							
375-1	l ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	l j ɛ k							
410-1	h u t							
415-1	b ɛi							
416-1	b u							
101-1	ŋ aˀ							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	ɕ ɛ ɹ							
445-1	p							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b a							
464-1	p ɕ i m							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	h ɛ ɹ							
489-1	j i							
490-1	j a ŋ							
494-1	ɕ e							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	l i ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	s							
544-1	w a m							
850-1	a							
554-1	b u							
553-1	d n							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p u							
564-1	j e							
567-1	m a							
570-1	pʰ u							
575-1	ɔː							
582-1	n ɔː							
585-1	a t							
589-1	kʰ u m							
593-1	d ɛ n							
594-1	l u ŋ							
595-1	tʰ u ŋ							
596-1	ŋ a k							
598-1	ʑ aˀ							
599-1	d ɛ m							
602-1	ʑ ɔː							
603-1	n a p							
606-1	s u m							
605-1	b a							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔˀ							
646-1	l i ŋ							
168-1	h j ɛ k							
658-1	h ɔ n							
665-1	pʰ a							
668-1	pʰ a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	p ɛ n							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	h a m							
710-1	t u							
714-1	m h ɔ m							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	tɕʰ i n							
726-1	l i ŋ							
729-1	b ɔˀ							
730-1	d i							
739-1	p ɕ i							
740-1	b e							
741-1	kʰ ɔ p							
744-1	ɔˀ							
743-1	h e n							
746-1	pʰ ɔ ŋ							
748-1	tʰ i k							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t a n							
762-1	m ɛ n							
764-1	h i n							
765-1	b i							
788-1	h i m							
615-1	n a k							
803-1	ɕ aˀ							
802-1	b a k							
808-1	b i							
809-1	ts i							
819-1	d i k							
821-1	ɕ e							
820-1	b i							
828-1	ɕ a k							
827-1	p u							
835-1	h ɔː							
308-1	d							
844-1	ʑ i							
848-1	m u							
705-1	l a							
613-1	ɔˀ							
649-1	h j ɛ k							
876-1	ɕ u							
878-1	j ɔ m							
889-1	h a m							
898-1	n i t							
902-1	h a							
910-1	i n							
916-1	l i							
919-1	l i							
922-1	ɕ i k							
930-1	ɕ u							
933-1	k i							
939-1	d j i k							
947-1	j ɛ n							
948-1	n aˀ m							
963-1	ʑ a							
967-1	tɕʰ i p							
969-1	ɕ a							
970-1	kʰ ɔ k							
972-1	n e							
731-1	m u							
973-1	l i n							
974-1	h a s							
979-1	dʑ ɛ n							
182-1	kʰ u							
993-1	n e m							
994-1	ʑ u							
1001-1	h a							
1002-1	d aˀ k							
1005-1	tɕʰ u n							
1009-1	kʰ							
1022-1	ɕ a							
1021-1	dʑ ɔ k							
1043-1	g u ŋ							
1049-1	t u s							
1065-1	kʰ i ŋ							
1068-1	w u							
1077-1	l i ŋ							
1081-1	l a ŋ							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	dʑ u							
1096-1	n e							
1097-1	kʰ u							
1102-1	ɲ ɔi							
1104-1	tʰ ɔ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɹ							
1116-1	h a n							
722-1	kʰ							
1141-1	j a ŋ							
1147-1	pʰ							
1146-1	z ɔˀ							
1150-1	h w a ŋ							
1151-1	ɔ m							
1158-1	kʰ a k							
1159-1	pʰ u							
1164-1	tʰ a							
1163-1	l a							
1167-1	d a ŋ							
1171-1	l ɔi							
1177-1	tɕʰ u							
1187-1	kʰ ɛi							
1189-1	ɲ i k							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	tʰ i p							
1211-1	j ɔː							
329-1	w a							
1217-1	m e ŋ							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ ɹ							
1229-1	dʑ a m							
1238-1	d a ŋ							
1249-1	m i							
1252-1	j a							
1254-1	n a m							
1253-1	s u ŋ							
1257-1	k a ɹ							
1263-1	dʑ u							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɔi							
1191-1	l j a							
13-1	tɕʰ a							
18-1	b i							
33-1	n a m							
74-1	t e ŋ							
81-1	h ɛ n							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i ɹ							
122-1	kʰ u s							
121-1	m a							
154-1	tɕʰ ɔː							
159-1	ɕ a							
161-1	kʰ i							
170-1	kʰ ɛ t							
91-1	ɔˀ							
181-1	n ɔː							
186-1	dʑ ɔu							
191-1	ɕ a							
217-1	k a							
221-1	h ɔu							
252-1	ts ɛ n							
253-1	l a m							
261-1	b a							
262-1	j u							
281-1	j ɔ k							
287-1	a ŋ							
288-1	ɔu							
292-1	d ɔ k							
297-1	kʰ ɔ m							
311-1	k i							
332-1	b							
358-1	g ɔ ŋ							
366-1	kʰ ɔu							
378-1	tɕʰ a t							
382-1	m i							
392-1	dʑ a k							
397-1	b a							
471-1	m a ŋ							
477-1	d u							
478-1	l							
481-1	dʑ a ɹ							
