COGID	Albanian	English	French	German	Latin
560-1	n				
438-1	r				
1222-1					
353-1					
201-1	n				
20-1					
503-1	n				
957-1					
728-1	n				
244-1	n m				
289-1	n				
911-1	r				
724-1	r				
145-1					
992-1					
1181-1	n				
741-1	p				
1150-1	r				
585-1					
814-1	ə r				
560-2		k ɪ			
438-2		ə r			
1222-2		w ɑ			
353-2		f ɪ			
201-2		f ɪ n			
20-2		f ɪ r			
503-2		f i l			
957-2		ɪ n			
728-2		l ɪ n			
244-2		n i d			
289-2		n ɑ t			
911-2		w ə r ə l			
724-2		r			
145-2		w ɑ			
992-2		w i			
706-2		e			
106-2		f ɛ ð ə r			
741-2		h r			
421-2		b l o			
227-2		f o t			
920-2		h ə r			
1083-2		h ə r			
1066-2		i t			
1125-2		k n			
1197-2		m au ð ə r			
473-2		n ɪ			
284-2		n au			
661-2		au n			
701-2		r ɪ			
315-2		r e n			
1169-2		s o l			
1150-2		k ə r			
982-2		s ɪ			
987-2		s n			
1055-2		s t ə r			
1130-2		s e			
433-2		s i n			
625-2		θ ɪ n			
1186-2		ɪ n			
560-3			v j ɛ		
438-3			k r		
1222-3			k v a		
353-3			p r		
201-3			k ɑ̃		
20-3			k u r		
503-3			p l		
957-3			v		
728-3			l ɑ̃		
244-3			n ɑ̃ m		
289-3			n a		
911-3			r u r		
724-3			d r		
145-3			d w a		
992-3			v u		
1181-3			s j ɑ̃		
706-3			k k		
106-3			p u		
741-3			p		
421-3			f l		
227-3			p w a		
920-3			k ɔ r		
1083-3			k ɔ r		
1066-3			ɛ		
1125-3			k ɑ̃		
1197-3			m r		
473-3			n ɔ		
284-3			n u		
661-3			k ɑ̃		
701-3			r u		
315-3			r ɔ		
1169-3			s a		
1150-3			r r r		
982-3			k s		
987-3			k		
1055-3			s r		
1130-3			s a		
433-3			s ɔ		
585-3					
625-3			l ɑ̃		
1186-3			v ɑ̃		
814-3			v ɛ r		
560-4				k	
438-4				r	
1222-4					
353-4				f	
201-4				f i n	
20-4				f	
503-4				f l	
957-4				i n	
728-4				l n	
244-4				n e m	
289-4				n e	
911-4				r t	
724-4				d r	
145-4				t	
992-4				h	
1181-4				h	
706-4				e	
106-4				f eː d ə r	
421-4				f l r	
227-4				f	
920-4				h r	
1083-4				h r n	
1066-4					
1125-4				n	
1197-4				m eː d ə r	
473-4				n	
284-4				n uː	
661-4				v i n	
701-4				r	
315-4				r n	
1169-4				ʃ a l	
1150-4				ʃ r t	
982-4				z e	
987-4				ʃ n	
1055-4				ʃ t r	
1130-4				z e	
433-4				z e n	
585-4					
625-4				t n	
1186-4				t i n	
814-4				k r	
560-5					w e m o
438-5					o r e
1222-5					a o
353-5					p a s i o
201-5					s e n k o
20-5					k a t i o r
503-5					p l e n
957-5					d e n
728-5					l a n i o
244-5					n o m i n
289-5					n iː
911-5					r a n i
724-5					t r
145-5					d o
992-5					k o
1181-5					k k e n i o
706-5					o l i i o
106-5					p e n e r
741-5					p o o
421-5					f l o r
227-5					p e
920-5					k o r i i n
1083-5					k o r n
1066-5					a o
1125-5					k a n o
1197-5					m e n e r
473-5					n a w i l
284-5					n e n o
661-5					w e n
701-5					r u l t o
315-5					r o n i n d o
1169-5					s e l
982-5					a s e o
987-5					s n e
1055-5					s i t a l i n
1130-5					s e s o
433-5					s o l e
585-5					t o
625-5					l a n i o
1186-5					d e n
814-5					w e r t e o
