COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m d au d ³¹						
4-1	l a ⁵						
18-1	m a ŋ ⁵						
19-1	n j i d ⁵						
44-1	d l u ʔ ³¹						
50-1	ʃ j d u ŋ ³						
62-1	s ai k ⁵						
70-1	b d a n ⁵						
75-1	m ɔ ʔ ³						
97-1	d tʃʰ a ŋ ³¹						
112-1	tsʰ u ⁵						
122-1	m j u k ⁴²						
127-1	kʰ j ei ³						
132-1	w ɔ ʔ ³¹						
133-1	n d ɔ d ³¹						
135-1	n d a̰u d ³¹						
142-1	d z i ³¹						
143-1	d ŋ ɛ ʔ ³¹						
149-1	j u j ³¹						
152-1	ŋ ɔ d ³¹						
157-1	pʰ ɔ ³¹						
183-1	ʔ ɨu ³¹						
184-1	d n u d ʔ ³¹						
185-1	tsʰ a m ³						
189-1	m j ɔ̰ ʔ ⁵						
192-1	d n ɔ d ³						
195-1	n ɔ ³						
200-1	kʰ d i n ³¹						
216-1	s ai ŋ ⁵						
218-1	l ɔ ʔ ³¹						
225-1	s ai ŋ ⁵						
235-1	kʰ j ei d ³						
244-1	s ei ⁵						
253-1	m j d ɛ ³						
270-1	m ei ³¹						
278-1	m j ɛ ŋ ⁴³						
279-1	j w ɔ̰ ³¹						
285-1	d ɛ m ⁴²						
308-1	d b j ⁵						
322-1	m i ⁵						
325-1	kʰ d au d ⁵						
337-1	m j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ j u ʔ ³¹						
362-1	d j i d ³						
391-1	j u p ³¹						
394-1	m a ʔ ⁵						
397-1	tʃʰ ei ⁵						
443-1	n j u p ⁵						
460-1	s a ʔ ⁵⁴						
463-1	w ŋ i d ³						
464-1	j ɔ ŋ ³						
473-1	s u m ³						
476-1	kʰ u k ⁵						
481-1	tsʰ e d ³						
494-1	dʒ j ɛ ³¹						
496-1	ʃ u ŋ ⁵⁴						
516-1	w i ³						
522-1	n a ʔ ³¹						
523-1	pʰ j ɨu d ³						
524-1	n e ³						
540-1	kʰ ɔ ⁴³						
3-1	b a̰ d ³¹						
6-1	g j ɛ ³						
7-1	dʒ u m ³¹						
20-1	n a p ³						
51-1	ei ³						
64-1	k ɔ ŋ ³¹						
65-1	k o k ⁵⁴						
66-1	z ɨu ³						
71-1	ʃ i ⁵						
72-1	ʔ a ⁵						
76-1	w ɔ ³						
77-1	m j ai k ³						
78-1	m a̰u ³¹						
82-1	pʰ u ŋ ⁵						
87-1	ŋ ɔ ³¹						
93-1	l a m ⁵						
94-1	m j ei ŋ ³						
100-1	s w a n ³¹						
116-1	d l u ³¹						
119-1	w a ³						
124-1	pʰ j ɔ ³						
136-1	l i ³¹						
137-1	kʰ j d a̰u ³²						
144-1	s a t ⁵³						
145-1	d u ŋ ³¹						
146-1	m a̰u ³						
150-1	dʒ j ɔ ʔ ³						
154-1	m j ei ⁴²						
165-1	kʰ j au ŋ ³¹						
166-1	pʰ w ɔ ³¹						
169-1	k j a̰ ŋ ³						
170-1	b j ɔ ³						
