COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n ə			
2054-1	d oː n ə r			
1375-1	l ɛɪ x t			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m oː d ə r			
1351-1	x r ɛɪ n eː iː d r			
1353-1	x r ɛɪ n + oː d ə r			
412-1	v oː œy ɣ ə r + ɑ l ə			
406-1	z oː œy ɣ r r + r d ə			
1005-1	s t eː p v ɑ r ə r			
1012-1	s t eː p + m oː d ə r			
1016-1	w ɪ d ə ə r			
1069-1	ɛɪ x			
509-1	v ɑ l ə			
693-1	m ɛ l l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɛ l f			
1198-1	b aː r d			
2032-1	h oː r			
2241-1	n aː z ə			
2244-1	l ɛɪ p ə			
610-1	n			
945-1	h ɛ t t			
1534-1	l ɑ k ə			
384-1	z oː ɣ ə			
1650-1	n oː t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z ɛɪ d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h oː n d r r d			
1970-1	v ɔ l			
1230-1	d r s t			
2017-1	n ʉ r			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h iː ɣ ə l			
829-1	k l ɛɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ l			
1832-1	r oː w			
-1816-1	ɔ t n			
-335-1	l ɑ ɣ uː n			
1043-1	œy t r ɔ m			
423-1	s t eː n			
2049-1	m oː n			
2062-1	s t ɔ m m			
2065-1	r aː n ə + + b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	d iː			
754-1	r aː ɣ ə			
768-1	w ɛ n ə r			
1211-1	v ɛɪ ɣ r			
106-1	m ɑ n			
-98-1	b eː v iː			
719-1	v ɑ r ə r			
1341-1	z oː n			
-2027-1	v ɑ n t			
-2026-1	n eː v ə			
409-1	z oː ɪ ɣ ə r + z oː n			
402-1	d oː œy ɣ ə r s n iː t ə r			
1014-1	s t eː p ɑ d ɔ x t ə			
1059-1	w iː l			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ ɑ s ə			
2199-1	k ɑ l f			
2197-1	s iː p			
1523-1	z ɑu l			
1521-1	b ɔ k			
512-1	m eː r aː j			
2141-1	h oː n			
2147-1	x ɑ n			
814-1	k r m ə			
810-1	d iː v ə			
1755-1	h ɔ n t			
1758-1	m eː s			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n eː t ə			
1305-1	v l uː			
711-1	w ɛ s p ə			
1442-1	v l ɛɪ ɣ ə			
62-1	m ʉ k			
-73-1	m ɔ s k œy t ə			
1810-1	h oː d			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː d			
690-1	r ɛɪ ŋ ə			
2177-1	h ɛ p t			
246-1	oː ɣ ə r + b r ɑu p			
249-1	oː ɣ ə ə d l iː t			
1506-1	n aː z ə + + l l			
2242-1	m ɔ n			
2245-1	t oː ŋ ə			
1196-1	v ɑ k ə			
2174-1	s x l d ə r			
575-1	ɑ ɑ s ə l ə			
603-1	s l ɛɪ + + b oː ɣ ə			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r			
901-1	k l ɑu			
608-1	v uː t			
596-1	t ɛ ə			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l eː v ə r			
1606-1	h ʉ p			
472-1	z eː z w			
1535-1	z w ɛ t ə			
