COGID	dutch	english	french	german
287	t ɑu w			t au
847	h oː x	h aɪ		h oː x
-1337	v ɔ r k	f ɔː k		
1181	m ʉ ts			m ʏ ts ə
100	v r ɑu w			f r au
308	d uː n	d uː		t uː n
330	z w ɑ ŋ ə r			ʃ v a ŋ ə r
1047	b r ɔ n			b r ʊ n ə n
158	w ɛ + ɣ aː n			v ɛ k + ɡ eː ə n
1355	k l ɛɪ n + z oː n	ɡ r æ n + s ʌ n		
-425	r ɔ ts	r ɔ k		
2180	d oː r s + l ɪ k ə			ʃ l ʊ k ə n
52	b ɑ k + s t eː n			b a k + ʃ t ai n
1208	b r ɑ n t + h ɑu t			b r ɛ n + h ɔ l ts
1447	b oː m			b au m
638	m aː l ə			m aː l ə n
1648	s m eː d ə			ʃ m iː d ə n
347	t w eː d ə			ts v ai t ə
135	x l ɛɪ d ə	s l aɪ d		ɡ l ai t ə n
467	d ʉ n	θ ɪ n		d ʏ n
1204	v iː r + k ɑ n t			f iː r + ɛ k
1333		n ɪ ə r		n aː ə
1020		s w ɔ m p		z ʊ m pf
1979	x r ɑ s	ɡ r ɑː s		ɡ r aː s
1038			v a ɡ	v oː ɡ ə
2125	w ɪ k ə l ə			v ɪ k ə l n
2168	k ɑ m	k əʊ m		k a m
-1041	r iː v iː r	r ɪ v ə r		
1659	h oː n ɪ ŋ	h ʌ n ɪ		h oː n ɪ x
1248	m ɪ d ɑ ɣ + eː t ə			m ɪ t aː k + ɛ s ə n
319	s t ɛ r v ə			ʃ t ɛ r b ə n
874	m ɑ n	əʊ l d + m æ n		
127	v eː			v iː
451	h ɔ ŋ ə r s + n oː t			h ʊ ŋ ə r s + n oː t
642	b ɑu w ə			b au ə n
576	z uː k ə	s iː k		z uː x ə n
1821	r ʉ x			r ʏ k ə n
2166	b ɔ r s t ə l			b ʏ r s t ə
137	s p r ɪ ŋ ə			ʃ p r ɪ ŋ ə n
2108	p l uː ɣ ə	p l aʊ		pf l yː ɡ ə n
1293	w ɛ s t ə	w ɛ s t		v ɛ s t ə n
27	v l eː s			f l ai ʃ
721			p ɛ ʀ	eː ə
1408	n eː m ə			n eː m ə n
1002	k l ɛɪ	k l eɪ		
2159	k r ɔ p			k r ɔ pf
1968	h ɛ l f t	h ɑː f		h ɛ l f t ə
159	h aː v ɪ k			h aː b ɪ x t
584	h aː k	h ʊ k		h aː k ə n
1466	k l eː d ɪ ŋ	k l əʊ ð z		k l ai d ʊ ŋ
1260	aː v ɔ n d + eː t ə			aː b ə n t + ɛ s ə n
1154	s l øː t ə l + b eː n			ʃ l ʏ s ə l + b ai n
1245	s x oː r + s t eː n			ʃ ɔ r n + ʃ t ai n
581	v ə r + l iː z ə	l uː z		f ɛ r + l iː r ə n
