COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1566	m ĭ n k a	m i n p a n		m ĭ n k a			m i ŋ kʰ e n	
2209	b i t i ŋ p i n l a	b i t i ŋ p e w o	b i t i ŋ p e w o	b i t i ŋ pʰ i tʃʰ a m	b i t i ŋ p æ kʰ ə n	p i t i ŋ		
2200	n a d̪ o k l a			n a d̪ o k tʃʰ a m				n a h a d o k p a n
1575	ɾ i j a m a			ɾ i j a m a				
1460	s o ŋ o	s o ŋ a		s o ŋ o	s o ŋ a	s o ŋ	s o ŋ a	
1521		tʃʰ u	tʃʰ u		tʃʰ u	tʃʰ u	tʃʰ u	tʃʰ u
1089		j o m l o k p a ts o k			j o m l o k p a ts o k		j o m l o k p a ts o k	
267		dʒ i	dʒ i		dʒ i	dʒ i	dʒ i	dʒ i
635	a t a			a t a				
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
1576		g o ŋ ɾ i			g o ŋ ɾ i	ɾ i g o ŋ ɾ i		
729		b i ŋ tʃ e n	b i ŋ tʃ e n			b i ŋ tʃ e n	b i ŋ tʃ e n	
1118		tʃʰ u i						tʰ u l i
200		pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a			pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	
2624	d̪ u n ts i				d u n tʃ i			
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
1170		tʃʰ a tʃʰ a	tʃʰ a tʃʰ a		tʃʰ a tʃʰ a		tʃ a tʃ i	
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
2172	b i l o		b i l o		b i l o	b i	b i kʰ e n	b i l o
909		pʰ e l u l a	pʰ e l u l a		pʰ e l o	pʰ e l o	pʰ e l u l a	
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
1487		dʒ o g t a ŋ	dʒ o g t a ŋ		dʒ o k t a ŋ	dʒ o k t a ŋ	tʃ o k t̪ a ŋ	tʃ o k t̪ a ŋ
416		kʰ a m tʃ u d a ŋ				kʰ a m tʃ u d a ŋ		
373	k o b i	k o b i				k o b i		
1906	u ɲ u	u ɲ u m o		u ɲ u		u ɲ u		
2222					ʃ e kʰ e n		ʃ e kʰ e n	
202					t o ŋ t e			t o ŋ t e
918		j a ŋ l u	j a ŋ l u		j a ŋ l u	j a ŋ l u ŋ	j a ŋ l u ŋ	j a ŋ l u ŋ
319	pʰ o t k a	pʰ o t p a n			pʰ o t k a n	pʰ o t k a n	pʰ u t kʰ e n	p o t p a n
1773						h a ŋ a n u		h a ŋ g i n u
117					kʰ a r i		kʰ a r i	
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1941	u t u	u tʰ u	u tʰ u	u tʰ u				
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
5						dʒ a ŋ		dʒ a ŋ
310	a l e j a k			a l a k				a l j a k
1996	m u t̪ i r k a	m u ŋ t̪ a ŋ			m u ŋ d i r		m u ŋ d i r kʰ e n	m u ŋ d i r p a n
1734	z i m u		z i m b u	z i m u	z e m b u	z i m b u	z i m b u	
1770		tʃ j a ŋ			o tʃ a n			
2007		b u	b u ʃ u		b u ʃ u	b u a t̪ a	b u a t̪ a	
1798					dʒ o ŋ		dʒ o ŋ	
464		t o tʃ a ŋ	t o tʃ a ŋ		t o tʃ a ŋ	t o tʃ a ŋ	t o ʃ a ŋ	
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
1603		r a	r a		ɾ u	r a	ɾ u	
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
2295			b ɾ a k o		b e kʰ e n	b ɾ a k o	b r e k a kʰ e n	
2492		ʃ e ʃ u				ʃ e ʃ u		
1627	d̪ u l u l a			d o l u				
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
637			a u	a u	a u	a w u	a u	a u
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
2737	ɲ i z o k a	ŋ i z a	ŋ i z a		n i z a	ŋ i z a	ɲ i dʒ a	
2006	s e m tʃ e n							s e m tʃ e n
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
2422	j a k p o		j a k p o					
964			tʰ i m l u ŋ			tʰ i m l u ŋ		
2302	ʃ o ŋ l a k a	ʃ o ŋ l a i			ʃ o ŋ l a kʰ a n		ʃ o ŋ l a kʰ a n	ʃ o ŋ l a l a n
2765	i n i ŋ			i ɲ i ŋ				i n i ŋ
1809					tʃ i kʰ e n		tʃ i kʰ e n	
2268				s e m pʰ e k a				s e m pʰ e l a n
380		d̪ o ŋ p a	d̪ u ŋ p a					t o ŋ p a
2053		u n tʃ u		ŭ n tʃʰ a m				
590	n a			n a				n a
2433		pʰ i r	pʰ i r pʰ o		pʰ i r p o k			
2045			l e j a ŋ b o		l e ŋ b o	l e j a ŋ b o		
854	p a i pʰ u			p a i p u				p e p u
2356	i p k a			i p tʃʰ a m	i p kʰ e n		i p kʰ e n	i p a n
2710			n ĭ z i	n ĭ z i		ŋ i z i		n ĭ z i
2404	pʰ a l o		pʰ a w o					pʰ a l o
2331			tʃ o k p o		tʃ o k p o			tʃ o k p o
936		tʰ o ŋ	tʰ o ŋ		t o ŋ	kʰ a t o ŋ		
445	n a ɾ i k o l							n a ɾ i k o l
1852		kʰ o m tʰ e ɾ a ŋ	kʰ o m d̪ a ɾ a ŋ		kʰ o m d̪ a ɾ a ŋ	kʰ o m tʰ e ɾ a ŋ	kʰ o m d i r a ŋ	
728	tʰ a ŋ p u							tʰ a ŋ p u
1924		k ɾ e m ʃ i pː a				k ɾ e m ʃ i pː a		
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
2312		g o tʃ u				g o tʃ u		
134	dʒ a p							dʒ a p
238	kʰ a l u			kʰ a l u				kʰ a l u
2443	tʃʰ i k p o		tʰ i k b o	tʰ i g tʃʰ a m				tʰ i k p a n
453	tʃ a ŋ p u	tʃʰ a ŋ p u		tʃʰ a ŋ p u	tʃ a ŋ p u		tʃ a ŋ p u	tʃ a ŋ p u
581		d u i p a	d u i p a		d u i p a	d u i p a	d u i p a	
1577			ɾ i				ɾ i	
2314				k o t tʃʰ a m	g o t kʰ ə n		g o t kʰ ə n	g o t p a n
329		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	
865						z a s	z a s	
591		n e g a ŋ	n e g a ŋ		n e g a ŋ	n e j a g a ŋ	n e g a ŋ	
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
1584	g a ɾ i l a m	g a ɾ i l a m			g a ɾ i l a m	g a ɾ i l a m		g a ɾ i l a m
562	s a ŋ k a			s a ŋ k a				
2554		d̪ u ɾ i				d̪ u ɾ i		
181		n i z u m b a	n i z u m b a		m i z u ŋ b a	n u z u m b a	m i z u m b a	n i z u m b a
2201		n a ʃ u				n a ʃ u		
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
1013	g e s a ŋ	g e dʒ a ŋ j a			g e dʒ a ŋ		g e dʒ a ŋ	k e z a ŋ
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
2608					j a m l o k		j a m l o k	
1807			tʃʰ i n l a			tʃʰ i n l a		
2323						kʰ o d̪ i l o		kʰ o l o
2766		i ŋ o m	i ŋ o m		ɲ i ŋ a m	ŋ a m tʃ a	i ŋ a m	
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
2654	b o ŋ	b o ŋ	b o ŋ	b o ŋ	r a ŋ b o ŋ		b o ŋ	
580	b l a s a							b l a s a
508	ŋ a m	ŋ a m			ŋ a m	ŋ a m	ŋ a m	ŋ a m
1088	j o n			j o n				j o n
754	a n i ŋ tʰ u r			a n i tʰ u r	tʃ a tʰ u r	s a ŋ tʰ u r	tʃ a tʰ u r	a ŋ tʰ u r
1672	l e m a			l e m a				
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
2416						z i k a n		z i g p a n
2462		d̪ a ŋ kʰ u				d̪ a m k u	d a ŋ kʰ ə n	tʰ a ŋ m a n
2		a ʃ i			a ʃ i		a ʃ i	
1612		dʒ i p a n			dʒ i d p æ n			dʒ i p a n
1547	j a s			j a s				j a s
2163	ŋ a t̪ k a		ŋ a t a ɲ dʒ i			ŋ a t̪ a k a n		ŋ a t p a n
2256	pʰ u l o	pʰ u l o	pʰ u l o		u kʰ e n		pʰ u a kʰ e n	pʰ u l a n
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
1042			j u ŋ p a		j u ŋ p a		j u ŋ p a	j u ŋ p a
2348		l a ŋ tʃ o i	l a ŋ tʃ e			l a ŋ tʃ o i		
2173		b i n tʃ u		b i n tʃʰ a m				
2555				g a tʃ a	k a tʃ u		k a tʃ u	
655		s a tʃ i l a	s a tʃ i l a		s a tʃ i l a	s a tʃ i l a	s e tʃ i l a	
66			z a m i ŋ			z a m i n		z a m i n z i m b u
856			k j a k p a				k j a k p a	
2646		h a ŋ j a				h a ŋ j a		
2083			z a m b o		z a m b o			
518		t o ŋ tʃ e n			t o ŋ tʃ e n	t o ŋ tʃ e n	t o ŋ tʃ e n	
764	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g ă z a ŋ b r u m a		g a ɾ a ŋ b r u m a		g a ɾ a ŋ b r u m a
2489		pʰ a k p o	pʰ a k p o					
2783	n a ɲ i ŋ	n a ɲ i ŋ			n a ɲ i ŋ		n a ɲ i ŋ	
2149					n u p kʰ ə n		n u p kʰ ə n	
454			kʰ u r l a	k u r b a n		kʰ u r l a		
2358			ʔ i w o			ʔ i w o		
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
266	j i			j i				
2784			z i	z i		z i		z i
2158					p i r kʰ ə n		p i r kʰ ə n	
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
819		z a m b a	z a m b a		z a m b a	z a m b a	z a m b a	z a m b a
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
2635		ʃ i ɾ i	ʃ i r i l a		ʃ i r a		ʃ i r a	
1244	t r o ŋ tʃ u m	k u ɾ o ŋ tʃ u ŋ b u	k u ɾ o ŋ tʃ u ŋ b u	t r o ŋ tʃ u m	k r o ŋ tʃ u ŋ		k r o ŋ tʃ u ŋ	
990		tʃ o tʃ o			tʃ o tʃ o	tʃ o tʃ o	tʃ o tʃ o	tʃ o
415	kʰ a m u ŋ		kʰ a u		kʰ a u		kʰ a u	kʰ a m u
1815		b r o ŋ b u	b u ŋ p u		a t ə r o ŋ b a	b ă ɾ o ŋ b a	a t ə r o ŋ b a	
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
582	p u r tʃ i			p u r tʃ i				
1060	kʰ o l o k p a		k o l o k p a			k o l o k p a		
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
872	pʰ u ŋ k a			pʰ u ŋ k a				
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
2055					u kʰ e n		u kʰ e n	
2709	pʰ ă j a m a	pʰ a i a m a		pʰ ă j a m a	pʰ e j a m a		pʰ a i a m a	
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
2607		tʃ i k p a	tʃ i k p a			tʃ i k p a		tʃ i k p a
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
2110	a l o				a l o	ʔ a l o		
1961					o tʰ u g a ŋ p u	ʔ o ɲ u g a m p u	o i g a ŋ p u	
1602	tʃ a			tʃ a				tʃ a
388	g u w a			g o w a				
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
2033	g o k p o	g o k tʃ u	g o k p o	g o k tʃʰ a m	g o k p o			g o k p a n
627		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2605	ɾ e d̪ a ŋ			pʰ a i ɾ e d̪ a ŋ				
989	tʃʰ a b u l a			tʃʰ a b u				
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
1760	s a h̥	s a h̥	s a	s a				
379	g u ɾ gʱ a ŋ			kʰ u r kʰ a ŋ	kʰ u r kʰ a ŋ		kʰ u r kʰ a ŋ	
74				n a n	n a n			
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
311		d a			d a	d a	d a	
1629					ŋ o n b u		ŋ o n b u	
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
2350					tʃ o kʰ ə n			tʃʰ o l a n
1040	pʰ u i b u			pʰ o i b u				
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
962	s e m				s e m			s e m
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
2191		m a g ɾ a k a n				m a g ɾ a k a n	m a g r a kʰ e n	
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
1150	s o ŋ o		z o ŋ a		s o ŋ a	s o ŋ a	s o ŋ a	
1014			g e s t̪ u j a			g e s t̪ u r		
1548		pʰ e l u tʃ o k			pʰ e l u tʃ o k	pʰ e l u tʃ o k		
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
