COGID	Albanian	English	French	German	Latin
560-1	r e r				
438-1	a r ə r				
1222-1	r e r				
353-1	r e a r r				
201-1	r a r r				
20-1	r a r				
503-1	r r e r				
957-1	r e r				
728-1	e a r r				
244-1	r e r y r				
289-1	r r a r r				
911-1	r a r r y r				
724-1	r e r y				
145-1	r r y				
992-1	r e				
1181-1	r e a r r				
741-1	r r a r				
1150-1	r r e r r r r				
585-1	r e				
814-1	m ə r r a r				
916-1	e r				
1079-1	r r ə				
630-1	a r r ə r r				
343-1	r a r ə				
8-1	r r r r e r				
385-1	r e				
683-1	r a r r ə				
650-1	r r a r r				
612-1	r e r				
871-1	r a r a r r				
667-1	r e r ə				
527-1	r e r e r				
499-1	r e				
1029-1	r e				
560-2		ɛ r i i			
438-2		u au i			
1222-2		ɛ ɛ i			
353-2		f r ɪ t			
201-2		f au i			
20-2		h ɪ r i			
503-2		f r o i			
957-2		g i			
728-2		au au ɛ			
244-2		au ɪ ɛ i			
289-2		au r o n d			
911-2		au ɛ i ɛ			
724-2		g ɛ i i			
145-2		h w i			
992-2		w i			
706-2		e au ɛ			
106-2		f ʊ d ə			
741-2		h t i			
421-2		b au ɛ d			
227-2		f r ɛ			
920-2		h ɛ ɛ n			
1083-2		h ɛ au i			
1066-2		ɪ i i			
1125-2		k ʊ i i			
1197-2		au au ð ə			
473-2		au ɪ ɛ			
284-2		au au s			
661-2		g au ɛ			
701-2		au ɛ			
315-2		au au			
1169-2		h a i			
1150-2		g k ə i t			
982-2		au au ɪ			
987-2		s au ɛ			
1055-2		h au d ə			
1130-2		h e			
433-2		h au ɛ i			
625-2		au au ɛ			
1186-2		h au ɛ d			
416-2		g au i d			
1233-2		w au d			
884-2		w ɛ ɛ i			
1016-2		au h au			
952-2		ʊ d			
78-2		b l ɛ s			
514-2		k g r i			
116-2		ai s			
188-2		f h ɛ			
745-2		f ɪ ð ə r			
1100-2		f au r au t			
47-2		h p au			
111-2		au ʊ			
1061-2		h au n t			
24-2		h ɪ d			
232-2		h ɪ ɛ d			
671-2		g au o t			
385-2		i i			
945-2		h ɛ ɛ n			
644-2		h ʊ ʃ			
1041-2		h t ɛ d d			
492-2		h ɛ ɛ			
1209-2		ɛ au d			
527-2		w ai t ə			
14-2		k ʊ l t t			
1-2		ɔ l			
915-2		au d			
271-2		a s i			
560-3			ɛ ɛ a e		
438-3			o u ɛ		
1222-3			a u u r		
353-3			p r u s s		
201-3			s ɑ̃ s		
20-3			k a r u		
503-3			p a a e		
957-3			s ɑ̃		
728-3			u ɑ̃ ɛ		
244-3			u a u ɑ̃		
289-3			a k u e		
911-3			u ɑ̃		
724-3			g ɛ n u		
145-3			d r u		
992-3			s u		
1181-3			e k ɑ̃ s		
706-3			ɔ k ø u		
106-3			p u ɛ e		
741-3			p u a s		
421-3			f u u ɛ e		
227-3			k w ɛ e		
920-3			k ɔ s e e		
1083-3			k ɔ r		
1066-3			ɛ u		
1125-3			ʒ ə n u		
1197-3			u u ɛ e		
473-3			u ɔ v ɛ e		
284-3			u u		
661-3			ɔ̃ u e		
701-3			u u s r o		
315-3			u u d		
1169-3			m u e		
1150-3			p p ɔ̃ p ɑ̃		
982-3			k r ɛ		
987-3			p u u		
1055-3			f p t p u u z		
1130-3			r i a		
433-3			f u u t e		
585-3			s		
625-3			v u e		
1186-3			t u n e		
814-3			v a a p a r		
416-3			k u ɛ z		
1233-3			u ɔ̃ t		
884-3			u u r e		
916-3			a r		
1016-3			ɛ̃ u u u u		
952-3			o		
514-3			p u e s e		
1079-3			s ɛ		
1100-3			g r p u e e		
47-3			r r ø u		
111-3			u u		
1061-3			m ɔ̃ t ɛ e		
1155-3			k ɔ r		
343-3			a ɛ a s ɛ		
671-3			g r p u e e		
460-3			p u t d		
8-3			p ɛ r p ɑ̃		
644-3			r u t e		
683-3			ʃ ɑ̃		
650-3			e s a r		
612-3			s a		
871-3			p a p ɑ̃		
1209-3			v ɔ u ɛ e		
667-3			a a z o		
499-3			n		
14-3			ɔ̃ u e u		
1029-3			a o		
272-3			k ə r		
560-4				eː m oː	
438-4				eː eː au s	
1222-4				eː au i s	
353-4				f t i ə	
201-4				m eː n l ə	
20-4				m eː n oː ə	
503-4				ʃ n oː	
957-4				m i	
728-4				eː au au ə	
244-4				eː eː oː ə n	
289-4				eː t i s t	
911-4				eː eː k oː ə t	
724-4				m i t i	
145-4				ʃ t au	
992-4				h au	
1181-4				h t oː l t	
706-4				eː b au l	
106-4				h eː d ə	
421-4				f eː au ə r	
227-4				f g uː s	
920-4				h eː eː t ə ə	
1083-4				h eː	
1066-4				au n eː	
1125-4				h au	
1197-4				eː eː n ə	
473-4				eː eː l ə n	
284-4				eː eː	
661-4				v eː	
701-4				eː eː g	
315-4				eː eː b ə n	
1169-4				z eː s	
1150-4				ʃ t oː oː t oː n	
982-4				g eː eː t	
987-4				ʃ eː aː	
1055-4				eː p n n ə n	
1130-4				eː eː k	
433-4				eː eː d ə	
585-4				t au	
625-4				eː eː au ə	
1186-4				h eː n d	
814-4				n i oː t oː t	
416-4				g v ai t	
1233-4				eː eː d	
884-4				eː eː au	
78-4				b eː au s	
514-4				b eː r k n ə	
116-4				eː s	
188-4				f n eː n ə n	
745-4				f eː l ə r	
1100-4				f r k u ə t	
630-4				eː n t oː t t	
1155-4				h au ə l	
24-4				eː u n t	
232-4				eː au n ə	
671-4				g r k u ə t	
460-4				h eː t n ə t	
8-4				t i ʃ t oː t	
385-4				z eː	
945-4				eː eː n	
1041-4				eː t ai n d	
492-4				d eː ə	
527-4				v a t aː i	
14-4				j a l ə	
1-4				a l	
915-4				a n d	
271-4				a ʃ g	
560-5					a aː n o
438-5					a r aː
1222-5					a l aː
353-5					p e i o
201-5					f oː n u e
20-5					k au d e t
503-5					p l aː n a
957-5					a aː a
728-5					l a n i e
244-5					a oː l e e
289-5					a a aː u o
911-5					r u e e o
724-5					a e a aː
145-5					a k aː eː
992-5					a iː
1181-5					s l aː i o
706-5					a i i u
106-5					k e b u e
741-5					a a aː i o
421-5					f e a a a
