COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o						
522-1	ɣ ɜ ɣ o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ ɜ n̪ m u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ ʈ β̞ ɑ						
205-1	p r̪ ɜ p ɑ						
1089-1	l ɜ x r̪ ɪ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	g ɑ k p ɑ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ ɪ ŋ						
320-1							
1106-1	b u b						
693-1	h ɜ t̪ o ɽ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɑ q p ɑ						
1424-1	s̪ k u t̪ ʊ p ɑ						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɑ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	s̪ p i l						
820-1	l̪ o k						
1636-1	x l̪ u ŋ						
1331-1	ʊ ɾ d̪ β̞ ɑ						
1097-1	l ɜ m						
1223-1	ɾ ɜ ŋ ɑ						
592-1	m e						
1290-1	t̪ u t̪ ʊ p ɑ						
669-1	s̪ x ɛ ɾ						
1472-1	s̪ t̪ ɑ ɣ ʑ i						
788-1	l u n̪ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m i n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ r̪ i õ ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ɾ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ i l						
610-1	p ɑ						
350-1	ɾ ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ β̞ ɑ						
431-1	kʰ i						
1298-1	ɣ o b u l						
929-1	g ɜ ŋ g i						
1315-1	t̪ ɑ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o n̪ o						
1306-1	b u r̪						
405-1	b o ŋ o						
294-1	pʰ r̪ u						
661-1	b o ŋ o						
413-1	ʑ ɜ q						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o b ɜ ɾ						
181-1	pʰ i r̪ o q						
1660-1	g ʊ n̪ d e						
