COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u r u															
1089-1	k u m															
1319-1	k ɔ r															
1398-1	s u r u r r u															
1557-1	k i r u															
1626-1	k u r															
1840-1	t i r u															
2247-1	k ɔ															
4677-1	k u r u j															
5162-1	m i n r ɛ															
5406-1	t o n d u															
359-1	k a r u															
1577-1	k i r u															
2196-1	k a r a															
2230-1	s i r u															
2533-1	k a r u															
3605-1	k a n d a															
3866-1	k ɔ s u															
4553-1	t a n u u															
4822-1	k u m b ɔ															
5254-1	d u r ɔ															
503-1	k i r ɛ															
1356-1	m a j a															
1881-1	k u m u j															
3218-1	b u n s u															
3372-1	k a r a															
3718-1	k a r u															
4135-1	k a r u															
4694-1	k u s r u															
807-1	k ɔ m b u															
2320-1	k a r ɛ															
2476-1	k u r															
3719-1	m u															
4081-1	d a m b r i															
4313-1	k ɛ m r															
4460-1	s u j ɔ															
5810-1	k i n d u															
93-1	t ɔ															
260-1	b i n d ɛ															
385-1	t ɛ m b ɛ															
890-1	k a m b i r u															
1336-1	t ɛ r ɛ															
1703-1	k ɔ															
1769-1	t ɛ m b u															
2162-1	k ɛ r ɛ															
2635-1	s ɔ															
3031-1	t ɛ r ɛ															
4591-1	k ɛ r u															
5301-1	k ɛ r u															
5605-1	t i r ɛ															
463-1	t u m b u															
1432-1	t a r u															
1474-1	t u r															
1788-1	s i r u															
2044-1	k i m b ɛ															
2713-1	t ɛ m b ɛ n d ɛ r ɛ															
3219-1	d ɔ s a															
3425-1	j u															
4184-1	k ɛ j u															
4629-1	k u r u															
4759-1	k i r i															
4904-1	k r u r ɔ															
4960-1	k i n r u															
4980-1	t ɔ r															
5059-1	k u r ɔ															
5339-1	k u r															
5549-1	t a n a															
5905-1	t i r u															
5922-1	p u r u															
5938-1	a s u n s ɔ															
1-1	k ɛ															
483-1	k u s u															
629-1	d ɔ r															
667-1	ɛ r ɛ															
1254-1	s u m s u r u															
1415-1	ɔ r ɛ															
1542-1	k r u															
1683-1	s i r															
1898-1	k u r u j															
2901-1	t u n r u															
2957-1	m a n d i															
3048-1	k i j ɛ															
3251-1	k a r u															
3885-1	d ɔ r u															
4402-1	j i															
5622-1	k e r i j ɛ j															
6006-1	k i r a															
135-1	t u n d u															
158-1	m b ɔ s u															
194-1	k ɛ j															
221-1	ɛ s u															
650-1	k ɛ s i															
1152-1	t i r ɛ															
1374-1	k ɔ r ɔ															
1452-1	k u r a															
1862-1	i s i															
2083-1	k a n r u															
2108-1	k i n j															
2636-1	m															
2924-1	k ɔ r u															
2941-1	b i r u															
3405-1	k ɛ m ɛ j															
3751-1	dʒ e															
4066-1	k ɔ r ɔ															
4535-1	s u w ɔ															
4888-1	s a m j a															
5583-1	k e r u															
5751-1	t i j ɛ															
5981-1	a r a															
114-1	d ɔ r															
851-1	d u r															
1941-1	k u r u															
2179-1	n d i															
2351-1	k u r															
2496-1	k u															
3482-1	m i z u r e															
3497-1	dʒ r u															
3588-1	k e r u															
4202-1	k o r u r e															
4293-1	dʒ															
4921-1	s a m b															
408-1	k e m b i															
545-1	e r u															
978-1	t a m u															
1052-1	k u m b u															
1070-1	dʒ u r u															
1942-1	ɔ e															
2456-1	k ɔ r u															
2514-1	d u s u															
2666-1	s i j i															
2817-1	ɔ i															
3132-1	d u u															
3300-1	ɛ r u															
3976-1	dʒ r u															
4152-1	k u r u															
4361-1	t ɛ r u															
4570-1	t ɔ r u															
4648-1	j ɛ															
5318-1	dʒ e															
5673-1	t ɛ r d															
5887-1	j a m															
446-1	k ɔ n d ɔ r ɔ															
521-1	k a r u m															
1108-1	k u j ɔ															
1124-1	i r j a															
1745-1	t a j a															
1823-1	k ɔ r															
2143-1	j a															
2265-1	u r ɔ															
2392-1	k t ɔ s u															
2579-1	t ɔ															
2774-1	k a s u															
3339-1	k a r a															
3550-1	t i n i r i															
4024-1	z uː															
4219-1	k a m b u															
4240-1	k ɛ r u															
4259-1	k uː r e															
4738-1	k i n d e															
5197-1	ɛ r u															
5447-1	k i s e															
5531-1	t i r u															
5733-1	j i															
5828-1	k a z u															
562-1	s u m b u															
998-1	dʒ															
1022-1	t i r i															
1023-1	m ɛ															
1205-1	j ɛ															
1275-1	m															
1578-1	d u m															
2063-1	i r ɛ															
2334-1	ɛ r u															
2798-1	t i r ɛ j̃															
3252-1	d m b e r															
3463-1	k z u															
3683-1	t i r i															
3772-1	t u m ɔ															
3790-1	k u															
4052-1	d e r															
4220-1	z u															
4440-1	dʒ e m															
4479-1	k															
4711-1	j a r u															
4778-1	s a s i r i															
4821-1	m u															
4941-1	ɔ j ɔ															
5272-1	t ɛ r u															
5423-1	ɔ s ɔ															
5424-1	k ɔ r ɔ															
563-1	s u m															
613-1	m a m															
684-1	k a r i															
742-1	t a r a															
1204-1	k ɛ r i															
1373-1	t s u s u															
1787-1	m															
1988-1	k b ɛ n d i															
2283-1	k ɛ r i															
2372-1	k e r u															
2441-1	m															
2598-1	j ɛ j															
2773-1	k a r m ɛ															
3011-1	t a n d a j															
3176-1	t ɔ r ɔ															
3283-1	o r															
3318-1	n a n d e															
715-2		t u j														
1089-2		k a														
1319-2		k ɔ														
1398-2		s u u r														
1557-2		tʃ i r ɔ														
1626-2		w a w														
1840-2		t i r														
2247-2		k o														
4677-2		k u r ɔ j														
5162-2		m i r ɔ														
5406-2		t u l i														
359-2		k a r u														
1577-2		tʃ i r ɔ														
2196-2		t a r a														
2230-2		s i j ɛ														
2533-2		b a r i														
3605-2		k a l a														
3866-2		o s u														
4553-2		t a														
4822-2		k u m o														
5254-2		d u r ɔ														
503-2		tʃ i r ɛ j														
1356-2		m a w														
1881-2		j u m u j														
2084-2		u u w ɔ u														
2420-2		g u r o														
3218-2		s u s u														
3372-2		t a m a														
3718-2		a r i														
4135-2		b a r a j̃														
4694-2		k u s u u														
807-2		k o m i														
2320-2		k a ɛ														
2476-2		k u														
2842-2		dʒ i w u														
4081-2		t a m i														
4313-2		tʃ ɛ														
4460-2		s u j ɔ														
5514-2		dʒ ɛ ŋ dʒ ɛ														
5810-2		t i l ɛ														
93-2		m ɔ														
260-2		b i r ɔ														
385-2		s ɛ m b ɛ														
890-2		a m b i r i														
1336-2		t ɛ w ɔ														
1703-2		b ɔ														
1769-2		t ɛ m l i														
2162-2		b ɛ r ɛ														
2635-2		s u														
2735-2		j a n dʒ ɛ r u														
3031-2		t ɛ														
4591-2		k ɛ r i														
5301-2		tʃ ɛ r u														
5605-2		t i m ɛ j̃														
296-2		dʒ a m s a														
463-2		t u m u														
762-2		k a n a ŋ g u r o														
1432-2		t a r i														
1474-2		t ɔ														
1788-2		s i r i														
2044-2		t i m l o														
2713-2		t ɛ m ɛ l ɛ r ɛ														
3219-2		d a s u														
3425-2		j u														
4184-2		tʃ ɛ j														
4629-2		k u a														
4759-2		k i j ɛ														
4904-2		u m a														
4960-2		k i u r u														
4980-2		t ɔ r i														
5059-2		k u r ɔ														
5125-2		b ɔ ŋ dʒ ɛ														
5339-2		b a														
5549-2		t a w a														
5771-2		dʒ u w u														
5905-2		t i r														
5938-2		a s u a														
1-2		m ɛ														
483-2		k u s u														
629-2		d ɔ														
667-2		ɛ w ɛ														
1254-2		d u u r u														
1415-2		ɔ ɛ														
1542-2		n u														
1683-2		s i j														
1898-2		k u r ɔ														
2551-2		r i														
2901-2		t u l i														
2957-2		m a l i														
3048-2		b i j ɛ														
3251-2		dʒ a r a														
3885-2		t ɛ r														
4402-2		j i														
5081-2		dʒ i j dʒ ɛ r i														
5622-2		tʃ ɛ r i j ɛ j														
6006-2		t i r a														
43-2		s u														
135-2		t u l u														
158-2		m ɔ s u														
194-2		b ɛ j̃														
221-2		ɛ s u														
650-2		b ɛ s i														
1152-2		t i w ɛ														
1374-2		k ɔ r ɔ														
1452-2		tʃ u r a														
1862-2		i s i														
2108-2		t i ɛ j														
2636-2		m														
2880-2		k u ŋ dʒ u s o														
2924-2		tʃ o														
2941-2		b i r i														
3405-2		ɛ m ɛ j̃														
3959-2		t u r u														
4066-2		tʃ ɔ r ɔ														
4535-2		s u w ɔ														
4888-2		s a m i a														
5180-2		s u m s ɛ														
5751-2		t i j ɛ														
5981-2		a r a														
114-2		t ɔ j														
702-2		ɔ g ɔ r ɔ r u														
851-2		k u														
872-2		i ŋ dʒ ɛ														
952-2		g u r u s u														
2179-2		l i														
2351-2		b u w														
2496-2		k u														
4609-2		k o r w a														
4740-2		g u l u														
4921-2		s a m a														
5982-2		g u ŋ s u														
978-2		t a m														
999-2		j i														
