COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z ɔ n ə			
2054-1	d ɔ n ə ə r			
1375-1	l ɛɪ x t			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m oː d ə r			
1351-1	x r ɛɪ n + t aː ɑ r			
1353-1	x r ɛɪ n + m oː t ə r			
412-1	v ɑ s ɣ r r ɛɪ n aː d ə r			
406-1	m w ɪ ɣ r r + m ə r			
1005-1	s t iː p + + ɑ d ə r			
1012-1	s t eː p + m oː t ə r			
1016-1	w ɪ d w ə r			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m ɑu l l t			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b ɑ r t			
2032-1	h oː r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r t			
1534-1	l ɛ k			
384-1	z ɪ k			
1650-1	n oː t			
1663-1	s ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z ɑ t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h oː n d ə r t			
1970-1	v ɔ l			
1230-1	d r p t ə			
2017-1	n oː j			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ j			
1832-1	r ɔ w			
-1816-1	oː s aː aː			
-335-1	l ə ɣ uː n ə			
1043-1	s t r ɔ m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r aː n + + + b oː ɣ			
1368-1	s ɑ d ə			
1365-1	d oː w			
754-1	r aː n ə			
768-1	w ɛ d ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː b eː			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n eː v ə			
409-1	z w n ɣ ə r + z ɔ n			
402-1	d w x ɣ r r ɛɪ n + iː t ə			
1014-1	s t iː p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l f			
2197-1	s aː p			
1523-1	z uː w			
1521-1	b ɔ k			
512-1	m ɛ r aː j			
2141-1	h uː n			
2147-1	x aː s t			
814-1	k r h			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m œy s			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l oː			
711-1	w ɑ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ x			
-73-1	m ɔ s k iː t oː			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l uː t			
690-1	r ʉ p			
2177-1	h oː p t			
246-1	œy ɣ ə r + b r ɑu			
249-1	œy ɣ l ɛɪ d ə iː t			
1506-1	n aː z t ə ə l			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s ɔ l t ə r			
575-1	ɑ k s ə l + h			
603-1	ɛ l + + + b oː ɣ			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r r			
901-1	k l uː			
608-1	v uː t			
596-1	t aː			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l eː v ə r			
1606-1	h ʉ p			
472-1	s n z ɪ			
1535-1	z w ɛ t ə			
1546-1	s p ɪ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r ɛɪ m ə			
323-1	l ɛɪ l ə			
1885-1	x r ɑ p			
2156-1	k r + k l t +			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɪ ŋ			
276-1	l ɑ m aː j			
274-1	d iː p			
278-1	b l ɛɪ n t			
258-1	d ə oː d r ɔ ŋ k			
256-1	n aː k t t			
383-1	s t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n ə			
