COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	ʔ a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m															
2017-1	h e															
1004-1	m j															
614-1	b ou̯ h															
686-1	b l e															
88-1	g au̯ ʔ															
872-1	n ɨ ŋ															
1891-1	d j															
68-1	s ɨi̯ m															
631-1	b ɨ n															
594-1	g j															
1759-1	h a n															
805-1	g ɨ n															
756-1	h ɨ ʔ															
1201-1	m o ʔ															
2042-1	ʔ j															
1968-1	d a ʔ															
2000-1	j ŋ															
17-1	ă ʔ															
4-1	ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ j ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	j m															
1652-1	c ɨ n															
576-1	ŋ ɔ															
1738-1	d a ʔ															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă ʔ															
957-1	n o p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j o m															
1796-1	c ɔ ŋ															
720-1	t ai̯ h															
287-1	ʔ a p															
321-1	g o h															
206-1	d ou̯ ʔ															
1950-1	ʔ ɔ															
665-1	o n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	ʔ au̯ t															
269-1	g o t															
855-1	c a n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r d															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ u ʔ														
2163-2		kʰ o n														
2181-2		n a m														
2060-2		ʔ o m														
410-2		d aːi̯														
1841-2		m ɔ														
2017-2		h ɔi̯														
1004-2		m aː														
614-2		b o h														
686-2		b l ɔi̯														
88-2		k ɔ k														
872-2		n ɨː ŋ														
1891-2		d aː														
68-2		s ui̯ m														
631-2		b ɣ														
594-2		k aː														
1759-2		h a n														
805-2		k i n														
756-2		h ɨː k														
1201-2		m au̯ ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		l aː ŋ														
17-2		w a d														
4-2		ai̯ eːu̯ m														
788-2		d ai̯														
1219-2		h ui̯ m														
141-2		ʔ aː ŋ														
541-2		b ɣ j a ŋ														
1687-2		h u n														
123-2		ai̯ aː m														
1652-2		dʑ ə n														
576-2		ŋ a														
1738-2		d a k														
442-2		h oː m														
368-2		d j a ŋ														
1778-2		b a d														
957-2		n a b														
1704-2		ʔ i ʔ														
304-2		j a m														
1796-2		dʑ a ŋ														
720-2		d aːi̯ h														
287-2		k ə b														
321-2		k o h														
206-2		d o k														
1950-2		ʔ f														
665-2		ai̯ au̯ n														
703-2		n o k														
1290-2		m aːi̯														
1391-2		k a d														
269-2		k a d														
855-2		dʑ a n														
2078-2		s i														
2213-2		m ai̯														
1859-3			ŋ aːi̯													
175-3			k ə													
241-3			ʔ ui̯ t													
2163-3			kʰ o r													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ ai̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			aː													
614-3			b o h													
686-3			b l i													
