COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a															
2060-1	ʔ ă m															
410-1	d ai̯															
1841-1	m o															
2017-1	h e															
1004-1	d ou̯															
614-1	b ou̯ h															
686-1	b l e															
88-1	g a ʔ															
872-1	n ɨ ŋ															
1891-1	d aː															
68-1	s e m															
631-1	p ə n															
594-1	g a															
1759-1	h ă ɲ															
805-1	g e ɲ															
756-1	h ui̯ k															
1201-1	m ɔ ʔ															
2042-1	ʔ a															
1968-1	d ă ʔ															
2000-1	t ou̯ ŋ															
17-1	v ă ʔ															
4-1	ɔ ə m															
788-1	d ɛ															
1219-1	h ɨi̯															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	ou̯ m															
1652-1	c e ɲ															
576-1	ŋ au̯															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	b ă ʔ															
957-1	n ă															
1704-1	ʔ ɨi̯															
304-1	c ă m															
1796-1	c ɔ ŋ															
720-1	t ă h															
287-1	g ə̆ p															
321-1	g ə̆ ŋ															
206-1	d u ʔ															
1950-1	ʔ ɔː															
665-1	ɔ n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	g ă ʔ															
269-1	g ă ʔ															
855-1	c ă n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ə̆ ɛ															
1859-2		ŋ a														
175-2		k a n														
241-2		ʔ uː														
2163-2		kʰ uː														
2181-2		n a m														
2060-2		ʔ u m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k ɔ ʔ														
872-2		n u ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b ə n														
594-2		k a aː														
1759-2		h a ɲ														
805-2		g i ɲ														
756-2		h u k														
1201-2		m u ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		d aː ŋ														
17-2		v a ʔ														
4-2		o əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b r o ŋ														
1687-2		h uː														
123-2		o aː m														
