COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ o ʔ															
2163-1	kʰ o ɲ															
2181-1	n a m															
2060-1	ʔ ɛ m															
410-1	t ɛ															
1841-1	m o															
2017-1	h ei̯															
1004-1	l ɛ															
614-1	p o h															
686-1	p l ɛ															
88-1	g ɛ ʔ															
872-1	n u ŋ															
1891-1	t aːi̯															
68-1	s ɛ m															
631-1	p ə̆ n															
594-1	g ɛ															
1759-1	h a ɲ															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m o a ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	h ɛ ŋ															
17-1	v a t															
4-1	ə ə m															
788-1	t ɛ															
1219-1	kʰ ɛ m															
141-1	ʔ ɛ ŋ															
541-1	p j a ŋ															
1687-1	h o r															
123-1	n aːi̯ m															
1652-1	t ɨ ŋ															
576-1	ŋ ɛ															
1738-1	t a															
442-1	h w m															
368-1	t j a ŋ															
1778-1	p a t															
957-1	n a p															
1704-1	ʔ ɛ ʔ															
304-1	c a m															
1796-1	t a ŋ															
720-1	t ɛ h															
287-1	g ə̆ p															
321-1	g ə ŋ															
206-1	t o ʔ															
1950-1	ʔ oːi̯ ɛ															
665-1	ə o a n															
703-1	n o ʔ															
1290-1	m a															
1391-1	g ɛ															
269-1	g a t															
855-1	t a n															
2078-1	s ɛ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ə̆ t															
340-1	s a															
1111-1	s ɛ															
485-1	ŋ ɛ															
1356-1	m u h															
1093-1	l ə ŋ															
1063-1	t w m															
648-1	t ə ŋ															
223-1	g ɔ n															
1248-1	t ə															
1509-1	t ɛ ŋ															
504-1	t o h															
2130-1	s ɛ															
1-1	ʔ o															
386-1	n o a															
1411-1	ʔ o															
1027-1	g a ʔ															
1459-1	k l															
1323-1	m ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ ɛ															
1476-1	ʔ a ɛ															
1923-1	n ɛ n															
105-1	v a ŋ															
1431-1	ʔ ɛ															
1814-1	m a ɲ															
1183-1	n o ŋ															
1430-1	t ɛ															
1721-1	ʔ u ʔ															
1617-1	p o ʔ															
1564-1	p ɔ ʔ															
2111-1	l ɛ															
