COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u t															
2163-1	kʰ u n															
2181-1	n ə̆ m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m n															
2017-1	h e															
1004-1	o ə̆															
614-1	b ou̯ h															
686-1	b l e															
88-1	k au̯ ʔ															
872-1	n ɨ ŋ															
1891-1	d ə̆															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ə̆															
1759-1	h a n															
805-1	g e ɲ															
756-1	h ɨ k															
1201-1	m oi̯ t															
2042-1	ʔ a															
1968-1	d ă ʔ															
2000-1	t a ŋ															
17-1	v a t															
4-1	pʰ ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	n a m															
1652-1	c e n															
576-1	ŋ ɔ															
1738-1	d a k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n e m														
2060-2		ʔ oː m														
410-2		d ai̯														
1841-2		m dʑ														
2017-2		h ɔːi̯														
1004-2		b aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		g ɔ k														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b u b														
594-2		k aː														
1759-2		h a n														
805-2		g ə n														
756-2		h ɨ k														
1201-2		m oːi̯ ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		d aː ŋ														
17-2		v a ʔ														
4-2		pʰ əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b ɣ dʑ a ŋ														
1687-2		h uː														
123-2		aː m														
1652-2		dʑ i n														
576-2		ŋ ɔ														
1738-2		d a k														
442-2		h oː m														
368-2		d dʑ a ŋ														
1778-2		b a ʔ														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a m													
2060-3			ʔ o m													
410-3			ɗ ai̯													
1841-3			m aː													
2017-3			h e													
1004-3			ɓ aː													
614-3			b o h													
686-3			b l i													
88-3			g a k													
872-3			n oi̯ ŋ													
