COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t o k ʔ									
56-1	t u m a									
96-1	i									
99-1	a m a m i n									
114-1	t o k									
115-1	k o n									
133-1	t a k m a									
144-1	a a n									
150-1	k o e									
234-1	k a n									
236-1	p a k a n									
241-1	t o k p a a n									
249-1	u m a									
1-1	i a a ʔ									
2-1	m e k m n n									
65-1	i w									
74-1	p a n a									
52-2		t e h i								
56-2		t e m a								
96-2		a r a s i								
99-2		a m i m a m p								
114-2		t e k i s i								
115-2		i m i s i								
133-2		t i p r i s i								
144-2		a r a m i s i								
150-2		t a i								
234-2		t e m								
236-2		e k i m								
241-2		t e k m i a n								
249-2		i p i								
74-2		p a n a								
93-2		t o p i m i s i								
95-2		a k a s i								
52-3			p o a e							
56-3			t m e							
96-3			k m a tʃ e							
99-3			a m a m a a							
114-3			k h i tʃ e							
115-3			t a m i tʃ e							
133-3			k i t i m a tʃ e							
144-3			k m a m a tʃ e							
150-3			p a e							
234-3			i tʃ e n							
236-3			k a h e m							
241-3			p a tʃ k a e							
249-3			tʃ e							
1-3			m e							
2-3			i m i tʃ m t i							
65-3			k i							
93-3			k a p a m i tʃ e							
95-3			i a a tʃ e							
52-4				t a t						
56-4				t u m a						
96-4				a t a o						
99-4				o a m n						
114-4				t o k						
115-4				k a n						
133-4				p t a a						
144-4				a a n						
150-4				k a e						
234-4				t a n						
236-4				p a k a n						
241-4				a k a a n						
249-4				i m a						
1-4				w a m i						
2-4				w i k m						
65-4				i w						
74-4				p a n a						
93-4				t a p a k						
95-4				i a k						
52-5					t i k i					
56-5					t i m i					
96-5					k a r i s i					
99-5					a m i m i m n					
114-5					t o k i s i					
115-5					m i m i s i					
133-5					t i k i r i s i					
144-5					k a r a m i s i					
150-5					k a i					
234-5					k i m					
236-5					t a k i n					
241-5					k i m a i a n					
249-5					i m i					
1-5					w a r i					
2-5					f i m					
65-5					i w					
74-5					p a n a					
93-5					t o p i r i s i					
95-5					i i t i i					
52-6						p a t u i				
56-6						tʃ a m i				
96-6						p a m a tʃ i				
99-6						a j a m a m t i o				
114-6						t u k a tʃ i				
115-6						p k a m a tʃ i				
133-6						t t i p i t a tʃ i				
144-6						p a j a m a tʃ i				
150-6						k a i				
234-6						a t i n				
236-6						p a k i n i				
241-6						p a k a i n				
249-6						a tʃ i				
1-6						j a m i				
2-6						i m a t m e				
65-6						a w u t i				
74-6						p a n a				
93-6						t a p a m a tʃ i				
95-6						i j a t i i				
52-7							t a k a			
56-7							t i m i			
96-7							k a m a			
99-7							a a i m a			
114-7							t u k i			
115-7							k a m i			
133-7							t a k m a i			
144-7							k u r a m i			
150-7							k i i			
234-7							a k i			
236-7							t a k a m			
241-7							k a k k o i n			
249-7							i m i			
1-7							a a m i			
2-7							a w i k m			
65-7							i w i			
74-7							p a n a			
93-7							t a k a m i			
95-7							a i a k i a			
52-8								t a e		
56-8								t a m a		
96-8								k a r i s i		
99-8								m a k a m		
114-8								t a k i s i		
115-8								a k a s i		
133-8								k a t a s i		
144-8								k a r a i s i		
150-8								k a		
234-8								k a		
236-8								t a k a		
241-8								k a e i a		
249-8								y h a		
1-8								j a p i		
2-8								a i		
65-8								a a		
74-8								t a a		
93-8								t u p a i s i		
95-8								j a i a i		
52-9									k i t i	
56-9									t i m i ʔ	
96-9									k a r i ʃ i ʔ	
99-9									a m i m i m	
114-9									t a k a ʃ i ʔ	
115-9									a i m i ʃ i ʔ	
133-9									t i k a r i ʃ i ʔ	
144-9									k i r i m i ʃ i ʔ	
150-9									k a i	
234-9									k i n	
236-9									t i k i m	
241-9									k a k a a i n	
249-9									i ʃ i ʔ	
1-9									i a r i ʔ	
2-9									a i i m	
65-9									a w	
74-9									p a n a	
93-9									t a p i m i ʃ i ʔ	
95-9									i a i i ʃ i	
52-10										k o ʔ
56-10										t m i ʔ
96-10										k a r tʃ ʔ
99-10										m i m i m ʔ
114-10										t o k a tʃ i ʔ
115-10										i m i tʃ i ʔ
133-10										t i k i r i tʃ i ʔ
144-10										k r a m tʃ i ʔ
150-10										k a i ʔ
234-10										k i
236-10										p k i n ʔ
241-10										t a k k i n
249-10										m i
1-10										i a m i ʔ
2-10										w i ʔ m ʔ
65-10										i w i i
74-10										p a n a
93-10										t o p i m i tʃ i ʔ
95-10										i i k i
