COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	e k + n e x + tɬ i								
8-1	w e i j								
16-1	e s + tɬ i								
24-1	i s t i + tɬ								
32-1	m i k i								
51-1	i o n + i i tɬ								
52-1	w a aː + k i								
53-1	n a k a s tɬ i								
54-1	tɬ a l + l i								
55-1	k w a tɬ i								
60-1	i x + t e l l l								
83-1	tɬ e i + l tɬ tɬ								
87-1	p a tɬ a n i								
92-1	m a k a								
103-1	m a tɬ								
106-1	k a k i								
138-1	n e w a								
139-1	m i k + + + t i a + tɬ i								
142-1	m a t i								
145-1	m o + t e + k a tɬ								
176-1	tɬ a k a + tɬ								
179-1	n a k a + tɬ								
180-1	m e tɬ + tɬ i								
186-1	k e tʃ + i								
190-1	j e k a + k								
194-1	s e a								
220-1	o ʔ + + tɬ i								
231-1	i + tɬ a								
240-1	k o tʃ i								
283-1	l t e + tɬ								
293-1	i n +								
314-1	k tɬ w i + tɬ i + tɬ								
315-1	oː m e								
322-1	t e ʔ w a ʔ tɬ i + l								
1-2		n u + i							
2-2		a + n e x							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w a k + t u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		k w a							
60-2		i x + t l l +							
83-2		t i + t							
87-2		p a t a n i							
92-2		m a k a							
103-2		m a							
106-2		k a k i							
138-2		n e h a							
139-2		m i k + t i a							
142-2		m a t i							
145-2		m u + t e k a							
176-2		t a k a + t							
179-2		n a k a + t							
180-2		m e + + t i							
186-2		k e							
190-2		j a k a + t							
194-2		s e							
220-2		u h + k t i							
231-2		i t a							
240-2		k u + i							
283-2		t e + t							
293-2		h i n							
314-2		k w a p i + t							
315-2		u m e							
322-2		t e h a m e h							
1-3			m o tʃ i						
2-3			n eː x i						
8-3			w eː j						
16-3			eː s + t i						
24-3			i s t i						
32-3			m i ʔ i						
51-3			o n + i						
52-3			w aː k t o						
53-3			n a k a s ʔ i						
54-3			t aː h l i						
55-3			k w aː ʔ						
60-3			i x + t o l oː l oː						
83-3			t i + ʔ t i						
87-3			p a t aː n + i						
92-3			m a ʔ a						
103-3			m aː + ʔ						
106-3			k a ʔ i						
138-3			n e h						
139-3			m i k i + t i aː						
142-3			m a t i						
145-3			m o + t e ʔ a						
176-3			t aː k aː ʔ						
179-3			n a k a + ʔ						
180-3			m eː s + t i						
186-3			k eː tʃ ʔ i						
190-3			j a k h + t i						
194-3			s e						
220-3			o h + t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			t e + t i						
293-3			i n						
314-3			k w a iː + ʔ						
315-3			oː m e						
322-3			t e h a m e h						
1-4				n o tʃ i					
2-4				o l n e x + tɬ i					
8-4				w e j h					
16-4				e s + tɬ i					
24-4				i s t e tɬ					
32-4				m i k i					
51-4				o n + i					
52-4				w a x + k i					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x h + + +					
83-4				tɬ e h + tɬ					
87-4				x a tɬ a n i					
92-4				m a k a					
103-4				m a t					
106-4				k a k i					
138-4				n e h + a					
139-4				m i k t i + t a					
142-4				m a t i					
145-4				m o + t e + k a					
176-4				o h + x e h + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e tʃ + k o tɬ a					
190-4				j e k					
194-4				s e					
220-4				o x + i tɬ					
231-4				a					
240-4				k o tʃ i					
283-4				l t e + t					
293-4				i n o					
314-4				k w a w i + tɬ					
315-4				o m e h					
322-4				t e x w e k					
1-5					w o t i				
2-5					b a + n eː x				
8-5					w e + j				
16-5					e s + t				
24-5					i s t i				
32-5					m i g				
51-5					o + i				
52-5					w aː + t o				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b w a				
60-5					iː x				
83-5					t i + t				
87-5					p a t aː n				
92-5					m a				
103-5					m a				
106-5					g a				
138-5					n e h a				
139-5					m i k + t i				
142-5					m a				
145-5					m o + t eː g a				
176-5					t aː g a t				
179-5					n a g a + t				
180-5					m eː ts + t				
186-5					g e t				
190-5					j a k				
194-5					s eː				
220-5					o h + a t				
231-5					i t a				
240-5					g o t				
283-5					t e + t i				
293-5					i n				
314-5					b a i + + t				
315-5					oː m e				
322-5					e h a m e t				
1-6						n uː t i			
2-6						a n e x			
8-6						w e j			
16-6						e s + i			
24-6						i s l			
32-6						m kx i			
51-6						i n + iː			
52-6						w aː k + l u			
53-6						n a k a s			
54-6						l aː n l			
55-6						k w a			
60-6						iː x + t uː l uː l u			
83-6						l i n t			
87-6						p a t aː n i			
92-6						m a k a			
103-6						m a j			
106-6						k a k			
138-6						n e a			
139-6						m i kx + t i a			
142-6						m a t i			
145-6						m u + t eː n k a			
176-6						t aː k a j			
179-6						n a k a + tɬ			
180-6						m eː j j + t i			
186-6						k e t			
190-6						j a k j tɬ n			
194-6						s eː			
220-6						u + t i			
231-6						i t a			
240-6						k u t			
283-6						t e + t m			
293-6						iː n			
314-6						k a w i t			
315-6						uː m e j			
322-6						t e + j e j m j			
1-7							k a k e		
2-7							n e k + t		
8-7							k e k		
16-7							e k + t e		
24-7							e a t e t		
32-7							k a k e		
51-7							e n e		
52-7							k a k t a k		
53-7							n a k e k		
54-7							t e k		
55-7							k e		
60-7							e k		
83-7							t a t		
87-7							k a t e n e		
92-7							k a k e		
103-7							k e		
106-7							k a k e		
138-7							n e		
139-7							k a k t e e		
142-7							k a t e		
145-7							k e t e k e		
176-7							t e k e + t		
179-7							n a k e + t		
180-7							k e k + t e		
186-7							k a k		
190-7							k a k		
194-7							k e		
220-7							e k t e		
231-7							e t e		
240-7							k a k e		
283-7							t e + t		
293-7							e n		
314-7							k e k e t		
315-7							e k e		
322-7							t e k e k e t		
1-8								m oː tʃ	
2-8								n ɨ + tɬ ɨ	
8-8								w ɨ h j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k	
51-8								oː n + iː +	
52-8								w p k k ɨ	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ aː l + l	
55-8								k w p h	
60-8								iː p + t ɨ l oː l oː +	
83-8								tɬ ɨ + + tɬ	
87-8								p a tɬ n	
92-8								m a k a	
103-8								m p j +	
106-8								k a k	
138-8								n ɨ h w + tɬ	
139-8								m ɨ k + t + +	
142-8								m a t	
145-8								m oː + t ɨ k a +	
176-8								t p k a + tɬ	
179-8								n a k a + tɬ	
180-8								m ɨ ts + tɬ ɨ	
186-8								k ɨ tʃ + tɬ ɨ	
190-8								j a k + tɬ	
194-8								s ɨ	
220-8								oː h + tɬ	
231-8								t t a	
240-8								k oː tʃ	
283-8								t ɨ + tɬ	
293-8								ɨ n iː	
314-8								k w a w + + + tɬ	
315-8								oː m ɨ	
322-8								t ɨ h w aː h + +	
1-9									n o tʃ iː iː
2-9									iː iː u iː o + n i x tɬ i
8-9									b e iː j u
16-9									i e s + iː
24-9									i s p iː
32-9									m i k iː
51-9									i o n +
52-9									b ø b + k iː
53-9									n a k a s + tɬ i
54-9									tɬ ø l iː iː
55-9									k w a iː iː u
60-9									iː x + t i l o l o a tɬ
83-9									tɬ i iː + u tɬ i
87-9									w a tɬ ø n i
92-9									m a k a
103-9									m a iː u u
106-9									k a k iː
138-9									n i h iː a iː
139-9									m iː k iː + t iː a
142-9									m a t iː
145-9									m o + t e k a
176-9									t ø iː k a + tɬ
179-9									n a k a tɬ
180-9									m i ts + tɬ iː
186-9									k i tʃ iː i u tɬ i
190-9									j i k a + k i tʃ
194-9									s e iː
220-9									o h + tɬ u i
231-9									i p a
240-9									k iː tʃ iː
283-9									iː iː u u u t i + tɬ i
293-9									iː n iː iː u
314-9									k i o b iː + e tɬ
315-9									u m e
322-9									t e h iː b a n
