COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə ⁴⁴									
53-1	tɕ i ³¹									
93-1	k ɯ ³¹									
216-1	ʂ w a ⁴⁴									
236-1	ts o ŋ ¹³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts o ¹³									
400-1	ɕʰ u ³¹									
452-1	k ə ⁴⁴									
463-1	k a ⁴⁴									
512-1	k u ⁴²									
534-1	tɕ ə ⁴⁴									
556-1	k w u ə									
568-1	ɕʰ ɯ ⁴⁴									
588-1	ʂ w a ⁴⁴									
599-1	k ɯ ³¹									
656-1	k w u ²¹									
678-1	k o ³¹									
689-1	m ə ³¹									
700-1	m e ⁴²									
775-1	tɕʰ j e n ⁴²									
786-1	k i ³¹									
820-1	ts o ¹³									
839-1	k ɯ ²¹									
863-1	k w u ³³									
896-1	k ə̃˞ ŋ ə									
929-1	ʈʂʰ ɯ ⁴²									
1015-1	ʂ o ³¹									
1035-1	ts o ¹³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	m o ŋ ²¹									
1294-1	k ə̃˞ ŋ ə									
1326-1	ts u ¹³									
1348-1	tɕ i ³¹									
1401-1	ɕʰ e ŋ ⁴²									
1451-1	ʂ i ³³									
1473-1	k w e ə ³³									
1507-1	tɕ i ³¹									
1532-1	k ɯ ³¹									
1543-1	ʂ ɯ ³³									
1575-1	s j e n ³⁵									
1618-1	p ɯ ³¹									
1640-1	k u ⁴⁴									
1671-1	ʂ i ⁴⁴									
1731-1	ʂ o ⁵⁵									
1762-1	s w a ³¹									
1773-1	k ɯ ⁴⁴									
1794-1	k o ŋ ə									
1805-1	ɕʰ ɯ ³¹									
1816-1	ɕʰ o ŋ ³³									
1862-1	ts i ¹³									
1885-1	k ə ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	s j e n ³⁵									
2018-1	ts o ŋ ¹³									
2029-1	k ə̃˞ ŋ ə									
2051-1	ts o ŋ ¹³									
2074-1	k o ŋ ⁴⁴									
2085-1	m ə̃˞ ³³									
2130-1	p ə ⁴⁴									
2245-1	ʈʂʰ u ⁴²									
2269-1	m e ³³									
2280-1	ɕʰ u ³¹									
2291-1	s e n ⁴²									
2316-1	ts i ¹³									
2364-1	tɕ i ³³									
2395-1	tɕ j ə˞ ⁵⁵									
2406-1	tɕ j ə˞ ⁵⁵									
2417-1	k o ³¹									
2428-1	k ə̃˞ ŋ ə									
2450-1	k ʈʂʰ o ²¹									
2484-1	ʂ w i ⁴⁴									
2495-1	k u ³¹									
2565-1	tɕ w ɯ ə									
2611-1	j ə ⁴⁴									
2632-1	k w ẽ ⁴⁴									
2644-1	k w ẽ ³¹									
2674-1	m o ŋ ³³									
2698-1	ʂ o ³³									
2709-1	m i ³¹									
2720-1	ʈʂʰ ts o ⁴²									
2772-1	k ə ⁴⁴									
2791-1	ts j ə˞ ⁵⁵									
2837-1	tɕ ə˞ n ³⁵									
2859-1	ʂ j e n ³⁵									
2889-1	ts j ɯ ¹³									
2900-1	k u ³³									
2928-1	ts o ŋ ¹³									
2941-1	k i ³¹									
2998-1	ts i ¹³									
3031-1	k u ³³									
3052-1	k w ɯ ə									
3064-1	k a ³¹									
3084-1	tʰ a ⁴⁴									
3117-1	tɕ i ³¹									
3128-1	k ə ³¹									
3150-1	k e ⁴²									
3161-1	k ɕʰ ɯ ³³									
3172-1	tɕ i ³³									
3263-1	j a ⁴⁴									
3274-1	k ə ³¹									
3308-1	k e ŋ ə									
3340-1	tɕ ə ⁴⁴									
3362-1	tɕ ə˞ n ³⁵									
3409-1	m e ³³									
3454-1	k o ŋ ə									
3493-1	ɕʰ u ⁴⁴									
3536-1	ʂ u ⁵⁵									
3548-1	f o ⁴²									
3645-1	ʂ u ³¹									
3678-1	ts i ¹³									
3757-1	m u ³¹									
3779-1	k o ³¹									
3813-1	ɕʰ e ŋ ⁵⁵									
3835-1	s j e n ⁵⁵									
3855-1	k ə̃˞ ŋ ³¹									
3885-1	ʂ w i ⁴⁴									
3907-1	k ə ³¹									
3942-1	tɕ i ³³									
3953-1	tɕ j ə˞ ⁵⁵									
4023-1	s j ə˞ ⁵⁵									
4034-1	tɕ ẽ ³⁵									
4143-1	tɕ o ⁴²									
4185-1	m o ŋ ⁴⁴									
4227-1	tɕ ə˞ n ⁵⁵									
4238-1	k ɕʰ u ²¹									
4249-1	k ə̃˞ ŋ ə									
4271-1	tɕ i ³¹									
4304-1	ʈʂʰ o ¹³									
4315-1	tʰ u ə ³³									
4336-1	tɕ i ə ⁴²									
4400-1	ɕʰ a ŋ ⁵⁵									
4411-1	ɕʰ e ŋ ⁵⁵									
4441-1	m u ³¹									
4557-1	k u ³¹									
4591-1	j o ³³									
4602-1	ɣ ɯ ³¹									
4687-1	ɕʰ e ŋ ⁵⁵									
4720-1	k i ŋ ə									
4731-1	k ŋ e ⁴²									
4763-1	ʈʂʰ ɯ ⁴²									
4918-1	tɕ ɯ ³¹									
4976-1	k ɯ ⁴⁴									
4998-1	ʂ j i ³³									
5037-1	k j ẽ ə ⁴²									
5048-1	tɕ i ⁵⁵									
5100-1	m u ³¹									
5111-1	p ə ³¹									
5122-1	k w a ⁴⁴									
5163-1	tɕ i ³¹									
5192-1	tɕ ts o ²¹									
5225-1	m o ŋ ⁴²									
5236-1	k i ³³									
247-1	p i ə									
289-1	ʂ ə˞ ⁴⁴									
338-1	k w ə˞ ⁴⁴									
378-1	k ɕʰ ɯ ⁴²									
621-1	k w a ⁴⁴									
632-1	m o ŋ ³³									
645-1	p a ⁴²									
742-1	k ə˞ ⁴⁴									
752-1	m ɯ ²¹									
763-1	tɕ u ⁵⁵									
809-1	k u ⁴²									
853-1	k o ŋ ⁵⁵									
916-1	tɕ o ³⁵									
960-1	m e ³¹									
1001-1	k ɯ ³⁵									
1074-1	ɕʰ u ³⁵									
1130-1	k ə ⁴⁴									
1184-1	s ə˞ n ⁵⁵									
1230-1	t w ẽ ə ³³									
1263-1	m ɯ ⁴²									
1423-1	tʰ o ə									
1433-1	m u ²¹									
1462-1	m w e ³³									
1629-1	f o ³⁵									
1682-1	ʂ o ³⁵									
1706-1	tɕ w a ¹³									
1925-1	tɕ ɯ ³³									
1991-1	ts o ³³									
2040-1	k u ŋ ⁴²									
2107-1	ɕʰ ə ³¹									
2118-1	t ɯ ³³									
2141-1	s o ³⁵									
2540-1	tɕ o ²¹									
2576-1	m ə˞ ³³									
2664-1	m ə̃˞ ⁴⁴									
2753-1	ʂ ɥ ʯ̃ ³⁵									
2848-1	tɕ i ⁴²									
2870-1	ɕʰ ə ³¹									
2871-1	f w a ⁴⁴									
2952-1	k w ẽ ⁴⁴									
3020-1	t ə ³³									
3214-1	k ə̃˞ ŋ ³³									
3285-1	tʰ a ⁴⁴									
3373-1	tɕ ə˞ ⁴⁴									
3397-1	j u ⁴⁴									
3443-1	k ɯ ²¹									
3566-1	k ə˞ ⁴⁴									
3590-1	ɕʰ a ⁴⁴									
3601-1	k ə˞ ⁴²									
3634-1	tɕ ʯ̃ ŋ ¹³									
3689-1	k o ŋ ³³									
3964-1	x ə˞ ŋ ⁵⁵									
4056-1	k a ⁴²									
4102-1	tɕ u ⁴²									
4326-1	k e ³³									
4412-1	m ʯ̃ ŋ ²¹									
4511-1	tɕ j ə˞ ¹³									
4581-1	k ɯ ⁵⁵									
4676-1	tɕ ə ⁵⁵									
4688-1	m ʯ̃ ŋ ²¹									
4708-1	o ³³									
