COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ʈʂ i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ʈʂ o ŋ ³³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ʈʂ o ⁴⁴									
400-1	s ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	t ou ⁴²									
534-1	ts ou ³³									
556-1	tʰ u ³³									
568-1	s ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	k ɯ ⁵⁵									
656-1	k a ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n ⁴²									
786-1	k i ³⁵									
820-1	ʈʂ o ⁴²									
839-1	t ɯ ²¹									
863-1	tʰ ou ³³									
896-1	k ə̃˞ ⁵⁵									
929-1	ʈʂ ɯ ³¹									
1015-1	ʂ o ³⁵									
1035-1	ʈʂ o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	x i ³³									
1195-1	x i ³³									
1241-1	m e ²¹									
1252-1	m o ²¹									
1294-1	k a ŋ ³⁵									
1326-1	tɕ u ³³									
1348-1	tɕ i ³¹									
1401-1	x e ⁴²									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	sʰ j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	x i ⁴⁴									
1731-1	ʂ o ŋ ⁵⁵									
1762-1	s w a ³¹									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ³⁵									
1805-1	s i ³¹									
1816-1	x o ³³									
1862-1	ʈʂ i ³⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
