ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	ChorbatBalti	m i n̪ s̪	m i n̪ s̪	1
2	KhapaluBalti	m i n̪ s̪	m i n̪ s̪	1
3	KharmangBalti	m ɪ n̪ s̪	m ɪ n̪ s̪	1
4	RonduBalti	m i n̪ s̪	m i n̪ s̪	1
5	ShigarBalti	m ɪ n̪ s̪	m ɪ n̪ s̪	1
6	SkarduBalti	m ɪ n̪ s̪	m ɪ n̪ s̪	1
7	ChorbatBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
8	KhapaluBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
9	KharmangBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
10	RonduBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
11	ShigarBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
12	SkarduBalti	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
13	SkarduPurki	l̪ t̪ o k s̪	l̪ t̪ o k s̪	9
14	ChorbatBalti	s̪ k o m s̪	s̪ k o m s̪	17
15	KhapaluBalti	s̪ k o m s̪	s̪ k o m s̪	17
16	KharmangBalti	s̪ k o m s̪	s̪ k o m s̪	17
17	RonduBalti	s̪ k o m s̪	s̪ k o m s̪	17
18	ShigarBalti	s̪ k o m s̪	s̪ k o m s̪	17
19	SkarduBalti	s̪ k o m s̪	s̪ k o m s̪	17
20	SkarduPurki	s̪ k o m s̪	s̪ k o m s̪	17
21	ChorbatBalti	z̪ o s̪	z̪ o s̪	25
22	KhapaluBalti	z̪ ʊ s̪	z̪ ʊ s̪	25
23	KharmangBalti	z̪ ʊ s̪	z̪ ʊ s̪	25
24	RonduBalti	z̪ ʊ s̪	z̪ ʊ s̪	25
25	ShigarBalti	z̪ ʊ s̪	z̪ ʊ s̪	25
26	SkarduBalti	z̪ ʊ s̪	z̪ ʊ s̪	25
27	SkarduPurki	z̪ o s̪	z̪ o s̪	25
28	ChorbatBalti	p o t̪ ʊ k s̪	p o t̪ ʊ k s̪	33
29	KharmangBalti	t̪ ʊ k s̪	- - t̪ ʊ k s̪	33
30	ShigarBalti	t̪ ʊ k s̪	- - t̪ ʊ k s̪	33
31	KhapaluBalti	s̪ t̪ r̪ ɜ k s̪	s̪ t̪ r̪ ɜ k s̪	34
32	RonduBalti	s̪ t̪ r̪ ɜ k s̪	s̪ t̪ r̪ ɜ k s̪	34
33	SkarduBalti	s̪ t̪ r̪ ɜ k s̪	s̪ t̪ r̪ ɜ k s̪	34
34	ChorbatBalti	õ s̪	õ - s̪	41
35	KhapaluBalti	õ s̪	õ - s̪	41
36	KharmangBalti	õ s̪	õ - s̪	41
37	RonduBalti	õ s̪	õ - s̪	41
38	ShigarBalti	õ s̪	õ - s̪	41
39	SkarduBalti	o ŋ s̪	o ŋ s̪	41
40	SkarduPurki	õ s̪	õ - s̪	41
41	ChorbatBalti	ɕ ɪ s̪	ɕ ɪ s̪	49
42	KhapaluBalti	ɕ i s̪	ɕ i s̪	49
43	KharmangBalti	ɕ i s̪	ɕ i s̪	49
44	RonduBalti	ɕ i s̪	ɕ i s̪	49
45	ShigarBalti	ɕ ɪ s̪	ɕ ɪ s̪	49
46	SkarduBalti	ɕ i s̪	ɕ i s̪	49
47	SkarduPurki	ɕ i s̪	ɕ i s̪	49
48	ChorbatBalti	t̪ʰ ũ ŋ s̪	t̪ʰ ũ ŋ s̪	57
49	KhapaluBalti	t̪ʰ ũ s̪	t̪ʰ ũ - s̪	57
50	KharmangBalti	t̪ʰ ũ s̪	t̪ʰ ũ - s̪	57
51	RonduBalti	t̪ʰ ũ ŋ s̪	t̪ʰ ũ ŋ s̪	57
52	ShigarBalti	t̪ʰ ũ s̪	t̪ʰ ũ - s̪	57
53	SkarduBalti	t̪ʰ ũ ŋ s̪	t̪ʰ ũ ŋ s̪	57
54	SkarduPurki	t̪ʰ ũ s̪	t̪ʰ ũ - s̪	57
55	ChorbatBalti	k o s̪	k o s̪	65
56	KhapaluBalti	k o s̪	k o s̪	65
57	KharmangBalti	k o s̪	k o s̪	65
58	RonduBalti	k o s̪	k o s̪	65
59	ShigarBalti	k o s̪	k o s̪	65
60	SkarduBalti	k o s̪	k o s̪	65
61	SkarduPurki	k o s̪	k o s̪	65
62	ChorbatBalti	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
63	KhapaluBalti	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
64	KharmangBalti	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
65	ShigarBalti	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
66	SkarduBalti	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
67	SkarduPurki	ɾ d ɜ p s̪	ɾ d ɜ p s̪	73
68	ChorbatBalti	p r̪ ɛ t̪ l ɑ	p r̪ ɛ t̪ l ɑ	80
69	KhapaluBalti	p r̪ ɛ l ɑ	p r̪ ɛ - l ɑ	80
70	ShigarBalti	p r̪ ɛ l ɑ	p r̪ ɛ - l ɑ	80
71	RonduBalti	ɾ ɪ l s̪	ɾ ɪ l s̪	82
72	SkarduBalti	ɾ ɪ l s̪	ɾ ɪ l s̪	82
73	ChorbatBalti	ɾ gʲ u k s̪	ɾ gʲ u k s̪	88
74	KhapaluBalti	b gʲ u k s̪	b gʲ u k s̪	88
75	KharmangBalti	β gʲ ʊ k s̪	β gʲ ʊ k s̪	88
76	RonduBalti	b gʲ u k s̪	b gʲ u k s̪	88
77	ShigarBalti	β gʲ u k s̪	β gʲ u k s̪	88
78	SkarduBalti	b gʲ u k s̪	b gʲ u k s̪	88
79	ChorbatBalti	d̪ u k s̪	d̪ u k s̪	96
80	KhapaluBalti	d̪ u k s̪	d̪ u k s̪	96
81	KharmangBalti	d̪ u k s̪	d̪ u k s̪	96
82	RonduBalti	d̪ u k s̪	d̪ u k s̪	96
83	ShigarBalti	d̪ u k s̪	d̪ u k s̪	96
84	SkarduBalti	d̪ u k s̪	d̪ u k s̪	96
85	SkarduPurki	d̪ u k s̪	d̪ u k s̪	96
86	ChorbatBalti	t̪ʰ o ŋ s̪	t̪ʰ o ŋ s̪	104
87	KhapaluBalti	t̪ʰ õ s̪	t̪ʰ õ - s̪	104
88	KharmangBalti	t̪ʰ o ŋ s̪	t̪ʰ o ŋ s̪	104
89	RonduBalti	t̪ʰ o ŋ	t̪ʰ o ŋ -	104
90	ShigarBalti	t̪ʰ o ŋ	t̪ʰ o ŋ -	104
91	SkarduBalti	t̪ʰ o ŋ s̪	t̪ʰ o ŋ s̪	104
92	ChorbatBalti	ŋ ĩ t̪ ɑ̃ s̪	ŋ ĩ t̪ - ɑ̃ s̪	111
93	KhapaluBalti	ŋ ĩ t̪ õ s̪	ŋ ĩ t̪ - õ s̪	111
94	KharmangBalti	ŋ ĩ t̪ ɑ̃ s̪	ŋ ĩ t̪ - ɑ̃ s̪	111
95	RonduBalti	ŋ ĩ t̪ ɜ̃ s̪	ŋ ĩ t̪ - ɜ̃ s̪	111
96	ShigarBalti	ȵ ĩ t̪ ʔ õ s̪	ȵ ĩ t̪ ʔ õ s̪	111
97	SkarduBalti	ȵ ĩ t̪ ɜ̃ s̪	ȵ ĩ t̪ - ɜ̃ s̪	111
98	SkarduPurki	ŋ ĩ t̪ ɑ̃ s̪	ŋ ĩ t̪ - ɑ̃ s̪	111
99	ChorbatBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
100	KhapaluBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
101	KharmangBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
102	RonduBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
103	ShigarBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
104	SkarduBalti	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
105	SkarduPurki	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	120
106	ChorbatBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
107	KhapaluBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
108	KharmangBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
109	RonduBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
110	ShigarBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
111	SkarduBalti	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
112	SkarduPurki	d̪ r̪ u l s̪	d̪ r̪ u l s̪	128
113	ChorbatBalti	s̪ o ŋ s̪	s̪ o ŋ s̪	136
114	KhapaluBalti	s̪ õ s̪	s̪ õ - s̪	136
