COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	tʰ a							
6-1	n a ŋ							
15-1	ʑ i							
55-1	j a							
56-1	a							
60-1	ɕ i							
61-1	d a ŋ							
80-1	dʑ a k							
87-1	tɕʰ a							
86-1	pʰ l a							
92-1	pʰ l a							
102-1	m a							
106-1	dʑ a k							
108-1	d a							
107-1	pʰ j a							
112-1	pʰ a ŋ							
115-1	ɕ a							
114-1	t ɔ ŋ							
120-1	d a							
124-1	a							
125-1	tʰ a k							
132-1	ɕ i							
131-1	m a ŋ							
136-1	ʑ a							
134-1	kʰ a k							
137-1	a							
138-1	dʑ a k							
140-1	pʰ kʰ a							
143-1	dʑ a k							
145-1	tɕʰ a ŋ							
147-1	ɕ a							
149-1	m i k							
153-1	ɕ a							
152-1	t a m							
158-1	kʰ a k							
163-1	j a							
164-1	n a							
167-1	d a ŋ							
171-1	n a ŋ							
172-1	b a k							
173-1	tʰ ɔ s							
183-1	j a							
185-1	m a							
188-1	kʰ a							
189-1	dʑ a ŋ							
193-1	ɕ a							
196-1	m a n							
199-1	tɕʰ a							
200-1	kʰ a m							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	d ɔ ŋ							
204-1	b a							
206-1	n a ŋ							
117-1	b a							
146-1	tɕʰ a t							
219-1	pʰ j ɔ							
218-1	tɕʰ a							
224-1	m a ŋ							
240-1	dʑ a k							
244-1	j a t							
255-1	n a m							
260-1	b a							
263-1	j a							
269-1	kʰ j a k							
271-1	tʰ a k							
209-1	tɕʰ a t							
277-1	m a m							
278-1	d a ŋ							
135-1	d a							
284-1	m a							
797-1	a							
290-1	m a ŋ							
289-1	tɕʰ a k							
296-1	m i							
310-1	ɕ a							
319-1	a							
325-1	j a							
327-1	kʰ a							
331-1	k a							
337-1	b j a ŋ							
338-1	l a ŋ							
339-1	j							
350-1	kʰ ɔ							
349-1	t u ŋ							
357-1	tɕʰ a							
355-1	a							
363-1	m a ŋ							
361-1	d a							
365-1	s a ŋ							
364-1	dʑ a t							
375-1	m a k							
379-1	s u t							
380-1	kʰ a							
396-1	j a							
400-1	m ɔu							
405-1	d a ŋ							
404-1	s u ŋ							
409-1	l tʰ a k							
410-1	tʰ i k							
415-1	b a							
416-1	b a							
101-1	n a							
37-1	kʰ a							
424-1	kʰ a							
434-1	tɕʰ a m							
445-1	b							
446-1	ɕ i							
451-1	kʰ a							
457-1	n a m							
456-1	b l a							
464-1	kʰ j a ŋ							
473-1	ʑ i							
474-1	a ŋ							
479-1	s a ŋ							
489-1	j a							
490-1	m a n							
494-1	ɕ a							
503-1	kʰ a							
502-1	s a ŋ							
235-1	l a ŋ							
519-1	j a							
523-1	j k							
527-1	kʰ j a ŋ							
538-1	ɕ							
544-1	j a m							
850-1	a							
554-1	dʑ a							
553-1	s a m							
558-1	kʰ a m							
561-1	ɕ a							
562-1	kʰ a							
564-1	j a							
567-1	m a							
570-1	kʰ a							
575-1	a							
582-1	j a							
585-1	j s							
589-1	kʰ a ŋ							
593-1	d a ŋ							
594-1	l a							
595-1	tʰ a s							
596-1	n a m							
598-1	j ɔ p							
599-1	d a s							
602-1	ɕ a							
603-1	l a p							
606-1	s a ŋ							
605-1	p a							
620-1	j a							
637-1	dʑ a k							
639-1	tɕ a							
645-1	kʰ a							
646-1	m a m							
168-1	z tʰ a k							
658-1	s a ŋ							
665-1	kʰ a							
668-1	kʰ a							
677-1	d a ŋ							
75-1	d a ŋ							
678-1	ɕ a							
682-1	s a m							
493-1	ɕ a							
693-1	ɕ a							
694-1	m a							
702-1	dʑ u ŋ							
704-1	m a							
176-1	j a							
709-1	ɕ a n							
710-1	t u p							
714-1	m j a t							
718-1	kʰ ɔ							
719-1	tɕʰ a ŋ							
22-1	m a							
723-1	tɕʰ a m							
726-1	dʑ a ŋ							
729-1	b a							
730-1	m a							
739-1	pʰ l a							
740-1	b a							
741-1	dʑ a k							
744-1	a							
743-1	s a ŋ							
746-1	d a ŋ							
748-1	tʰ a p							
747-1	kʰ a							
749-1	ts a m							
751-1	t a n							
762-1	m a m							
764-1	s a ŋ							
765-1	ʑ i							
788-1	l a							
615-1	l a k							
803-1	ɕ a							
802-1	l a k							
808-1	b a							
809-1	tɕʰ i							
819-1	tʰ a k							
821-1	ɕ a							
820-1	b a							
828-1	dʑ a k							
827-1	kʰ a							
835-1	n i							
308-1	l a							
844-1	ʑ i p							
848-1	m a							
705-1	j a							
613-1	a							
649-1	z tʰ a k							
876-1	tɕ a							
878-1	j a ŋ							
889-1	m a m							
898-1	n a k							
902-1	dʑ a ŋ							
910-1	j m							
916-1	j a							
919-1	j a							
922-1	dʑ i k							
930-1	tɕʰ a							
933-1	kʰ a							
939-1	l tʰ a k							
947-1	j a m							
948-1	n a							
963-1	ɕ a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	kʰ a k							
972-1	n a							
731-1	m a							
973-1	dʑ a ŋ							
974-1	n a m							
979-1	dʑ a ŋ							
182-1	kʰ a							
993-1	n a m							
994-1	j a							
1001-1	ɕ u							
1002-1	d a							
1005-1	tɕʰ a ŋ							
1009-1	kʰ a							
1022-1	ɕ a							
1021-1	dʑ a k							
1043-1	l a ŋ							
1049-1	t ɔ s							
1065-1	tɕʰ a ŋ							
1068-1	j a							
1077-1	l a ŋ							
1081-1	l a ŋ							
1084-1	s a ŋ							
1092-1	m a							
1091-1	tɕʰ i							
1096-1	n a							
1097-1	kʰ a							
1102-1	n a							
1104-1	tʰ a							
1108-1	dʑ a k							
552-1	kʰ a							
1111-1	b l a							
1116-1	s a n							
722-1	kʰ a							
1141-1	j a ŋ							
1147-1	b a							
1146-1	ɕ a							
1150-1	kʰ j a ŋ							
1151-1	ɔ ŋ							
1158-1	dʑ a k							
1159-1	kʰ a							
1164-1	d u							
1163-1	j a							
1167-1	s a ŋ							
1171-1	j a							
1177-1	ʑ u p							
1187-1	kʰ a							
1189-1	m i k							
1-2		kʰ uː						
5-2		n uː						
4-2		tʰ i k						
6-2		n ɐ ŋ						
15-2		dʑ iː						
55-2		j uː						
56-2		uː						
60-2		z uː						
61-2		d uː ŋ						
80-2		dʑ ɐ k						
87-2		tɕʰ uː						
86-2		pʰ l uː						
92-2		pʰ l uː						
102-2		m uː						
106-2		pʰ uː k						
108-2		d uː						
107-2		pʰ j uː						
112-2		pʰ ø ŋ						
115-2		s						
114-2		d u ŋ						
120-2		d uː						
124-2		uː						
125-2		tʰ y k						
132-2		s uː						
131-2		r ɔ̃ː ŋ						
136-2		dʑ uː						
134-2		kʰ uː k						
137-2		uː						
138-2		dʑ y k						
140-2		s uː						
143-2		dʑ ɐ k						
145-2		tɕʰ ɐ						
147-2		h uː						
149-2		m i k						
153-2		s						
152-2		kʰ uː ŋ						
158-2		kʰ uː k						
163-2		r uː						
164-2		n uː						
167-2		d uː ŋ						
171-2		n ɔ̃ː ŋ						
172-2		dʑ uː k						
173-2		tʰ uː						
183-2		r uː						
185-2		m uː						
188-2		kʰ uː						
189-2		tɕ ɐ ŋ						
193-2		h uː						
196-2		m ɐ						
199-2		tɕʰ uː						
200-2		kʰ uː ŋ						
201-2		tɕʰ uː						
202-2		kʰ ɐ						
203-2		d u ŋ						
204-2		b uː						
206-2		n ɐ ŋ						
117-2		b uː						
146-2		tɕʰ ə						
219-2		pʰ b ɐ̃						
218-2		tɕʰ uː						
224-2		m ə ŋ						
240-2		dʑ ɐ k						
244-2		j ɐ						
255-2		n ɐ						
260-2		b uː						
263-2		j uː						
269-2		pʰ tʰ ɐ						
271-2		tʰ uː k						
209-2		tɕʰ ə						
277-2		m ə						
