COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d a m																		
63-1	kʼ ɨ s o o o																		
107-1	g ə j a sː o																		
112-1	d a l a nː ə																		
331-1	n ɨ g u s o																		
377-1	kʼ a kʼ o r o																		
381-1	kʼ ə ə o d ə																		
417-1	r a r																		
451-1	s ə n o t o																		
454-1	kʼ ɨ ə r o o																		
484-1	s ɨ dʒ o o o																		
535-1	kʼ ə s ə r o ə																		
543-1	s ə ə s o o																		
593-1	j ə b o ɨ s																		
640-1	m ə n i																		
1-1	d ə l ə r ə o																		
65-1	tʼ i t ə																		
212-1	kʼ a n o																		
244-1	kʼ ə r b ɨ o t o																		
248-1	m ə u ə o																		
293-1	f ə r a s																		
373-1	kʼ ɨ m a																		
408-1	r a r o																		
414-1	h e tʃʼ ə j ə a																		
601-1	f ə ə o																		
642-1	n ə fː a s																		
60-1	n ə l ə s ə o																		
115-1	l ɨ o m																		
209-1	s a m e ɨ t ə																		
242-1	kʼ ə h s o o																		
415-1	f ɨ n a sː																		
450-1	j a r o o																		
490-1	d a bː ə ə o																		
638-1	s a o o																		
645-1	kʼ a r																		
160-1	d ə r a r ə																		
208-1	kʼ ə n ɲː u a o																		
214-1	kʼ i b o o																		
378-1	kʼ ɨ h k a r ə																		
379-1	j ɨ a ə																		
409-1	kʼ ə t a r o																		
598-1	b a o																		
646-1	kʼ ɨ n d ə o																		
210-1	j a tʃʼ e o n r																		
215-1	tʼ ɨ bː ə r o d																		
285-1	f ɨ r a r																		
332-1	kʼ a g ə r ə																		
380-1	kʼ ɨ h a o																		
412-1	s a n ə																		
64-1	d ɨ ɲː ə																		
67-1	j a ə																		
251-1	w ɨ a r ə																		
294-1	e ə t o o o																		
597-1	kʼ ə tʃʼ a r ə																		
7-1	kʼ ɨ r r a																		
158-1	kʼ a m ɨ sː o																		
372-1	b ə n b ə r																		
374-1	kʼ a nː kʼ ə ɲː o																		
375-1	s a b																		
411-1	d ə ə o s																		
541-1	b ə d n																		
6-1	j a nː kʼ ə r o																		
113-1	ʔ a dʒː																		
330-1	b ə ɲː d ə																		
448-1	kʼ ə d ə ə bː ə d																		
449-1	kʼ ɨ ə r																		
491-1	d ɨ n mː a t																		
596-1	n a r o																		
4-1	g a ə ɲː ɲː r ə																		
8-1	kʼ a nː ə ɲː ə																		
106-1	m a s e a																		
290-1	kʼ ə g ə sː ə o																		
489-1	kʼ ə kʼ kʼ ə r o																		
602-1	m ɨ nː d																		
2-1	ʔ a ə t ə																		
3-1	kʼ ɨ s a																		
213-1	b ɨ r ɲː s sː																		
486-1	n ə d ə mː a o																		
647-1	b a nː ə h ə																		
10-1	tʼ ɨ dʒ r o r																		
110-1	kʼ a lː o ə																		
152-1	kʼ ɨ h																		
211-1	m a mː ə d																		
328-1	s ə l ə mː ə																		
333-1	m ɨ dʒ r																		
334-1	ʔ ɨ n b ə sː ə																		
410-1	kʼ a lː r o																		
540-1	l ə r ə																		
109-1	g a n mː ə																		
61-2		d ə m																	
63-2		ʔ a h ɨ																	
107-2		g ɨ m ə l																	
112-2		d a ə n a																	
331-2		n ɨ g u s																	
377-2		b ə kʼ l																	
381-2		ʔ a n d																	
417-2		r u s																	
451-2		s ə ai̯																	
454-2		ʔ a ɨ r																	
484-2		s ɨ h ɨ s t																	
535-2		ʔ a s ɨ r																	
543-2		s o s t																	
593-2		ʔ a m u s																	
640-2		m a n																	
1-2		d ə b ə r ə																	
65-2		ʔ u t																	
163-2		s ə h ə																	
212-2		ʔ ə n																	
244-2		ʔ a r a ai̯																	
248-2		m u l u																	
293-2		f ə r ə s																	
373-2		kʼ ɨ m a																	
408-2		b ə r ə																	
414-2		ʔ u b a																	
642-2		n ɨ f a s																	
60-2		n ə f ə s ə																	
115-2		l a m																	
209-2		s ɨ ɨ t																	
242-2		ʔ a m ɨ s t																	
415-2		s ɨ n a b																	
450-2		s ə r																	
490-2		ʔ ə b a																	
645-2		ʔ a l																	
160-2		ʔ ə r ə kʼ																	
208-2		ʔ ɨ kʼ u l																	
378-2		ʔ a n g ə t																	
379-2		s ə ə n																	
409-2		ʔ a t ə r																	
598-2		ʔ ə e																	
646-2		ʔ a n t ə																	
210-2		s ɨ h o n																	
215-2		ʔ a t																	
285-2		m ɨ h a ai̯																	
380-2		ʔ a h u n																	
412-2		s a h ɨ n																	
496-2		ʔ ə h a a s ə a ə e a a e																	
64-2		ʔ a b o																	
251-2		f ɨ h ə l																	
294-2		m u																	
597-2		m ə n g ə ai̯ ə n a																	
7-2		ʔ a l g a																	
158-2		ʔ ə m ai̯ s																	
296-2		ʔ ə h a a a e																	
375-2		s ə w																	
541-2		kʼ ə h ɨ n																	
113-2		b u n																	
252-2		r ə h a a ə a																	
330-2		ʔ ə l d																	
449-2		ʔ a ai̯ ə																	
491-2		ʔ ɨ g ə																	
545-2		ʔ ə h a a a																	
596-2		n ə g ə																	
4-2		dʒ ə r ai̯ a																	
106-2		m ə h a																	
254-2		ʔ ə h																	
290-2		ʔ a h ə s ə																	
602-2		m ɨ n																	
2-2		ʔ u l u																	
3-2		ʔ ɨ n ai̯																	
213-2		ʔ a r ə s																	
486-2		n ə h ə ai̯ ə																	
10-2		ʔ ɨ h u r																	
152-2		ʔ a s o																	
211-2		m ɨ s ɨ t																	
328-2		s ə h ə b ə																	
333-2		m ɨ s ɨ r																	
334-2		ʔ a m ai̯ ə s a																	
540-2		l ə h a																	
109-2		g u ai̯																	
61-3			t ə m																
63-3			ʔ a t ɨ m																
107-3			g a m e r a																
112-3			t a p ə r a																
331-3			n ɨ g w a																
377-3			p ɨ kʼ e r ə																
381-3			ʔ a t																
417-3			r a z																
451-3			a ə a a t																
454-3			ʔ a a ɨ r																
484-3			a ɨ t ɨ a t																
535-3			ʔ a a ɨ r																
543-3			a a a t																
593-3			ʔ a m ɨ a																
640-3			m a n																
1-3			t ə p ə r ə m																
65-3			t a																
163-3			a ə t ə																
212-3			ʔ e n																
244-3			ʔ a r a ə t																
248-3			m ɨ r a																
293-3			a ə r ə z																
373-3			kʼ ɨ m a r																
408-3			p a r a																
414-3			t ɨ w a kʼ a l a																
601-3			ʔ ə r e																
642-3			a e n a a a																
60-3			n ə a ə a ə m																
115-3			a ə r a m																
209-3			a ɨ m ɨ t																
242-3			ʔ a m ɨ a t																
415-3			z ɨ r a p																
450-3			z ə r																
490-3			t ə p w ə m																
638-3			a ɨ n e																
645-3			kʼ a r																
75-3			ʔ a m p ɨ r																
160-3			t e r ə kʼ																
208-3			ʔ ɨ n kʼ ɨ w a																
214-3			ʔ a p																
218-3			ʔ ɨ n z ɨ r																
378-3			ʔ a n g ə t																
379-3			a ə a ə																
409-3			g e t ə r ə																
497-3			t ə n																
598-3			x w e t																
646-3			ʔ a x ə																
164-3			p ə a ə m																
210-3			a ə x ə r ə																
215-3			ʔ a a e p ə																
256-3			t a a a																
285-3			m ɨ a a a																
332-3			ʔ ə g ɨ r																
380-3			ʔ ə x a a																
412-3			a a a ɨ n																
496-3			w ɨ r a ə n p ə t																
64-3			t a p a																
67-3			a ɨ r																
169-3			n ə z ə z ə m																
251-3			a a kʼ																
461-3			t a																
547-3			w ɨ z a t																
597-3			a e m ə n a																
655-3			m ɨ a t																
7-3			ʔ a r g a																
158-3			kʼ a m ɨ a																
168-3			ʔ ɨ m a r																
296-3			ʔ a x t																
372-3			a e a a e a																
374-3			p ə kʼ a l a																
375-3			a e a a a																
385-3			w ɨ t ə t																
411-3			t ɨ a a a																
500-3			ʔ ɨ m ɨ r																
6-3			m ə r a a m a																
17-3			ʔ ə a ɨ r																
123-3			a e m ə a																
252-3			n ə a ə p ə																
421-3			p ɨ a ə																
448-3			kʼ ə a a n a ə n p ə t																
449-3			a a ə																
545-3			x ɨ n a																
596-3			n ə g ə																
653-3			p ə t ɨ t																
4-3			a a a ə																
254-3			a ɨ m a t																
290-3			a a g ə z ə m																
339-3			a ə kʼ a r																
460-3			x a ɨ t																
489-3			w ə r t a m a																
552-3			z ɨ																
652-3			ʔ a t ə t a																
119-3			ʔ a n g a tʃ a																
298-3			x a t																
340-3			g e n tʃ ə																
458-3			t ə n g ə a ə																
459-3			ʔ a w a																
607-3			ʔ ə a w a																
609-3			ʔ ɨ x a																
647-3			a e a a a a																
10-3			a ɨ kʼ ɨ r																
15-3			ʔ ɨ a ɨ m																
18-3			n ɨ kʼ a ə																
73-3			tʃ ə a ə r ə m																
76-3			m a ə a a																
110-3			t a t a																
121-3			t ɨ a ə																
167-3			g ɨ a ə																
255-3			kʼ ə n a ə																
297-3			g a n ə r																
299-3			g a n ə r																
338-3			n ə m ɨ r																
342-3			m e n a																
344-3			kʼ ə a e m																
410-3			kʼ a r e																
540-3			n a p a																
550-3			a ə n a ɨ r																
61-4				d ə m															
63-4				ʔ ə a ɨ m															
107-4				g ə m ə r ə															
112-4				d ə m ə r ə															
331-4				n ə g a															
377-4				b a ə g t ə r ə															
381-4				ʔ a a															
417-4				r ə															
451-4				t a a a															
454-4				ʔ ə ʔ ə r															
484-4				ɨ ɨ a															
535-4				ʔ ə r a															
543-4				a ʔ ə															
593-4				ʔ ə m a ə															
640-4				m ə n															
1-4				d ə t ə r ə															
65-4				ə a															
163-4				t a a t ə															
408-4				b ə ə r ə															
414-4				ə b ə g ə ə															
601-4				t ə r a															
642-4				n ə a a															
60-4				n ə t a t a															
115-4				t ə r ə m															
450-4				t a r a															
490-4				t ə a t ə															
638-4				ɨ n ə															
645-4				g ə r															
75-4				ʔ ə m b ɨ r															
160-4				d ə r ə g															
378-4				ʔ ə n g t ə d															
379-4				t a a t ə															
409-4				g ə t ə r ə															
497-4				t ə a															
598-4				ɨ t ə															
646-4				ʔ ə a t a															
164-4				t ə g a t ə															
332-4				t ə g ɨ r															
380-4				t a a															
412-4				a ɨ n															
64-4				d ə ə ʔ ə															
67-4				ɨ a r															
169-4				n ə t a t a															
461-4				t ə															
547-4				ʔ ə a															
597-4				t ə m a t ə ə															
655-4				m ɨ a															
158-4				t a															
168-4				ʔ ɨ m r															
372-4				g ə n t a															
374-4				t ə g a ə ə ə															
375-4				t a b a															
385-4				ɨ t ə															
411-4				a															
500-4				ʔ ɨ m r															
541-4				ə ɨ															
6-4				m ə r g ə m ə															
17-4				t ə r															
330-4																			
421-4				b ɨ t a															
449-4				ʔ ə t a															
545-4				ɨ n ə ə															
596-4				n ə g ə															
653-4				t ə ɨ															
4-4				g a ə a ɨ ə															
8-4				g a a a															
106-4				m ə ʔ ə															
339-4				t ə g ə r															
489-4				b t ə r a ɨ m ə															
652-4				t ə t ə a d ə															
119-4				ʔ ə n g ə ə															
340-4				g t ə n t ə															
458-4				d ə n g ə n ə															
486-4				n ə ə g ə m															
607-4				t ə g a ə															
609-4				ʔ ɨ															
15-4				ʔ ɨ n a ə															
18-4				n ə ʔ j ə															
73-4				t ə g t ə r ə															
76-4				m t ə a															
110-4				d ə ə															
121-4				ɨ g ə															
167-4				g ɨ j ə															
334-4																			
342-4				m ə n ə															
344-4				g ə t a m															
410-4				g r a t															
550-4				t ə n a ɨ r															
612-4				a a															
61-5					d ə m														
63-5					ʔ a d ɨ m														
107-5					g a m e r a														
112-5					d a d i r a														
331-5					nː ə g w d														
377-5					b ə kʼ ə d ə														
381-5					ʔ a t														
417-5					d ə z														
451-5					d e r a t														
454-5					ʔ a d ə d														
484-5					d ə d ɨ r t														
535-5					ʔ a d ɨ r														
543-5					d ə r t														
593-5					ʔ a m ə d														
640-5					m a nː														
1-5					d ə bː ə r ə m														
65-5					d d														
163-5					d ə d i														
212-5					ʔ e n														
244-5					ʔ a d d ə t														
248-5					m ə														
293-5					d ə d ə r														
373-5					kʼ ə m ə														
408-5					b ə r a														
414-5					d ɨ w a r d r a														
601-5					ʔ ə d d														
642-5					nː ə n d a d														
60-5					nː ə d ə r ə m														
115-5					ʔ ə d a m														
209-5					d ɨ a nː j t														
242-5					ʔ a m ɨ d t														
415-5					z ə d a r														
450-5					z ə d														
490-5					d ə bː w ə m														
638-5					d ə nː e j														
645-5					kʼ a d														
75-5					ʔ a m b ə														
160-5					d ə d ə r														
208-5					ʔ a nː kʼ j w ə														
214-5					ʔ a d														
218-5					ʔ ə nː z ɨ d														
378-5					ʔ a nː g j ə t														
379-5					d ə r ə														
409-5					g e t ə d ə														
497-5					t ə nː														
598-5					d w e t														
164-5					b ə kʼ ə m														
210-5					z ə d ə d ə														
215-5					ʔ a t e d ə t														
256-5					t ə m a														
285-5					m ɨ d a r														
332-5					ʔ ə g ɨ d														
380-5					ʔ ə d r a														
496-5					w d r d ə nː d ə t														
64-5					s a b														
67-5					d ɨ d														
169-5					nː ə j z ə z ə m														
251-5					d e r														
294-5					d w ə kʼ														
461-5					d e														
547-5					w ɨ z a t														
597-5					ʔ e m j ə n ə														
655-5					m ə d t														
7-5					ʔ a d g a														
168-5					ʔ ɨ m a r														
296-5					d ə ʔ t														
372-5					k ə nː d ə d														
374-5					b ə kʼ r l ə														
375-5					ə														
385-5					w ɨ d ə t														
411-5					t ə d a d														
500-5					ʔ ə m ɨ d														
6-5					m ə d k a m a														
17-5					ʔ ə ʔ ɨ														
113-5					ə a ə														
123-5					d e m ə j														
252-5					nː ə d ə d i m														
421-5					b ɨ d ə														
448-5					kʼ ə t a nː r ə nː d ə t														
449-5					a d ə														
545-5					d ɨ nː d j														
596-5					nː ə g ə														
653-5					b ə t ɨ t														
4-5					d ɨ d ə														
8-5					kʼ d b d r d														
290-5					ʔ ə g ə d ə m														
339-5					b ə kʼ ɨ r														
460-5					d a t														
489-5					b w ə d d r m a														
552-5					z ə														
602-5					ə a r														
652-5					ʔ e t e w t a														
3-5					ʔ ɨ nː a ə														
119-5					ʔ a nː g a d a														
298-5					ʔ ə t														
340-5					g ə nː tʃ ə														
458-5					d ə nː g ə d ə														
459-5					ʔ a w d														
486-5					nː ə ə r ə r														
607-5					ʔ ə d w a														
609-5					ʔ ɨ d a														
647-5					d ə d ə a e														
15-5					ʔ ɨ d ɨ m														
18-5					nː ɨ d r ə														
73-5					tʃ ə d ə d ə m														
76-5					m d ə d a														
110-5					a a														
121-5					t ɨ k ə														
152-5					d a d d														
167-5					g ɨ d ə														
255-5					kʼ ə nː r ə														
297-5					g d nː ə d														
299-5					g d nː ə d														
334-5					d a d b ə d a														
338-5					n ə m j ɨ d														
342-5					m e nː a														
344-5					kʼ ə d ə m														
410-5					d a d e														
550-5					d ə nː d ɨ d														
612-5					d ə d d d a a														
61-6						d ə m													
63-6						ʔ ə s ə ə													
107-6						g ɨ m ə l													
112-6						d ə b ə n ə													
331-6						n ɨ g ə s													
377-6						b ə ə l ə													
381-6						ə d													
417-6						r ə z													
451-6						s ə ə ʔ													
454-6						ħ ə d ə r													
484-6						s ɨ ʔ ə s													
535-6						ʔ ə s ə r													
543-6						s ə s													
593-6						ħ ə ə ə s													
640-6						m ə n													
1-6						d ə f ə r ə													
163-6						s ə t ə													
212-6						ʔ ə n													
244-6						ʔ ə r ə													
248-6						m ɨ l ə													
293-6						f ə r ə s													
373-6						ə ə m ə l													
408-6						b ɨ r ə													
601-6						r ə ə o b													
642-6						n ɨ ə ə s													
60-6						n ə f ə s ə													
115-6						f ə m													
242-6						ħ ə ə ə s													
415-6						z ɨ l ə b													
450-6						z ə r													
490-6						kʼ ə f ə													
638-6						s ɨ r d ə													
645-6						ə a ə													
75-6						ħ ə m l ə													
208-6						ʔ ə n ə ə ħ o													
214-6						ʔ ə b													
218-6						ʔ ɨ z ə n													
409-6						ʕ ə t ə r													
497-6						t ə ə ə ə													
598-6						k ɨ l ə t													
646-6						ʔ ə f t ə													
215-6						kʼ f ə													
256-6						t o ə													
294-6						ə ə ə													
655-6						ʔ ə s ə t													
158-6						kʼ ə m ɨ s													
372-6						k ə n ə ə r													
375-6						s ə b													
411-6						m ə r ə s													
500-6						ʔ ɨ m ə n													
541-6						ə ə d ə n													
113-6						b ə n													
252-6						r ə ə b ə													
330-6						ə ə d													
448-6						f ə d ə m ə													
106-6						m ɨ s ə													
290-6						ħ ə g ə z ə													
460-6						kʼ ə t ə													
552-6						ə ɨ ə z ə													
602-6						ə ə													
2-6						k ə l ə ə													
298-6						ə ə t ə													
486-6						f ə f ə ə ə													
211-6						m ɨ z ə													
333-6						ə ə s ə r													
334-6						kʼ f n b ə z ə													
612-6						ħ ə ə ə b ə t													
61-7							ə m												
63-7							a ɨ m												
107-7							g a m e r a												
112-7							a ə r a												
331-7							n ɨ g w s												
377-7							ɨ g r ə												
381-7							a												
417-7							r												
451-7							s ə a t												
454-7							a ɨ r												
484-7							s ɨ ɨ s t												
535-7							a s ɨ r												
543-7							s s t												
593-7							a m s												
640-7							m w a n												
1-7							ə pː ə r ə m												
65-7																			
163-7							s ə ə												
212-7							e n												
244-7							a r ə t												
248-7							m r a												
293-7							ə r ə												
373-7							g ɨ m a r												
408-7							r a												
414-7							ɨ w a g a												
601-7							ə r e												
642-7							ɨ n a s												
60-7							n ə ə s ə m												
115-7							ə r a m												
209-7							s ɨ t												
242-7							a m ɨ s t												
415-7							ɨ r a												
450-7							ə r												
490-7							ə pː w ə m												
638-7							s ɨ n e												
645-7							g a r												
75-7							a m ɨ r												
160-7							ɨ r ə g												
208-7							ɨ n g w ɨ r a												
214-7							a												
218-7							ɨ n ɨ r												
378-7							a n g ə t												
379-7							ə ə												
409-7							g e t ə r ə												
497-7							t ə n												
598-7							x w e												
646-7							a x ə												
164-7							ə g ə m												
210-7							ə x w ə r ə												
215-7							a t ə t												
256-7							t a												
285-7							m ɨ a												
332-7							ə g ɨ r												
380-7							ə x w a												
412-7							s a x ɨ n												
496-7							w r s ə n ə t												
64-7							a												
67-7							w ɨ r												
169-7							n ə ə ə m												
251-7							g												
294-7							m w ə g												
461-7																			
547-7							w ɨ a t												
597-7							e m ə n a												
655-7							m ɨ t												
7-7							a g a												
158-7							g a m ɨ s												
168-7							ɨ m a r												
296-7							a t												
372-7							e e r												
374-7							ə g												
385-7							w ɨ ə t												
411-7							t r												
500-7							ɨ m ɨ r												
6-7							m ə r g a m a												
17-7							ə x ɨ r												
123-7							e m ə												
252-7							n ə g ə ə												
421-7							ɨ ə												
448-7							g ə a n s ə n ə t												
449-7							a ə												
491-7																			
545-7							x ɨ n												
596-7							n ə g ə												
653-7							ə ɨ t												
8-7							g ə ə												
254-7							ɨ m a												
290-7							a g ə ə m												
460-7							x ɨ t												
489-7							w ə r m a												
552-7							ɨ												
652-7							ə e t a												
3-7							ɨ n ə												
119-7							a n g a tʃ a												
298-7							t												
340-7							g e n tʃ ə												
458-7							ə n g ə ə												
459-7							a												
486-7							e e e												
607-7							ə g w a												
609-7							ɨ x a												
10-7							ɨ g r												
15-7							ɨ ɨ m												
18-7							n ɨ g ə												
73-7							tʃ ə g ə r ə m												
76-7							m w ə s a												
110-7																			
121-7							t ɨ g ə												
152-7																			
167-7							g ɨ ə												
255-7							g w ə n ə												
297-7							g n ə r												
299-7							g n ə r												
338-7							n ə m ɨ r												
342-7							m e n a												
344-7							g ə s ɨ m												
410-7							g a r ɨ												
540-7							n a												
550-7							ə n ɨ r												
61-8								d ə m											
63-8								ʔ a tʃʼ ɨ m											
107-8								g a m e r a											
112-8								d a a ə r a											
331-8								n ɨ g w s											
377-8								b ɨ g a ə r ə											
381-8								ʔ a t											
417-8								r a z											
451-8								s ə a a t											
454-8								ʔ a tʃʼ ɨ r											
484-8								s ɨ tʃʼ ɨ s t											
535-8								ʔ a a ɨ r											
543-8								s a s t											
593-8								ʔ a m ɨ s											
640-8								m w a n											
1-8								tʃʼ ə a ə r ə m											
65-8								tʃʼ a											
163-8								s ə p ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m ɨ r a											
293-8								a ə r ə p											
373-8								g ɨ m a r											
408-8								b a r a											
414-8								tʃʼ ɨ p a g a a a											
601-8								ʔ ə r a											
642-8								n ɨ a a a s											
60-8								n ə p ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ w t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a a											
450-8								z ə r											
490-8								t ə p w ə m											
638-8								s ɨ n ə											
645-8								g a r											
75-8								ʔ a m b ɨ r											
160-8								tʃʼ ə r ə g											
208-8								ʔ ɨ n g w ɨ r a											
214-8								ʔ a b											
218-8								ʔ ɨ n z ɨ r											
378-8								ʔ a n g ə t											
379-8								a ə tʃʼ ə											
