COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɾ ɜ d o ŋ						
514-1	m i k						
464-1	n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ʊ ɑ						
205-1	p r̪ ɜ x m ɜ						
1089-1	l ɜ x ʊ i l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	r̪ ɜ q						
1512-1	x tɕ i n̪						
555-1	ʊ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	pʰ ɜ x m ɜ						
1106-1	b u						
693-1	ʊ ɜ ʊ o m ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l ʊ o t̪						
1273-1	x n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m tθ o						
383-1	p s̪ i l						
820-1	l̪ o k						
1636-1	x l̪ u ŋ						
1331-1	ʊ ɾ d̪ ʊ ɑ						
1097-1	l ɜ m						
1223-1	pʰ ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ q ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m i n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	ʊ i l						
610-1	ʊ ɑ						
350-1	pʰ ɜ ŋ o						
871-1	o ŋ m ɑ						
734-1	ɾ ʊ ɑ						
431-1	kʰ i						
1298-1	o ɾ b u l						
929-1	ts̪ ɜ ŋ k i						
1315-1	t̪ ɜ k s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɑ						
1692-1	n̪ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
294-1	b u						
661-1	b o ŋ o						
413-1	ʑ ɜ q						
996-1	ʊ ɜ n̪						
1012-1	t̪ r̪ o b ɜ ɾ						
181-1	pʰ r̪ i m o						
1660-1	g u n̪ d e						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	ʊ i ŋ m ɜ						
677-1	l̪ ɜ x m o						
1561-1	ɕ i r̪ p ɑ						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪						
391-1	g r̪ ɜ x m o						
972-1	ȵ i m o ɾ						
531-1	t̪ʰ ɜ x r̪ i ŋ						
253-1	tɕ o ɣ o						
1282-1	ts̪ u n̪ tθ e						
812-1	j ɜ ŋ m o						
245-1	t̪ʰ u r̪ u						
1609-1	k ɑ r̪ p o						
261-1	n̪ ɑ q p o						
1143-1	m ɑ r̪ p o						
709-2		g o o					
522-2		o x d o ŋ					
514-2		m ɪ k					
