COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n			
2054-1	d ə n ə			
1375-1	l ɪ k ə			
760-1	w ɪ n t			
756-1	s n			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n ə t ə			
1353-1	x r ɛɪ n m ɔ d ə			
412-1	v ɛ n ə ə r +			
406-1	s ɔ d ə ə r n			
1005-1	s t eː n v aː d ə			
1012-1	s t ə r m ɔ d ə			
1016-1	w ɪ t ə			
1069-1	ɪ			
509-1	v ɔ l ə			
693-1	m eː l ə			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɑ l			
1198-1	b ɪ t			
2032-1	h oː r			
2241-1	n aː z			
2244-1	l ɛɪ p			
610-1	k n			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	s uː k ə			
1650-1	n ɔ t			
1663-1	v ɑ l t			
2279-1	l ɛɪ n			
471-1	z ə ə			
1385-1	z ɛɪ t			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	d uː d ə			
2020-1	l ɑ ŋ			
867-1	h uː n d			
1970-1	v ə l			
1230-1	d r ɪ ə ə			
2017-1	n ɔ t			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h iː ɣ ə			
829-1	k l ɪ v ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r oː			
-1816-1	t ə			
-335-1	l ɑ d ə n			
1043-1	s t r oː m			
423-1	s t ə n			
2049-1	m ɔ n			
2062-1	s t ə r			
2065-1	r eː n ə n b			
1368-1	s ɑ d ə			
1365-1	d ə			
754-1	r aː n ə			
768-1	w ɛ d ə r			
1211-1	v ɪ ə r			
106-1	m ɑ n			
-98-1	b eː b ɪ			
719-1	v ɛ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n eː v ə			
409-1	s oː ɛɪ n ə r + z oː			
402-1	s oː iː ə ə r + n + k t ə			
1014-1	s t eː p + d ɔ t t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t ɪ			
2194-1	ɔ k s			
2199-1	k ɑ l			
2197-1	s oː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m ɑ r ə			
2141-1	h ɛ n			
2147-1	x ɑ n			
814-1	k r ɑ			
810-1	d oː b ə			
1755-1	h ɔ n t			
1758-1	m ɔ t			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
