COGID	Albanian	English	French	German	Latin
560-1	v				
438-1	y r				
1222-1	e t				
353-1	t e ʃ e				
201-1	v				
20-1	v u r t ə r				
503-1	t l				
957-1	e n				
728-1	l u n g				
244-1	n				
289-1	n e				
911-1	r u r t ə r				
724-1	t r e				
145-1	t u				
992-1	v u				
1181-1	k u n				
741-1	t u				
560-2		w			
438-2		u r ʃ			
1222-2		ai f s			
353-2		f i s k i			
201-2		w ai n			
20-2		w a t ə r			
503-2		f l ɑ t			
957-2		i n			
728-2		s a ŋ			
244-2		n u m ə n			
289-2		n a t			
911-2		r a n			
724-2		t r ai			
145-2		t au ai			
992-2		w i			
706-2		ɑ n			
106-2		f a t			
741-2		r ɔ			
421-2		f l ə r			
227-2		f ʊ t			
560-3			v		
438-3			v r s e		
1222-3			œ̃		
353-3			f ɑ̃ ʃ		
201-3			f uː n e		
20-3			k u r a		
503-3			r l aː		
957-3			ɑ̃		
728-3			l a n g		
244-3			n e m ə n		
289-3			n a		
911-3			r ɑ̃ t		
724-3			d r e		
145-3			d ɑ̃		
992-3			v		
1181-3			s ɑ̃		
706-3			ə g i l		
106-3			f a r		
741-3			r ɔ̃		
421-3			f l u r		
227-3			f y t e		
560-4				v	
438-4				u r ʃ	
1222-4				u f ts	
353-4				f i k u	
201-4				v ai ŋ v	
20-4				v a r	
503-4				f l aː	
957-4				i ŋ	
728-4				l a ŋ	
244-4				ŋ u m ə ŋ	
289-4				ŋ ai	
911-4				r a ŋ	
724-4				d r	
145-4				d oː	
992-4				v	
1181-4				k ŋ	
706-4				ai k l	
106-4				f e d r	
421-4				f l uː r	
227-4				f uː t	
560-5					w
438-5					e r s o
1222-5					uː g
353-5					f e k o
201-5					p uː n o
20-5					f uː t r o
503-5					p l u n o
957-5					e n o
728-5					l a n o
244-5					n aː m o
289-5					n e n o
911-5					r a n i r
724-5					t r e
145-5					d e
992-5					k e
1181-5					k aː n o
706-5					e
106-5					p o t r
741-5					f a k i n o
421-5					f l u r
227-5					p uː t eː
