COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a															
1319-1	n															
1398-1	s u g u															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i n															
2247-1	g oː															
4677-1	k u r e j															
5162-1	m i n ɛ															
5406-1	t aː n d															
359-1	k a r i															
1577-1	g i r e															
2196-1	n a r a															
2230-1	s u g															
2533-1	b a r i															
3605-1	k a n d															
3866-1	o z u															
4553-1	t a g u															
4822-1	k u m b															
5254-1	d u r ɔ															
503-1	k i n a															
1356-1	m a j															
1881-1	n u m															
3218-1	k u z u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n u															
4694-1	g u z u															
807-1	k o m															
2320-1	k a ŋ ɛ															
2476-1	k uː															
3719-1	m															
4081-1	d a m b i															
4313-1	n ɛ m															
4460-1	s u j															
5810-1	p i r u															
93-1	d ɔ															
260-1	b ɛ r ɛ															
385-1	dʒ ɛ m b ɛ															
890-1	a m b uː uː															
1336-1	t e g e															
1703-1	b a															
1769-1	t ɛ m b i															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ g ɛ															
4591-1	t oː r i															
5301-1	p ɛ r u															
5605-1	t u m ɛ															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t ɔ ŋ															
1788-1	s i															
2044-1	d i m b															
2713-1	t g m d d uː ɛ															
3219-1	k aː z u															
3425-1	j ɔ															
4184-1	ɲ ɛ															
4629-1	n u ŋ̍ ɔ															
4759-1	n i j̃															
4904-1	n u ŋ a															
4960-1	g i n aː dʒ i															
4980-1	t ɔ															
5059-1	g u j o															
5339-1	p a g a															
5549-1	t a w a															
5905-1	t i n u															
5922-1	b i r ɛ															
5938-1	a d u n a															
1-1	p ɛ															
483-1	g e z u															
629-1	d e															
667-1	ɛ w ɛ															
1254-1	b a z d u r															
1415-1	ɲ ɛ															
1542-1	n s															
1683-1	s i															
1898-1	k u uː															
2901-1	t u ŋ dʒ															
2957-1	m a ŋ d i															
3048-1	b i j															
3251-1	z a r a															
3885-1	t ɛ r ɛ															
4402-1	j i															
5622-1	p e r i j															
6006-1	p u u a															
135-1	t u n d															
158-1	m ɔ s u															
194-1	b ɛ															
221-1	ɛ s u															
650-1	b ɛ z i															
1152-1	t i w ɛ															
1374-1	k ɔ ŋ															
1452-1	g aː r a															
1862-1	i z i															
2083-1	k a n u															
2108-1	n a j															
2636-1	m															
2924-1	p o r u															
2941-1	b i r i															
3405-1	ɛ m ɛ															
3751-1	p ɛ j															
4066-1	g ɔ r̃ ɔ															
4535-1	s u g ɔ															
4888-1	s a m n a															
5583-1	t a ŋ g															
5751-1	t i j ɛ															
5981-1	a r̃ a															
114-1	d ɔ j̃ ɔ															
851-1	g ɔ															
1941-1	k i r i															
2179-1	n d i															
2351-1	b a b a															
2496-1	n u															
3482-1	m i z i d ɛ															
3497-1	n aː															
3588-1	k ɔ r ɔ															
4202-1	g r															
4293-1	dʒ ɔ t ɔ															
4921-1	s a m b a															
408-1	j a m b u															
545-1	i r u															
978-1	t a m															
1052-1	n aː m b u															
1070-1	n̩ u g o															
1942-1	j e															
2456-1	k ɔ r ɔ															
2514-1	d u z u															
2666-1	s u g r															
2817-1	a ŋ̍ g															
3132-1	d u ŋ̍															
3300-1	ɛ w ɛ															
3976-1	s o															
4152-1	k i r̃ a															
4361-1	t e g e															
4570-1	g ɔ k															
4648-1	j e															
5318-1	d ɔ r ɔ															
5673-1	d ɛ m ɛ															
5887-1	j a m															
446-1	g o ɔ g uː															
521-1	k g dʒ															
1108-1	k o															
1124-1	i r e															
1745-1	dʒ a j a															
1823-1	g o r															
2143-1	b a															
2265-1	u r ɔ															
2392-1	n̩ o s u															
2579-1	d o															
2774-1	k a ŋ i															
3339-1	k a r a															
3550-1	i ŋ i															
4024-1	z i b a															
4219-1	t ɛ m b															
4240-1	w e r i															
4259-1	g ɔ m															
4738-1	g u n d a															
5197-1	ɛ r u															
5447-1	g i d e															
5531-1	i r̃ u															
5733-1	n u															
5828-1	j a n															
562-1	s u m ɔ															
998-1	w ɔ															
1022-1	p i n i															
1023-1	j															
1205-1	j e															
1275-1	t a															
1578-1	n u m															
2063-1	i r ɛ															
2334-1	ɛ s u															
2798-1	u r̃ ɛ															
3252-1	m m b ɛ															
3463-1	w e															
3683-1	k i r̃ i															
3772-1	t u m a															
3790-1	g a w															
4052-1	b a s a															
4220-1	k t															
4440-1	t i															
4479-1	k oː															
4711-1	j a r u															
4778-1	s a s u															
4821-1	k u															
4941-1	ɔ j ɔ															
5272-1	t e g u															
5423-1	ɔ z ɔ															
5424-1	k ɔ r ɔ															
563-1	s u m o															
613-1	m aː															
684-1	ɲ a r̃ i															
742-1	dʒ a r a															
1204-1	k e r i															
1373-1	k u z															
1787-1	n aː															
1988-1	k u n d u															
2283-1	b ɛ r i															
2372-1	b e r u															
2441-1	n aː															
2598-1	j j j															
2773-1	b a r m i															
3011-1	b a n a															
3176-1	dʒ ɔ r ɔ															
3283-1	a r̃ a															
3318-1	n ɔ n d i															
3658-1	d i m ɛ															
3807-1	k j															
4037-1	s a n dʒ a															
4498-1	ɛ r u															
4843-1	o r u m															
5078-1	b r̃ r i															
5357-1	k ɔ															
5390-1	d u d oː															
5790-1	ɔ r u															
21-1	d b u															
42-1	k u d ɛ															
61-1	k ɛ n d															
239-1	t u m b i															
309-1	d i j a w															
327-1	n n															
482-1	dʒ e z u															
594-1	u s u n i															
701-1	m															
909-1	j i															
928-1	o m b o															
1184-1	d r ɔ															
715-2		d u														
1089-2		n a														
1319-2		n														
1398-2		s u g u														
1557-2		g i r e														
1626-2		w a g a														
1840-2		t i ŋ														
2247-2		g o														
4677-2		k u r o j														
5162-2		m i r̃ i														
5406-2		t aː n d														
359-2		g a r a														
1577-2		g i r e														
2196-2		n a j̃ a														
2230-2		s u g o														
2533-2		b a r a														
3605-2		tʃ a ɔ u														
3866-2		o s u														
4553-2		t a g u														
4822-2		tʃ u m b														
5254-2		d u r ɔ														
503-2		tʃ i r̃ a														
1356-2		m a j														
1881-2		n u m														
2084-2		j aː j ɛ														
2420-2		k u r ɔ														
3218-2		p u dʒ u														
3372-2		n a m a														
3718-2		a r a														
4135-2		b a n u														
4694-2		g u s u														
807-2		tʃ o m														
2320-2		tʃ a ŋ														
2476-2		k d														
2842-2		d i g u														
4081-2		tʃ a m b i														
4313-2		n ɛ m														
4460-2		s u j														
5514-2		n ɛ n d														
5810-2		p i ɛ u														
93-2		d ɔ														
260-2		b ɛ dʒ ɛ														
385-2		dʒ ɛ m b ɛ														
890-2		a m u ɛ ɛ														
1336-2		t e g e														
1703-2		b aː														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d a n a														
3031-2		d ɛ g ɛ														
4591-2		t ɛ r i														
5301-2		p ɛ r u														
5605-2		t i m ɛ														
296-2		dʒ a m b														
463-2		d u m b u														
762-2		b a ɔ a k tʃ														
1432-2		t a r u														
1474-2		t ɔ ŋ														
1788-2		s i														
2044-2		d i m b														
2713-2		t g m dʒ ɛ l ɛ														
3219-2		p aː dʒ u														
3425-2		j u														
4184-2		ɲ ɛ														
4629-2		n u ŋ u														
4759-2		n i j̃														
4904-2		n u ŋ a														
4960-2		g i n aː dʒ u														
4980-2		t ɔ														
5059-2		g u j o														
5125-2		ɔ n dʒ														
5339-2		p a g a														
5549-2		t a w a														
5771-2		dʒ u g u														
5905-2		t i r̃														
5938-2		a d u n a														
1-2		p ɛ														
483-2		g o s u														
629-2		d ɔ														
667-2		ɛ w ɛ														
1254-2		dʒ a m d u r u														
1415-2		ŋ ɛ														
1542-2		n														
1683-2		s i														
1898-2		p u ɛ														
2551-2		r i														
2901-2		t u ŋ g														
2957-2		m a n d i														
3048-2		b i j														
3251-2		s a r̃ a														
3885-2		dʒ ɛ r ɛ														
4402-2		j i														
5081-2		j ɔ u														
5622-2		p ɛ l i j														
6006-2		p u l u														
43-2		s aː														
135-2		t u n d u														
158-2		m ɔ s u														
194-2		b ɛ														
221-2		ɛ s u														
650-2		b dʒ														
1152-2		t i w ɛ														
1374-2		k ɔ ŋ g														
1452-2		g aː r a														
1862-2		i s u														
2108-2		n a j														
2636-2		m														
2880-2		tʃ u n dʒ u														
2924-2		p o r														
2941-2		b i j̃ i														
3405-2		ɛ m ɛ														
3959-2		t o r u														
4066-2		g ɔ r̃ ɔ														
4535-2		s u g ɔ														
4888-2		s a m n n														
5180-2		s ɛ m b														
5751-2		t iː j ɛ														
5981-2		a r̃ a														
114-2		d ɔ j̃ ɔ														
702-2		ɔ g ɔ s ŋ														
851-2		g ɔ														
872-2		ɛ n dʒ														
952-2		k u r u														
2179-2		n d i														
2351-2		b a b a														
2496-2		n u j̃														
4609-2		k ɔ r ɔ														
4740-2		g u n ɔ														
4921-2		s a m b a														
5982-2		g u dʒ u														
978-2		t o m														
999-2		j ɛ														
1052-2		n aː m u														
1989-2		m i n ɛ														
2456-2		k ɔ l														
2666-2		s u g i														
2817-2		a ŋ g														
3132-2		d u ŋ														
3300-2		ɛ w ɛ														
3977-2		m ɔ ɔ dʒ														
3978-2		m ɔ ɔ dʒ														
4260-2		ɔ m b														
4278-2		tʃ u n dʒ u														
4334-2		s ɔ l														
4361-2		t e g e														
4570-2		g ɔ g														
4648-2		j o														
5673-2		d ɛ m u														
5887-2		j a														
446-2		g o ŋ g o														
1108-2		j o														
1124-2		e r e														
1237-2		i n dʒ ɛ														
1745-2		dʒ a j a														
1823-2		g o j̃														
2143-2		b a														
2265-2		u r ɔ														
2392-2		l o s u														
2579-2		d oː														
2902-2		j ɔ														
3197-2		tʃ aː														
3339-2		k a r a														
3550-2		ɛ ɛ ɛ														
3943-2		p a l i														
4240-2		w o r u														
5197-2		ɛ r u														
5531-2		u r̃ ɛ														
5733-2		n iː														
409-2		g o r u														
562-2		s u m ɔ														
1022-2		p i l i														
1205-2		j e														
1275-2		t aː														
1524-2		tʃ o r														
1578-2		n u m														
2063-2		i r ɛ														
2798-2		ŋ i ɛ														
3088-2		ɛ ɛ u														
3683-2		tʃ i r̃ e														
3772-2		t u m a														
