COGID	dutch	english	french	german
1469-1	s ɑ b l			
2047-1	s oː l eː j			
2054-1	d uː n d r			
1375-1	l ɪ k			
760-1	w ɛɪ n t			
756-1	s n aː			
726-1	m uː			
1351-1	k r oː n v aː iː r			
1353-1	k l ɛɪ n			
412-1	v a + eː ə r + l ɑ			
406-1	m w iː r + m uː d ə l			
1005-1	s a iː v + v ɑ n ə r			
1012-1	s t iː v + m uː d ə r			
1016-1	w iː d v eː r			
1069-1	ɛɪ eː			
509-1	p ɔ l ɪ			
693-1	m uː l + t iː r			
2179-1	n ɪ s t			
1753-1	f w ɑ s			
1131-1	l oː l f			
1198-1	b ɪ r t			
2032-1	h uː r			
2241-1	aː z ɪ			
2244-1	l ɪ p			
610-1	k iː			
945-1	h ɑ t			
1534-1	l ə k			
384-1	s oː k ɪ			
1650-1	n uː t			
1663-1	s uː l t			
2279-1	l ɛɪ n			
471-1	s eː ə			
1385-1	s eː d ɛ s			
792-1	j ɔ k			
1111-1	ɑ s t			
197-1	z uː d			
2020-1	l oː ŋ			
867-1	h ɔ n d r eː d			
1970-1	p l			
1230-1	d r w ɑ z			
2017-1	n j uː a			
968-1	w ɛ l t			
1674-1	l ɛɪ n t			
1671-1	h øː l			
829-1	k l iː p ə			
1025-1	w ɑ s t ə r			
1027-1	s iː			
1832-1	r ɔ f			
-1816-1	oː s aː n			
-335-1	l ə k uː n ə			
1043-1	s t r oː m			
423-1	s t ɛɪ n			
2049-1	m ɛɪ n t			
2062-1	s t ɔ m			
2065-1	r ɛɪ k			
1368-1	s ɛ d			
1365-1	d j uː			
754-1	r aː x			
768-1	w eː d ə r			
1211-1	v ɛɪ eː r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɛ d ə r			
1341-1	s oː n			
-2027-1	t ɛ n t			
-2026-1	ɛ v j uː			
409-1	s w iː k + l ɔ			
402-1	d v iː k ə r + d ə l			
1014-1	s t iː f + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	z uː r a			
2194-1	ɔ k s ə			
2199-1	k ɑ l p			
2197-1	s iː p			
1523-1	s oː			
1521-1	b oː k			
512-1	m ɛ r aː			
2141-1	h ɛɪ n			
2147-1	x ɑ s			
814-1	k r aː x			
810-1	d oː v ə			
1755-1	h j			
1758-1	m uː z			
1760-1	r oː t			
1620-1	v iː n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː s			
1307-1	n iː t ə			
1305-1	v l iː			
711-1	w eː p			
1442-1	v l ɛɪ k			
62-1	m iː k ə			
-73-1	m ɔ s k iː t oː			
1810-1	h oː t			
1805-1	v l ɛ s			
1813-1	h eː r			
1811-1	b l ɔ d			
690-1	r iː p			
2177-1	h oː p t			
246-1	ɛɪ k b r uː ə			
249-1	ɛɪ x ə d			
1506-1	n aː z t r ə l			
2242-1	m uː n t			
2245-1	t ɔ ŋ ə			
1196-1	uː k			
2174-1	s x ʉ l t ə r			
575-1	oː t ə l + h oː l ɪ			
603-1	ɛ l + b oː x ə			
601-1	h ɑ n d			
615-1	v iː ŋ x r			
901-1	k l ɔ ə			
608-1	v ɔ t			
596-1	t aː ə			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l iː v iː r			
1606-1	h ɔ p			
472-1	s n iː z			
1535-1	s w eː t ə			
1546-1	s p ɪ k			
1959-1	s l aː v ə			
694-1	s n oː r k ə			
1961-1	d r iː m ə			
323-1	ə l ɛɪ w			
1885-1	x r aː p			
2156-1	k aː l d + ɔ ŋ			
1903-1	w uː n d ə			
525-1	s w eː l iː ŋ			
276-1	l ɑ m aː			
274-1	t oː p			
278-1	b l ɛɪ n d			
258-1	b ə r ɔ ŋ k ə			
256-1	n aː k iː d			
383-1	ɛ s			
207-1	r ɛɪ v			
376-1	d iː ŋ k			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ ŋ ə z			
1243-1	m iː l			
1265-1	p iː l t			
1261-1	z iː w ə			
655-1	b r oː t			
650-1	d ɛɪ k			
1532-1	k iː d ə			
-36-1	s ɔ p ə			
34-1	b oː n ə			
-1647-1	v ɛɪ x ə			
-1615-1	oː l			
125-1	v ɛ t			
1659-1	h oː n ə x			
1661-1	m iː l k			
1676-1	b oː d ə r			
480-1	k ə t r ɛ ŋ k			
1466-1	k l ɛɪ d ɔ ŋ			
2277-1	w ɔ l ə			
2271-1	v eː l t			
2293-1	l eː d ə r			
624-1	s p iː n			
628-1	s p iː n d ə			
626-1	w iː w			
633-1	n iː d ə l			
1185-1	s uː + m aː k ə r			
1179-1	h ɛɪ t			
2168-1	k ɑ m			
1952-1	d uː r			
899-1	l ɛɪ t ə r			
922-1	b ɛ d			
-934-1	l ɑ m p			
916-1	t r oː k			
1726-1	v eː l t			
2108-1	p l uː x			
1133-1	v ɔ r k eː			
2114-1	s p aː d ə			
1272-1	r ɛɪ ɣ ə			
1979-1	k r ɑ s			
1989-1	h aː j			
-2260-1	p l ɑ n t			
70-1	b iː k ə			
-89-1	w ɛɪ n + s t ɔ x			
-12-1	p ɛɪ p			
713-1	s ɑ v t			
747-1	n eː t ə l			
308-1	d uː			
289-1	b ɛɪ n d ə			
1930-1	b r ɛɪ k			
1928-1	s p ɑ l ɛɪ			
858-1	s t r ɛ k ə			
1577-1	h v + h ɛ ŋ ə			
908-1	w ɑ s ə			
648-1	b oː r			
1855-1	h ɑu			
657-1	h iː m ə r			
2058-1	n aː x			
949-1	b m iː t			
1642-1	x aː l d			
1640-1	s iː l w ə r			
1633-1	ɛɪ r ə			
1630-1	t iː n			
993-1	k l ɑ s			
-2121-1	r ɔ l ə			
1692-1	v ɑ l ə			
1694-1	d r ɔ p ə			
1062-1	z ɛ ŋ k ə			
476-1	s w iː m ə			
1051-1	v l ɛɪ k			
1075-1	b l aː z ə			
135-1	x l ɛɪ t ə			
-134-1	d ɑ n eː			
1839-1	oː s + uː t ə			
1097-1	k uː m + b ɑ m ə			
1777-1	v ɔ l k			
1434-1	b r iː ŋ ə			
1417-1	l ɛɪ t			
1424-1	r ɛɪ t			
778-1	p aː t			
790-1	b r iː s			
1223-1	p ɑ d ə l			
1117-1	s aː k ə l			
1411-1	h ɑ w ə			
1407-1	h ɑ l d			
1390-1	d iː ŋ			
2086-1	x iː w			
2082-1	k iː r k + x aː b ə			
576-1	s ɛɪ k			
579-1	v ɛɪ n d ə			
581-1	f ɛɪ z			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l ɑ s			
1479-1	f n ə			
847-1	h ɛɪ			
659-1	b oː d ə m			
860-1	m iː d ə			
213-1	r ɛɪ k			
1286-1	v ɛ r			
1293-1	w ɛ s t ə			
474-1	d iː k			
467-1	d ʉ n			
1177-1	t iː v			
588-1	p l ɑ k			
584-1	h ɔ k			
-1153-1	r uː n d			
700-1	t w ɛɪ l v			
875-1	d uː z ə			
1559-1	ɑ l ə			
1565-1	m ɔ r			
1968-1	h ɛ l f			
-350-1	p aː r			
1478-1	b oː d ə			
1469-2		s a b l		
2047-2		s uː l ɪ		
2054-2		d uː n d		
1375-2		l ɪ k		
760-2		f ɪ t		
756-2		s n ɛ		
726-2		m ʌ d		
1351-2		ɡ r æ s + f aː d ə r		
1353-2		ɡ r ɔ s + m uː d ə r		
412-2		s		
406-2		s ɡ l + m uː d ə r		
1005-2		s t ɪ f aː d r		
1012-2		s t iː f + m uː d ə r		
1016-2		f ɪ d w ɪ r		
1069-2		ɪ k		
509-2		eː f l ɪ		
693-2		m iː l + d iː l		
2179-2		n ɪ s t		
1753-2		f ɪ s		
1131-2		l uː l f		
1198-2		b eɪ r t		
2032-2		k uː r		
2241-2		n uː s		
2244-2		l ɪ p		
610-2		k ɪ		
945-2		k h r t		
1534-2		l ɪ k		
384-2		s oː ɡ ɪ		
1650-2		n w s		
1663-2		s əʊ l		
2279-2		l ɪ n		
471-2		s ɪ m		
1385-2		s ɪ d		
792-2		uː k		
1111-2		m uː s t		
197-2		s uː d ɪ n		
2020-2		l əʊ ŋ		
867-2		h uː d ɪ r t		
1970-2		f uː l		
1230-2		d r ɪ d ɪ		
2017-2		n iː v a		
968-2		w ɛ l d		
1674-2		l əʊ n t		
1671-2		h øː ɡ ə l		
829-2		k l ɪ p ə		
1025-2		f eː d ə r		
1027-2		s ɛ		
1832-2		r uː		
-1816-2		ɔ s ə n		
-335-2		l əʊ ɡ uː n		
1043-2		s t r ɔ m		
423-2		s t ɛ n		
2049-2		m əʊ		
2062-2		s t ɔ r m		
2065-2		r ɛ k		
1368-2		s əʊ d øː w		
1365-2		d iː		
754-2		r ɛ x		
768-2		f ɛ d		
1211-2		f yː r		
106-2		m ɑ n		
-98-2		b ɛ b iː		
719-2		f aː d ə r		
1341-2		s oː n		
-2027-2		t ɛ n t		
-2026-2		n ɛ f		
409-2		ʃ v iː ɡ		
402-2		s f oː n d + d ɔ x t		
1014-2		ʃ t ɪ v ə r		
1059-2		f iː r		
120-2		s d		
2194-2		ɔ k		
2199-2		k æ l p		
2197-2		s k ɪ p		
1523-2		s iː k		
512-2		m ɛː r		
2141-2		h ɛ n		
2147-2		ɡ æ n s		
814-2		k r eɪ		
810-2		d ɪ f		
1758-2		m iː		
1760-2		r a t		
1620-2		f ɪ n		
1282-2		v aː l v ɪ s		
1136-2		f ɔ		
1309-2		l iː s		
1307-2		n ɪ s		
1305-2		f l ɔ		
711-2		v ɛ s p		
1442-2		f l ɪ ɡ		
62-2		m ɪ k		
-73-2		m ɔ z k iː t		
1810-2		h ɑu		
