COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z oː n ɛ ɔ			
2054-1	d iː n ɛ r			
1375-1	l ɛ m t			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ r			
1351-1	k r aː n + f ɑ n t ə r			
1353-1	m r ɑ n + m oː d ə r			
412-1	s x oː n + v aː t ə r			
406-1	s x oː n + m ɔ x t ə r			
1005-1	s t iː v + v aː d ə r			
1012-1	s t iː v + m uː d ə r			
1016-1	w aː v ɛ r			
1069-1	ɛɪ ɛ			
509-1	v ɔ l ə			
693-1	m ɛ l t iː r			
2179-1	n eː s t			
1753-1	v ɪ s			
1131-1	l ɔ l f			
1198-1	b ɑ r t			
2032-1	k iː r n			
2241-1	n eː z ɛ			
2244-1	l ɔ p			
610-1	k n ɔ			
945-1	k aː r t			
1534-1	l ə h ə			
384-1	z ɔ ɣ ɛ n			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n			
471-1	z ɛ m ə			
1385-1	z ɛ m ɛ			
792-1	ɔ k			
1111-1	m ɑ s t			
197-1	z ɛ d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n t ɛ r t			
1970-1	v l n			
1230-1	d r ɪ t			
2017-1	n ɔ uː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː l			
829-1	k l ɪ p			
1025-1	w ɑ s ə r			
1027-1	z ɛɪ			
1832-1	r oː p			
-1816-1	oː s ə aː n			
-335-1	l ɑ ɣ ə			
1043-1	s t r iː m			
1469-2		z a n t		
2047-2		z iː n		
2054-2		d iː n ə r		
1375-2		l ɪ m t		
760-2		w ɪ n t		
756-2		s n eː w		
726-2		m uː r		
1351-2		ɡ r aː n + f aː t ə r		
1353-2		ɡ r ɔ s t ə r		
412-2		s x aː d ə r		
406-2		s x oː n + m uː t ə r		
1005-2		s t iː v + d ɔ x t ə r		
1012-2		s t iː v + m uː d ə r		
1016-2		w eː d ə r		
1069-2		ɛ k		
509-2		v ɔ l ə		
693-2		m uː l		
2179-2		n ə s t		
1753-2		v ɪ h s		
1131-2		l ɔ l f		
1198-2		b oː r t		
2032-2		k		
2241-2		n aː z		
2244-2		l ɪ p		
610-2		k n iː ɔ		
945-2		k aː r t		
1534-2		l ɪ k		
384-2		z uː ɡ ə		
1650-2		n oː t		
1663-2		z ɔ l t		
2279-2		l ɪ n		
471-2		z ə m		
1385-2		z aː m s		
792-2		ɔ k		
1111-2		m ɑ s t		
197-2		z uː d ə		
2020-2		l ɑ ŋ		
867-2		h ɛ n d ə r t		
1970-2		v l n		
1230-2		d r ɪ t		
2017-2		n oː w		
968-2		w ɛ l t		
1674-2		l ɑ n t		
1671-2		h eː l		
829-2		k l ɪ p		
1025-2		w ɑ s ə r		
1027-2		z ɛɪ		
1832-2		r uː w		
-1816-2		oː t eː aː		
-335-2		l ɑ n uː n		
1043-2		s t r ɔ m		
1469-3			z a n t	
2047-3			z oː n ɛ	
2054-3			t ʊ n t ə r	
1375-3			l ɪ x t	
760-3			w ɪ n t	
756-3			s n eː w	
726-3			m ʊ d ə r	
1351-3			ɡ r aː n + f aː d ə r	
1353-3			ɡ ə r + m uː d ə r	
412-3			s x oː n + d ɔ x t ə r	
406-3			ʃ v iː ɡ ə r + m ʊ t ə r	
1005-3			ʃ t iː v + f aː d ə r	
1012-3			s t iː v + m uː d ə r	
1016-3			w ɛ t ə r	
1069-3			ɪ k	
509-3			f ɔ l ə n	
693-3			m au l + t iː z ə n	
2179-3			n ɛ s t ə	
1753-3			v ɪ h	
1131-3			v ɔ l p	
1198-3			b aː r t	
2032-3			h oː r n	
2241-3			n aː z ə n	
2244-3			l ɪ p	
610-3			k n iː	
945-3			h ɛ r t	
1534-3			l ɪ k ə	
384-3			z au k ə	
1650-3			n oː t	
1663-3			z ɔ l t	
2279-3			l ɪ n ə	
471-3			z eː ə	
1385-3			z aː t	
792-3			ɔ k	
1111-3			m ɛ s t	
197-3			z au d ə	
2020-3			l ɑ ŋ	
867-3			h ʊ n d ə r t	
1970-3			v ɔ l	
1230-3			t ɛ r t ə n	
2017-3			n yː	
1469-4				z a n t
2047-4				z ʊ l ə
2054-4				t ʊ n ɛ r
1375-4				l ɪ m t
760-4				v ɪ n d ə
756-4				n a ɔ
726-4				m ʊ n t ə r
1351-4				ɡ r aː n + f eː t ə r
1353-4				ɡ ə + ɡ r + m ʊ t ə r
412-4				ʃ v iː ɡ ə r + t ɔ x t ə r
406-4				ʃ v iː ɡ ə r + m ʊ t ə r
1005-4				ʃ t iː f ɛ r + t ə r
1012-4				ʃ t iː f + m uː t ə r
1016-4				v eː t ə r + aː r
1069-4				au k
509-4				f ɔ l n
693-4				m au l
2179-4				n ə s t
1753-4				f ɪ a ʃ t ə n
1131-4				v ɔ l p ə
1198-4				b oː r t
2032-4				h oː r n
2241-4				n a x ə
2244-4				l ɪ f ə
610-4				k n iː ɔ
945-4				k eː r t
1534-4				l ɪ x ə n
384-4				x au ɡ ə n
1650-4				n oː t
1663-4				z au l t
2279-4				l ɪ n ɪ x
471-4				z a m ə n
1385-4				z aː m
792-4				au ʏ k
1111-4				m a s t
197-4				z uː t ə n
2020-4				l a ŋ
867-4				h ʊ n t ə r
1970-4				f l n
1230-4				t ɛ r t ə n
2017-4				n ɔ uː
968-4				v ɛ l ə n
1674-4				l a n t
1671-4				h ʏ b ə l
829-4				k l ɪ p ə
1025-4				v aː t ə r
1027-4				z iː
1832-4				r ɔy p
-1816-4				oː ʃ ə aː n
-335-4				l ə ɡ ɔy n ə
1043-4				ʃ t r iː m ə n
