COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	d a r i									
35-1	h i θ u θ u r i									
36-1	h u θ a ts ɨ									
48-1	n a g a									
60-1	θ u r i									
63-1	s i r a m i									
64-1	k i									
67-1	h a									
68-1	n ɨ b u r u r i									
71-1	tɕ i									
76-1	h u ɴ g e									
83-1	θ u ɴ u									
87-1	h a ɴ g e									
95-1	m i m i									
98-1	h a ɴ g a									
99-1	k u tɕ i									
-102-1	s i θ a									
103-1	θ u m i									
110-1	θ ɨ									
116-1	m u ɴ g i									
120-1	n u m u r i									
132-1	k i x ɨ									
139-1	k u r u s u r i									
140-1	u w u g u									
156-1	θ a x u r u									
168-1	θ u x i									
169-1	h u s a r i									
170-1	m i z ɨ									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h a z a r i									
186-1	m u i r u r i									
187-1	m i tɕ i									
190-1	ʔ a x a m a r i									
193-1	k u r u r i									
194-1	s i r u r i									
195-1	k u r u r u s a r i									
216-1	m a r ui									
221-1	n a m a									
239-1	ʔ i θ u r i									
252-1	m i θ u r i									
253-1	w u θ u r i									
254-1	ʔ i θ u r i									
266-1	x a z a m a r i									
267-1	n a g a r u r i									
268-1	ʔ u m i									
272-1	ʔ a m i									
276-1	ʔ a r a r i									
281-1	m u s i									
304-1	θ u b a									
305-1	ts u tɕ i									
308-1	h a ɴ g a									
309-1	k u s a ɴ									
310-1	θ u									
311-1	n i									
342-1	w u x i									
346-1	k u r a r a r i									
347-1	k i r u r i									
348-1	h i r u r u s a r i									
351-1	θ u w a									
361-1	u m u θ a									
379-1	x u s a θ a									
394-1	h i d a r i									
395-1	m i g i									
400-1	h i b a r u r i									
412-1	s a x i r u r i									
413-1	θ u k i s a ɴ									
414-1	h u r u r u s a r i									
422-1	h u k u r u r i									
423-1	x a ɴ g a r u									
430-1	h a x j a									
435-1	h u x u									
446-1	s i θ a r i									
447-1	ʔ u r u ɴ									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔ i u r i									
70-1	θ a ɴ g e									
96-1	m iː									
101-1	h a									
114-1	k u b i									
119-1	tɕ i m u									
134-1	s i θ u r u r i									
138-1	s i n u r i									
146-1	ʔ a r u r i									
161-1	ʔ u									
182-1	k i m u r i									
188-1	w a m a									
196-1	w u r u									
262-1	h i r u r u s a r i									
300-1	h i s u									
313-1	d ɨ									
350-1	s i b a									
352-1	tɕ i k a i									
396-1	h u r u r u s a r i									
401-1	ʔ u θ u r i									
420-1	u θ u r i									
424-1	ʔ u θ a r i									
442-1	s i m i r u r i									
455-1	ʔ i k i r u r i									
15-1	ʔ a r i									
49-1	u ɴ a g a									
130-1	m i r u r i									
149-1	k u r ɨ r u r i									
175-1	ʔ u n a r i									
199-1	ʔ a θ a s i									
230-1	ʔ a u r i θ u									
233-1	a ɴ u h i θ u θ a θ									
264-1	k i r i									
