COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o ŋ						
522-1	o d u o ŋ						
514-1	m i t̪ s̪						
464-1	s̪ n̪ ɜ						
1020-1	s̪ ɜ ɜ s̪ s̪						
1355-1	s̪ o						
1464-1	l̪ ʈ ɜ						
302-1	b i ɜ ŋ						
237-1	l̪ ʈ r̪ ɑ						
205-1	p r̪ ɜ p						
1089-1	l ɜ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x s̪						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i						
269-1	kʰ ɜ i						
1512-1	s̪ ʈ i n̪						
555-1	ŋ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ ɛ o						
601-1	ɕ ɪ ŋ						
320-1	p ɜ x p ɜ						
1106-1	b u						
693-1	h ɜ ŋ o ŋ ɜ						
221-1	s̪ i ɜ p ʊ						
1199-1	t̪ʰ ɜ j p ɑ						
1424-1	s̪ k u k p						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ s̪ ʊ						
1127-1	tɕʰ ɜ r̪ ʊ ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ u m ɛ ɪ						
383-1	p s̪ i s̪						
820-1	l̪ o k s̪						
1636-1	s̪ ʈ n̪						
1331-1	ɾ d d̪ ɑ						
1097-1	l ɜ m						
1223-1	ŋ ɜ ŋ ɑ						
592-1	m ɛ						
1290-1	t̪ u t̪ p ɑ						
669-1	s̪ u n̪ s̪						
1472-1	s̪ i ɜ						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ɛ n̪ d o						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ i m ʊ						
1480-1	j u ŋ						
653-1	z̪ ɛ o k e						
1081-1	ŋ o ŋ						
1448-1	p ɑ j ɑ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ o l						
610-1	ŋ ɑ						
350-1	ŋ ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ d ɑ						
431-1	kʰ i						
1298-1	o d i p l						
929-1	ŋ ɜ ŋ k ʊ						
1315-1	t̪ ɜ x s̪						
964-1	m i n̪ t̪ ɜ n̪						
836-1	m i						
1644-1	b u s̪ k						
