COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o gʲ u o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ ɜ ɜ m s̪						
1355-1	s̪ o						
1464-1	l̪ ʈ e						
302-1	b l ɜ ŋ						
237-1	l̪ ʈ ɜ ɑ						
205-1	p r̪ ɜ p s̪						
1089-1	l ɜ q s̪ ʑ ɾ						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɜ x s̪						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪						
269-1	kʰ ɜ ɜ						
1512-1	s̪ ʈ i n̪						
555-1	ɾ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	ɾ ɜ x m ɜ						
1106-1	ɾ u						
693-1	h ɜ ɽ o x ɜ						
221-1	s̪ t̪ ɜ r̪ ʊ						
1199-1	t̪ʰ ɜ						
1424-1	s̪ k u t̪ p						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m ɑ o						
383-1	p s̪ i k						
820-1	l̪ o k						
1636-1	s̪ ʈ u						
1331-1	ɾ r̪ o n̪ ɑ						
1097-1	l ɜ m						
1223-1	ɾ ɜ ŋ ɑ						
592-1	m ɛ						
1290-1	t̪ u t̪ p ɑ						
669-1	s̪ u t̪						
1472-1	s̪ t̪ ɜ						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m i n̪ d o						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ t̪ m						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ i l						
610-1	ɑ ɑ						
350-1	g ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ gʲ ɑ						
431-1	kʰ i						
1298-1	o gʲ i p d						
929-1	ts̪ ɜ ŋ k						
1315-1	t̪ ɜ x s̪ k						
964-1	m i n̪ t̪ ɜ n̪						
836-1	m i						
1644-1	b u u s̪						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɜ						
1692-1	pʰ o n̪ o						
1306-1	ɾ u						
405-1	b o ŋ o						
294-1	p i u						
661-1	b o ŋ o						
413-1	ʑ ɜ q s̪						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o						
181-1	pʰ i t̪ o						
1660-1	g u n̪ d u						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ŋ m						
677-1	ɾ ɜ x m o						
1561-1	ɕ ɕ						
447-1	s̪ k ɜ m						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪						
391-1	g ɜ ɜ m o						
972-1	ȵ i m o						
531-1	t̪ʰ ɜ q s̪ ʊ						
253-1	tɕ o x o						
1282-1	ts̪ u n̪ tθ e						
812-1	j ɑ ŋ m o						
245-1	t̪ʰ u r̪ u						
1609-1	k ɑ r̪ p o						
261-1	n̪ ɑ x s̪ o						
1143-1	m ɑ r̪ p o						
709-2		g o o					
522-2		o d d o ŋ					
514-2		m i k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ ɜ m s̪ s̪					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b l ɜ ŋ					
237-2		l̪ t̪ r̪ ɑ					
205-2		p r̪ ɜ p p					
1089-2		l ɜ q p ɪ k					
804-2		k ɜ ŋ m ɜ					
1263-2		b ɜ k s̪ ɑ					
286-2		ɾ u s̪					
717-2		s̪ n̪ i ŋ					
269-2		kʰ ɜ ɜ					
1512-2		s̪ tɕ ɪ n̪					
555-2		tɕ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ g o					
601-2		ɕ i ŋ					
320-2		tɕ ɜ s̪ m ɜ					
1106-2		b u					
693-2		h ɜ r̪ o					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɜ q p ɑ					
1424-2		s̪ k u t̪ õ					
904-2		l dð o t̪					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɑ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɜ m o o					
383-2		p s̪ i l					
820-2		l̪ o k					
1636-2		l̪ u ŋ					
1331-2		ʊ ɾ g ɑ ɑ					
1097-2		l ɜ m					
1223-2		tɕ ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		tɕ u t̪ p ɑ					
669-2		s̪ s̪					
1472-2		s̪ t̪ ɑ					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m ɛ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b gʲ ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ɛ ɛ r̪ m					
1480-2		j u ŋ					
653-2		z̪ g o k					
1081-2		ts̪ o ŋ					
1448-2		p ɑ					
1029-2		m ɑ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		tɕ ɑ					
350-2		z̪ ɜ ŋ o					
871-2		o ŋ ɑ					
734-2		ɾ g ɑ					
431-2		kʰ i					
1298-2		o ɛ b o p					
929-2		ts̪ ɜ ŋ k i					
1315-2		tɕ ɑ k s̪					
964-2		m i n̪ d ɜ s̪					
836-2		m i					
1644-2		b u s̪ t̪ u ʊ					
547-2		ɑ t̪ ɜ					
1048-2		k ɜ k ɜ					
1692-2		pʰ o n̪ o					
1306-2		b u					
405-2		b o ŋ o					
294-2		p gʲ					
661-2		b o ŋ o					
413-2		ʑ ɜ q					
996-2		tθʰ ɜ n̪					
1012-2		t̪ u o gʲ ɑ					
181-2		pʰ i r̪ o					
1660-2		g o n̪ d o					
1440-2		d̪ i r̪ i ŋ					
1652-2		l o					
1037-2		s̪ i i ŋ m					
677-2		tɕ ɜ s̪ m o					
1561-2		ɕ ɕ r̪ p ɑ					
447-2		s̪ k ɜ m o gʲ					
828-2		ɾ i ŋ m o					
1247-2		tɕ ɜ t̪					
391-2		g ɜ ɜ m o					
972-2		ȵ i m o					
531-2		t̪ʰ ɜ q p i ŋ					
253-2		tɕ o x o					
1282-2		ts̪ u n̪ d e					
812-2		j ɑ ŋ m o					
245-2		t̪ʰ u r̪					
1609-2		k ɑ r̪ p o					
261-2		n̪ ɑ q p o					
1143-2		m ɑ r̪ p o					
709-3			g o o				
522-3			o q d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ ɜ ɜ m s̪				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ r̪ ɑ				
205-3			p r̪ ɜ p				
1089-3			l ɜ q				
804-3			k ɜ ŋ m ɑ				
1263-3			b ɜ k s̪				
286-3			ɾ u s̪				
717-3			s̪ n̪ i ŋ				
269-3			kʰ ɜ ɜ				
1512-3			x tɕ ɪ n̪				
555-3			l̪ ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			p ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ l o q ɑ				
221-3			s̪ t̪ ɜ r̪ e				
1199-3			t̪ʰ ɜ q				
1424-3			s̪ k u t̪ ɑ̃ ɜ				
904-3			l dð o t̪				
1273-3			s̪ n̪ ɜ m				
1323-3			s̪ k ɜ r̪ u ɑ				
1127-3			tɕʰ ɜ r̪ i ɑ				
1529-3			tɕʰ u				
1175-3			ɾ g ɜ m				
383-3			p s̪				
820-3			l̪ o k				
1636-3			l̪ u ŋ				
1331-3			ʊ g d̪ ɑ				
1097-3			l ɜ m				
1223-3			t̪ ɜ ŋ ɑ				
592-3			m e				
1290-3			t̪ u t̪ ɑ̃ ɜ				
669-3			x s̪				
1472-3			s̪ t̪ ɑ				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɪ g d o q				
844-3			ɑ m				
879-3			tɕʰ ɜ				
1151-3			b r̪ ɜ s̪				
1119-3			ɜ l u				
365-3			s̪ ɛ r̪ m u				
1480-3			j u ŋ				
653-3			z̪ g o k o ɜ				
1081-3			ts̪ o ŋ				
1448-3			p ɑ				
1029-3			m ɑ ɾ				
863-3			ɕ ɜ				
539-3			tθʰ ɪ l				
610-3			t̪ʰ ɑ				
350-3			t̪ ɜ ŋ o				
871-3			o ŋ ɑ				
734-3			ɾ g ɑ				
431-3			kʰ ɪ				
1298-3			o z̪ b i				
929-3			ts̪ ɜ ŋ k ɪ				
1315-3			t̪ ɑ k s̪ k s̪ n̪				
964-3			m ɪ n̪ t̪ ɜ q				
836-3			m ɪ				
1644-3			b u s̪ t̪ r̪ u				
547-3			ɜ t̪ ɜ				
1048-3			k ɜ k ɜ				
1692-3			pʰ o n̪ o				
1306-3			b u				
405-3			b o ŋ o				
294-3			p i u				
661-3			b o ŋ o				
413-3			ʑ ɜ q				
996-3			tθʰ ɜ n̪				
1012-3			t̪ r̪ o b ɜ p				
181-3			pʰ i u o				
1660-3			g u n̪ d e				
1440-3			d̪ ɪ r̪ i ŋ				
1652-3			l o				
1037-3			s̪ i i ŋ ɑ m				
677-3			m ɜ x m o				
1561-3			ɕ e r̪ i ɑ				
447-3			s̪ k ɜ m o o				
828-3			ɾ i ŋ m o				
1247-3			tɕ ɜ t̪				
391-3			g ɜ u m o				
972-3			ȵ i m o q				
531-3			t̪ʰ ɜ q r̪ i ŋ				
253-3			tɕ o q o				
1282-3			ts̪ u n̪				
812-3			j ɑ m ɑ o				
245-3			t̪ʰ u ɾ u				
1609-3			k ɑ r̪ ɜ o				
261-3			n̪ ɑ q				
1143-3			m ɑ r̪ ɜ o				
709-4				g o o			
522-4				o ɾ d o ŋ			
514-4				m i k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ m m s̪			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b l ɜ ŋ			
237-4				l̪ t̪ r̪ ɑ			
205-4				p r̪ ɜ q p ɜ			
1089-4				l ɜ q p ɜ l			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɜ k s̪ p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				kʰ ɪ q			
1512-4				x tɕ ɪ n̪			
555-4				l̪ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ ʊ o			
601-4				ɕ i ŋ			
320-4				p ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ t̪ o ŋ ɜ			
221-4				s̪ t̪ ɜ r̪ e			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ k u k p ɜ			
904-4				l dð o			
1273-4				s̪ n̪ ɜ m			
1323-4				s̪ k ɜ r̪ m ɜ			
1127-4				tɕʰ ɜ r̪ ɸ ɜ			
1529-4				tɕʰ u			
1175-4				ɾ g ɜ m ɛ o			
383-4				p s̪ i l			
820-4				l̪ o k			
1636-4				l̪ u u			
1331-4				ɾ ɾ g			
1097-4				l ɜ m			
1223-4				gʲ ɜ ŋ ɑ			
592-4				m e			
1290-4				t̪ u t̪ ɜ̃ ɜ			
669-4				s̪ s̪ ɾ ɾ			
1472-4				s̪ t̪ ɑ q ɜ i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m ɛ n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				b r̪ ɜ s̪			
1119-4				ɑ l u			
365-4				s̪ ɛ r̪ m m			
1480-4				j u ŋ			
653-4				z̪ ʊ o k p ɜ			
1081-4				ts̪ o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɜ			
539-4				tθʰ ɪ l			
610-4				gʲ ɑ			
350-4				gʲ ɜ ŋ			
871-4				o ŋ ɑ			
734-4				ɾ g ɑ			
431-4				kʰ i			
1298-4				o x g ʊ l			
929-4				ts̪ ɑ ŋ k s̪			
1315-4				t̪ ɑ k s̪ k			
964-4				m i n̪ d ɜ			
836-4				m i			
1644-4				b u s̪			
547-4				ɑ t̪ ɜ			
1048-4				k ɜ k			
1692-4				pʰ o ŋ			
1306-4				b u			
405-4				b o ŋ			
294-4				p u u			
661-4				b o ŋ			
413-4				β ɜ q			
996-4				tθʰ ɜ n̪			
1012-4				t̪ r̪ o			
181-4				pʰ i r̪ o o			
1660-4				g u n̪ d u			
1440-4				d̪ i r̪ i ŋ			
1652-4				l o			
1037-4				s̪ i i ŋ m			
677-4				t̪ ɜ x m o			
1561-4				ɕ e r̪ ɸ ɑ			
447-4				s̪ k ɜ m e o			
828-4				ɾ i ŋ m o			
1247-4				tɕ ɜ t̪			
391-4				g ɜ x m o			
972-4				ȵ i m o ɾ			
531-4				t̪ʰ ɜ q p i ŋ			
253-4				tɕ o x o			
1282-4				ts̪ u n̪			
812-4				j ɑ ŋ m o			
245-4				t̪ʰ u r̪ u			
1609-4				k ɑ r̪ ɸ o			
261-4				n̪ ɑ q p o			
1143-4				m ɑ r̪ ɸ o			
709-5					g o o		
522-5					ʊ ɜ d o ŋ		
514-5					m ɪ k		
464-5					s̪ n̪ ɑ		
1020-5					s̪ n̪ ɜ m s̪ s̪ s̪  u		
1355-5					s̪ õ		
1464-5					l̪ t̪ i		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ ɜ ɑ		
205-5					p l̥ ɜ q p ɜ		
1089-5					l ɜ q p ɪ t̪		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ x s̪		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i		
269-5					kʰ ɜ q		
1512-5					x ɛ i n̪		
555-5					β ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ ɪ ŋ		
320-5					ɜ ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ ɽ o ŋ ɑ		
221-5					s̪ t̪ ɜ r̪ ʊ		
1199-5					t̪ʰ ɜ q p ɜ		
1424-5					s̪ k u t̪ ʊ ɜ		
904-5					l ɜ o t̪		
1273-5					x n̪ ɜ m		
1323-5					s̪ k ɜ r̪ m		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					tɕʰ u		
1175-5					ɾ gʲ ɛ m s̪ o		
383-5					p s̪		
820-5					l̪ o k		
1636-5					l̪ ɛ u		
1331-5					ʊ ɾ g ɑ ɑ		
1097-5					l ɜ m		
1223-5					β ɜ ŋ ɑ		
592-5					m ɛ		
1290-5					t̪ u t̪ p ɜ		
669-5					x s̪ ɛ ɾ		
1472-5					s̪ t̪ ɜ ɜ ɑ ʊ		
788-5					l o ŋ ɑ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɪ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b r̪ ɜ s̪		
1119-5					ɑ l u		
365-5					s̪ ȵ ɛ r̪ m ŋ		
1480-5					j u		
653-5					z̪ g o k e ɜ		
1081-5					ts̪ o ŋ		
1448-5					p ɑ ɜ ɜ n̪		
1029-5					m ɑ ɾ		
863-5					ɕ ɑ		
539-5					tθʰ ɪ l		
610-5					ɜ ɑ		
350-5					β ɜ ŋ o		
871-5					o ŋ ɑ		
734-5					ɾ g ɑ		
431-5					kʰ i		
1298-5					o ɜ ʊ ʊ		
929-5					ts̪ ɜ ŋ k i		
1315-5					t̪ ɜ x s̪		
964-5					m ɪ n̪ t̪ ɜ x		
836-5					m i		
1644-5					b u s̪ t̪ r̪ ɪ		
547-5					ɜ t̪ ɜ		
1048-5					k ɜ k ɜ		
1692-5					pʰ o n̪ o		
1306-5					b u		
405-5					b o ŋ o		
294-5					p l̥ u		
661-5					b o ŋ o		
413-5					ʑ ɜ q		
996-5					tθʰ ɜ n̪		
1012-5					t̪ r̪ o q ɜ		
181-5					pʰ i t̪ o		
1660-5					g u n̪ d o		
1440-5					d̪ ɪ r̪ i ŋ		
1652-5					l o		
1037-5					s̪ ȵ i ŋ m		
677-5					ɜ ɜ x m o		
1561-5					ɕ ɛ ɛ p ɑ		
447-5					s̪ k ɜ m o o		
828-5					ɾ i ŋ m o		
1247-5					tɕ ɜ t̪		
391-5					g ɜ x m o		
972-5					ȵ i m o ŋ		
531-5					t̪ʰ ɜ q r̪ ɪ ŋ		
253-5					tɕ o ɜ o		
1282-5					ts̪ u		
812-5					j ɑ ŋ m o		
245-5					t̪ʰ u r̪		
1609-5					k ɑ r̪ ɸ o		
261-5					n̪ ɑ q p o		
1143-5					m ɑ r̪ m o		
709-6						g o o	
522-6						ɾ ŋ d o ŋ	
514-6						m ɪ k	
464-6						s̪ n̪ ɑ	
1020-6						s̪ n̪ ɜ m s̪	
1355-6						s̪ o	
1464-6						l̪ tɕ u	
302-6						b r̪ ɜ ŋ	
237-6						l̪ t̪ r̪ ɑ	
205-6						p l̥ ɜ q p ɜ	
1089-6						l ɜ q p i l	
804-6						k ɜ ŋ m ɜ	
1263-6						b ɜ x s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						kʰ ɜ q	
1512-6						s̪ tɕ i n̪	
555-6						t̪ ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ ʊ o	
601-6						ɕ i ŋ	
320-6						z̪ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ ɽ o q ɜ	
221-6						s̪ t̪ ɜ r̪ e	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l z̪ o	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ p ɜ	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m ɪ o	
383-6						p s̪ i l	
820-6						l̪ o k	
1636-6						l̪ u ŋ ŋ	
1331-6						ɾ r̪ d̪ ɜ ɑ	
1097-6						l ɜ m	
1223-6						gʲ ɜ ŋ ɜ	
592-6						m ɛ	
1290-6						t̪ r̪ t̪ p ɜ	
669-6						s̪ s̪ ɾ	
1472-6						s̪ t̪ ɜ q ʑ i	
788-6						l o ŋ ɑ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɪ n̪ d o q	
844-6						ɑ m	
879-6						tɕʰ ɜ	
1151-6						b r̪ ɜ s̪	
1119-6						ɑ l l	
365-6						s̪ ȵ r̪ r̪ m ɜ	
1480-6						j u ŋ	
653-6						z̪ ʊ o k p ɜ	
1081-6						ts̪ o ŋ	
1448-6						p ɑ ɣ ɜ n̪	
1029-6						m ɑ ɾ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ l	
610-6						ɾ ɑ	
350-6						gʲ ɜ ŋ o	
871-6						o ŋ ɜ	
734-6						ɾ g ɑ	
431-6						kʰ i	
1298-6						o ŋ b	
929-6						ts̪ ɜ ŋ k i	
1315-6						t̪ ɜ k s̪ k ɜ n̪	
