COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o gʲ u o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪						
1355-1	s̪ o						
1464-1	l̪ ʈ ɜ						
302-1	b i ɜ ŋ						
237-1	l̪ t̪ r̪ ɑ						
205-1	p r̪ ɜ p p ɑ						
1089-1	l ɜ q s̪ i l						
804-1	k ɜ ŋ m ɑ						
1263-1	b ɜ x s̪						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ ɜ ɜ						
1512-1	x ʈ i n̪						
555-1	d̪ ɜ k p ɜ						
751-1	n̪ ɑ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	d̪ ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ q o						
221-1	s̪ u ɜ p e						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u k r̪						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ p m ɑ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m ɑ o						
383-1	p s̪ i s̪						
820-1	l̪ o k						
1636-1	l̪ ʈ n̪						
1331-1	ɾ ɾ r̪ ɑ ɑ						
1097-1	l ɜ m						
1223-1	d̪ ɜ ŋ ɑ						
592-1	m ɛ						
1290-1	t̪ u t̪ p ɑ						
669-1	s̪ u ɾ s̪						
1472-1	s̪ u ɜ tθ r̪ ʊ						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m i n̪ d o						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ i i m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	ts̪ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɑ						
539-1	tθʰ i l						
610-1	ɕ ɑ						
350-1	d̪ ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ gʲ ɑ						
431-1	kʰ i						
1298-1	o gʲ o p l						
929-1	ts̪ ɜ ŋ k						
1315-1	t̪ ɜ x s̪ k s̪ n̪						
964-1	m i n̪ t̪ ɜ n̪						
836-1	m i						
1644-1	b u u s̪						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɜ						
1692-1	pʰ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
709-2		g o o					
522-2		o o d o ŋ					
514-2		m i k					
464-2		s̪ n̪ ɑ					
1020-2		s̪ n̪ x m s̪					
1355-2		s̪ o					
1464-2		l̪ tɕ e					
302-2		b u ɜ ŋ					
237-2		l̪ t̪ ɜ ɑ					
205-2		p r̪ ɜ t̪ p					
1089-2		l ɜ q p i n̪					
804-2		k ɑ ŋ m ɑ					
1263-2		b ɜ x s̪ p					
286-2		ɾ u s̪ p ɑ					
717-2		s̪ n̪ i ŋ					
269-2		kʰ ɜ q					
1512-2		s̪ tɕ ɪ n̪					
555-2		l̪ ɜ k p ɑ					
751-2		n̪ ɜ ŋ					
439-2		z̪ ʊ o					
601-2		ɕ i ŋ					
320-2		s̪ ɜ x m ɑ					
1106-2		b u					
693-2		h ɜ r̪ o					
221-2		s̪ t̪ ɜ r̪ e					
1199-2		t̪ʰ ɜ q p ɑ					
1424-2		s̪ k u t̪ p ɜ					
904-2		l dð o					
1273-2		s̪ n̪ ɜ m					
1323-2		s̪ k ɜ r̪ m ɜ					
1127-2		tɕʰ ɜ r̪ p ɑ					
1529-2		tɕʰ u					
1175-2		ɾ gʲ ɜ m ɑ o					
383-2		p s̪					
820-2		l̪ o k					
1636-2		l̪ u ŋ					
1331-2		ʊ ɾ g ɑ ɑ					
1097-2		l ɜ m					
1223-2		s̪ ɜ ŋ ɑ					
592-2		m ɛ					
1290-2		tɕ u t̪ p ɑ					
669-2		s̪ s̪					
1472-2		s̪ t̪ ɜ					
788-2		l o ŋ ɑ					
1191-2		ɾ ɜ m p ɑ					
626-2		m ɛ n̪ d o q					
844-2		ɑ m					
879-2		tɕʰ ɑ					
1151-2		b u ɜ s̪					
1119-2		ɑ l u					
365-2		s̪ ȵ r̪ r̪ m ɜ					
1480-2		j u ŋ					
653-2		z̪ ʊ o k p ɜ					
1081-2		ts̪ o ŋ					
1448-2		p ɑ j ɜ n̪					
1029-2		m ɑ					
863-2		ɕ ɑ					
539-2		tθʰ i l					
610-2		b ɑ					
350-2		s̪ ɜ ŋ o					
871-2		o ŋ ɑ					
734-2		ɾ ɑ ɑ					
431-2		kʰ i					
1298-2		o ɣ b u p					
929-2		ts̪ ɜ ŋ k i					
1315-2		tɕ ɑ x s̪ k ɜ					
964-2		m i n̪ d ɜ x					
836-2		m i					
1644-2		b u s̪ t̪ o i					
547-2		ɑ t̪ ɜ					
1048-2		k ɜ k ɜ					
1692-2		pʰ o n̪ o					
1306-2		b u					
405-2		b o ŋ o					
709-3			g o g				
522-3			o ɣ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ r̪ ɑ				
205-3			p r̪ ɜ q				
1089-3			l ɜ q				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ k s̪				
286-3			ɾ u s̪				
717-3			s̪ n̪ i ŋ				
269-3			kʰ ɜ ɜ				
1512-3			x tɕ ɪ n̪				
555-3			ɕ ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ u o				
601-3			ɕ i ŋ				
320-3			ɕ ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ ɕ o				
221-3			s̪ t̪ ɜ ɕ e				
1199-3			t̪ʰ ɜ q p ɜ				
1424-3			s̪ k u t̪ r̪ ɜ				
904-3			l dð o t̪				
1273-3			s̪ m ɜ m				
1323-3			s̪ k ɜ ɕ m o				
1127-3			tɕʰ ɜ ɕ ɜ ɜ				
1529-3			tɕʰ u				
1175-3			ɾ ɜ ɜ m tθ o				
383-3			p s̪				
820-3			l̪ o k				
1636-3			l̪ l m				
1331-3			ʊ g r̪ ɑ				
1097-3			l ɜ m				
1223-3			ɕ ɜ ŋ ɑ				
592-3			m e				
1290-3			t̪ u t̪ p ɜ				
669-3			x s̪				
1472-3			s̪ t̪ ɜ q ʑ i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m ɪ n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b l ɜ s̪				
1119-3			ɜ l u				
365-3			s̪ ȵ r̪ r̪ ɜ				
1480-3			j u m				
653-3			z̪ u o k ɜ ɜ				
1081-3			ts̪ o ŋ				
1448-3			p ɑ j ɜ n̪				
1029-3			m ɑ ɾ				
863-3			ɕ ɜ				
539-3			tθʰ ɪ l				
610-3			ɕ ɑ				
350-3			ɕ ɜ ŋ o				
871-3			o ŋ o				
734-3			ɾ ĩ ɑ				
431-3			kʰ ɪ				
1298-3			o ɕ b u				
929-3			ts̪ ɜ ŋ k i				
1315-3			t̪ ɜ x s̪ k ɜ				
964-3			m ɪ n̪ t̪ ɜ				
836-3			m ɪ				
1644-3			b u s̪ t̪ r̪ u				
547-3			ɜ t̪ ɜ				
1048-3			k ɜ k ɜ				
1692-3			pʰ o n̪ o				
1306-3			b u				
405-3			b o ŋ o				
709-4				g o o			
522-4				o ɾ d o ŋ			
514-4				m i k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b r̪ ɜ ŋ			
237-4				l̪ t̪ r̪ ɑ			
205-4				p ɜ ɜ q p ɜ			
1089-4				l ɜ q p ɪ t̪			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɑ x s̪ p ɜ			
286-4				ɾ u s̪ p ɜ			
717-4				s̪ n̪ i ŋ			
269-4				kʰ ɪ q			
1512-4				xʲ tɕ ɪ n̪			
555-4				l̪ ɜ k p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ ʊ o			
601-4				ɕ i ŋ			
320-4				p ɜ x m ɜ			
1106-4				p u			
693-4				h ɜ t̪ o k ɜ			
221-4				s̪ t̪ ɜ r̪ e			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ k u t̪ r̪ ɜ			
904-4				l dð o t̪			
1273-4				s̪ n̪ ɜ m			
1323-4				s̪ k ɜ r̪ m ɜ			
1127-4				tɕʰ ɜ r̪ ɸ ɜ			
1529-4				tɕʰ u			
1175-4				ɾ gʲ ɜ m o o			
383-4				p s̪			
820-4				l̪ o k			
1636-4				l̪ u ŋ			
1331-4				ɾ ɾ g ɜ ɑ			
1097-4				l ɜ m			
1223-4				k ɜ ŋ ɑ			
592-4				m e			
1290-4				t̪ r̪ t̪ p ɜ			
669-4				s̪ s̪ ɾ ɾ			
1472-4				s̪ t̪ ɜ q e i			
788-4				l o ŋ ɑ			
1191-4				ɾ ɜ m p ɜ			
626-4				m ɛ n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				b r̪ ɜ s̪			
1119-4				ɑ l u			
365-4				s̪ ȵ i m m ɜ			
1480-4				j u ŋ			
653-4				z̪ ʊ o k p ɜ			
1081-4				ts̪ o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m ɑ ɾ			
863-4				ɕ ɑ			
539-4				tθʰ i l			
610-4				k ɑ			
350-4				kʰ ɜ ŋ o			
871-4				o ŋ ɑ			
734-4				ɾ ɑ ɑ			
431-4				kʰ i			
1298-4				o ɣ g u l			
929-4				ts̪ ɑ ŋ k i			
1315-4				t̪ ɑ k s̪ k ɜ			
964-4				m i n̪ t̪ ɜ			
836-4				m i			
1644-4				b u s̪ t̪ r̪ i			
547-4				ɑ t̪ ɜ			
1048-4				k ɜ k ɜ			
1692-4				f o n̪ o			
1306-4				p u			
405-4				b o ŋ o			
709-5					g o o		
522-5					o ɜ d o ŋ		
514-5					m ɪ k		
464-5					s̪ n̪ ɣ		
1020-5					s̪ n̪ ɜ m		
1355-5					s̪ o		
1464-5					l̪ t̪ o		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ ɜ ɑ		
205-5					p l̥ ɜ q p ɜ		
1089-5					l ɜ q p i l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ k s̪ ɑ ɜ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ ŋ ŋ		
269-5					kʰ ɜ q		
1512-5					x ɕ i n̪		
555-5					l̪ ɜ k p ɜ		
751-5					n̪ ɑ ŋ		
439-5					z̪ ʊ o		
601-5					ɕ ɪ ŋ		
320-5					p ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ x o		
221-5					s̪ t̪ ɜ r̪ ɸ		
1199-5					t̪ʰ ɜ q p ɜ		
1424-5					s̪ k u t̪ ʊ ɜ		
904-5					l ɑ o t̪		
1273-5					x n̪ ɜ m		
1323-5					s̪ k ɜ r̪ m ɜ		
1127-5					tɕʰ ɜ r̪ ɸ ɜ		
1529-5					tɕʰ u		
1175-5					ɾ ɑ ɛ m o o		
383-5					p s̪ ɪ l		
820-5					l̪ o k		
1636-5					x s̪ u		
1331-5					ʊ ɾ g ɑ ɑ		
1097-5					l ɜ m		
1223-5					p ɜ ŋ ɜ		
592-5					m ɛ		
1290-5					t̪ u t̪ r̪ ɜ		
669-5					x s̪ ɛ		
1472-5					s̪ t̪ ɜ m ʑ i		
788-5					l o ŋ ɜ		
1191-5					ɾ ɜ m p ɜ		
626-5					m ɪ n̪ d o		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					b r̪ ɜ s̪		
1119-5					ɑ l u		
365-5					s̪ i ɛ ɸ ɜ		
1480-5					j u ŋ		
653-5					z̪ ɛ o k s̪ ɜ		
1081-5					ts̪ o ŋ		
1448-5					p ɑ ɣ ɜ n̪		
1029-5					m ɑ ɾ		
863-5					ɕ ɑ		
539-5					tθʰ ɪ l		
610-5					p ɑ		
350-5					n̪ ɜ ŋ o		
871-5					o ŋ ɜ		
734-5					ɾ ɑ ɑ		
431-5					kʰ i		
1298-5					o ɾ r̪ l l		
929-5					ts̪ ɑ ŋ k i		
1315-5					t̪ ɑ k s̪ k s̪		
964-5					m ɪ n̪ t̪ ɜ		
836-5					m ɪ		
1644-5					b u s̪ t̪ r̪ i		
547-5					ɜ t̪ ɜ		
1048-5					k ɜ k ɜ		
1692-5					pʰ o n̪ o		
1306-5					b u		
405-5					b o ŋ o		
709-6						g o o	
522-6						ɾ ɣ d o ŋ	
514-6						m ɪ k	
464-6						s̪ n̪ ɜ	
1020-6						s̪ n̪ ɜ m s̪	
1355-6						s̪ o	
1464-6						l̪ tɕ tɕ	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ r̪ ɑ	
205-6						p l̥ ɜ q p ɜ	
1089-6						l ɜ q r̪ ɪ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ x s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						kʰ ɜ q	
1512-6						x ɕ i n̪	
555-6						l̪ ɜ k s̪ ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ ʊ o	
601-6						ɕ i ŋ	
320-6						ȵ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ t̪ o ŋ ɜ	
221-6						s̪ t̪ ɜ r̪ ɸ	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ k u t̪ p ɜ	
904-6						l o o t̪	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ k ɜ r̪ ɸ ɜ	
1127-6						tɕʰ ɜ r̪ ɸ ɜ	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m õ o	
383-6						p s̪ ɪ l	
820-6						l̪ o k	
1636-6						l̪ u ŋ ŋ	
1331-6						ɾ ɾ d̪ ɜ ɑ	
1097-6						l ɜ m	
1223-6						gʲ ɜ ŋ ɜ	
592-6						m ɛ	
1290-6						t̪ r̪ t̪ r̪ ɜ	
669-6						s̪ s̪ t̪ ɾ	
1472-6						s̪ t̪ ɜ q ʑ i	
788-6						l o ŋ ɜ	
1191-6						ɾ ɜ m p ɜ	
626-6						m ɪ n̪ d o q	
844-6						ɑ m	
879-6						tɕʰ ɜ	
1151-6						b r̪ ɜ s̪	
1119-6						ɑ l u	
365-6						s̪ ȵ ɛ r̪ ɸ ɜ	
1480-6						j u ŋ	
653-6						z̪ ʊ o k p ɜ	
1081-6						ts̪ o ŋ	
1448-6						p ɑ ɣ ɜ n̪	
1029-6						m ɑ ɾ	
863-6						ɕ ɛ	
539-6						tθʰ ɪ l	
610-6						p ɑ	
350-6						ɾ ɜ ŋ o	
871-6						o ŋ ɜ	
734-6						ɾ ɑ ɑ	
431-6						kʰ i	
1298-6						o ɣ b ɜ l	
929-6						ts̪ ɜ ŋ k i	
1315-6						t̪ ɜ k s̪ k ɜ n̪	
964-6						m ɪ n̪ t̪ ɜ x	
836-6						m ɪ	
1644-6						b u s̪	
547-6						ɜ t̪ ɜ	
1048-6						k ɜ k ɑ	
1692-6						pʰ o n̪ o	
1306-6						b u	
405-6						b o ŋ o	
709-7							g o q
522-7							o ɾ d o ŋ
514-7							m o k
464-7							s̪ n̪ ɑ
1020-7							s̪ n̪ ɜ m s̪
1355-7							s̪ o
1464-7							l̪ t̪ ɜ
302-7							b r̪ ɜ ŋ
237-7							l̪ t̪ ɑ̃ ɑ
205-7							p r̪ ɜ p ɑ ɑ
1089-7							l ɜ q p i ɜ
804-7							k ɑ ŋ m ɑ
1263-7							b ɑ x s̪ ɑ ɑ
286-7							ɾ u s̪ p ɑ
717-7							s̪ n̪ i ŋ
269-7							kʰ ɑ ɜ
1512-7							ɕ tɕ i
555-7							s̪ ɑ k p ɑ
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							ɕ i ŋ
320-7							s̪ ɑ x m m
1106-7							pʰ u
693-7							h ɑ x o
221-7							s̪ t̪ ɜ r̪ i
1199-7							t̪ʰ ɑ q p ɑ
1424-7							s̪ k u k s̪ ɜ
904-7							l dð o t̪
1273-7							s̪ n̪ ɜ m
1323-7							s̪ k ɜ r̪ m ɜ
1127-7							tɕʰ ɜ r̪ p ɑ
1529-7							tɕʰ u
1175-7							ɾ gʲ ɛ m ɑ o
383-7							pʰ s̪ i l
820-7							l̪ o k
1636-7							l̪ t̪ k
1331-7							ʊ ɾ d ɑ ɑ
1097-7							l ɜ m
1223-7							s̪ ɑ ŋ ɑ
592-7							m ɑ r̪
1290-7							ʈ u k p ɑ
669-7							ɕ s̪ r̪ g
1472-7							s̪ t̪ ɜ q s̪ i
788-7							l o ŋ ɑ
1191-7							ɾ ɜ m p ɑ
626-7							m o n̪ d o q
844-7							ɑ m
879-7							tɕʰ ɑ
1151-7							b r̪ ɜ s̪
1119-7							ɑ r̪ u
365-7							s̪ i r̪ p m
1480-7							j u ŋ
653-7							z̪ g o k s̪ o
1081-7							ts̪ o ŋ
1448-7							pʰ ɑ q ɜ n̪
1029-7							m ɑ ɾ
863-7							ɕ ɑ
539-7							tθʰ i l
610-7							pʰ ɑ
350-7							s̪ ɜ ŋ o
871-7							o ŋ ɑ
734-7							ɾ gʲ ɑ
431-7							kʰ i
1298-7							o g b o o
929-7							ts̪ ɜ ŋ k i
1315-7							ʈ ɑ k s̪ k
964-7							m i n̪ d ɜ
836-7							m i
1644-7							b u s̪
547-7							ɑ t̪ ɜ
1048-7							k ɜ k ɜ
1692-7							pʰ õ n̪ o
1306-7							pʰ u u
405-7							b o ŋ o
