COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t o ¹¹							
33-1	t o ¹¹							
46-1	p l e ¹¹							
126-1	s e ³³							
114-1	b e ¹¹							
149-1	p l e ¹¹							
171-1	tʰ ɛ ³³							
191-1	w e ¹¹							
203-1	n a ³³							
224-1	l e ¹¹							
275-1	kʰ e ¹¹							
302-1	ʔ u ³³							
315-1	tʰ ɛ ⁵⁵							
394-1	n ɛ ⁵⁵							
431-1	pʰ e ³³							
444-1	p e ³³							
445-1	n ɛ ¹¹							
514-1	s ə ³³							
555-1	kʰ r i i							
579-1	cʰ ɛ ³³							
603-1	kʰ e ¹¹							
737-1	l u ¹¹							
763-1	cʰ ɨ ¹¹							
870-1	kʰ ə ⁵⁵							
918-1	ʔ o ³³							
979-1	l e ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m e ¹¹							
1053-1	l w i ¹¹							
1065-1	m e ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ a ¹¹							
1129-1	n ɛ ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p a ⁵⁵							
1277-1	t a ³³							
1290-1	b o ¹¹							
1301-1	cʰ ɨ ¹¹							
1337-1	m o ¹¹							
1323-1	m o ¹¹							
1350-1	m a ¹¹							
1372-1	j a ¹¹							
1498-1	d a ¹¹							
1664-1	l a ¹¹							
1652-1	ʔ u ¹¹							
1687-1	s e ³³							
1708-1	s u ¹¹							
1732-1	t u ¹¹							
1742-1	n o ¹¹							
1755-1	pʰ r ɔ ³³							
1767-1	s ə ³³							
1786-1	j e ¹¹							
1803-1	w e ¹¹							
1815-1	cʰ e ³³							
1840-1	pʰ r i ⁵⁵							
1853-1	tʰ e ³³							
1866-1	s e ³³							
1894-1	l e ¹¹							
1934-1	c w ¹¹							
1947-1	kʰ ɛ ¹¹							
1993-1	pʰ r i ¹¹							
2059-1	ʔ o ¹¹							
2098-1	j a ³³							
2086-1	tʰ u ³³							
2153-1	s ɨ ¹¹							
2180-1	l ɔ ¹¹							
2205-1	kʰ r ɔ ⁵⁵							
2328-1	l e ¹¹							
2349-1	j u ¹¹							
2372-1	m i ¹¹							
2388-1	m i ¹¹							
2413-1	d a ³³							
2637-1	p l ɔ ¹¹							
2649-1	c u ¹¹							
2693-1	p o ¹¹							
2755-1	s ɛ ⁵⁵							
2858-1	m i ¹¹							
2953-1	cʰ e ³³							
2986-1	cʰ e ³³							
3034-1	kʰ ɛ ⁵⁵							
3088-1	p l a ³³							
3113-1	p l a ³³							
3154-1	r o ¹¹							
3179-1	cʰ ɛ ¹¹							
3246-1	d ɛ ³³							
3259-1	c w i ¹¹							
3282-1	tʰ ɔ ¹¹							
3295-1	cʰ e ¹¹							
3338-1	l ɔ ¹¹							
3351-1	p l ə ¹¹							
3375-1	m o ¹¹							
