COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t ɔ ¹¹							
46-1	p l e ¹¹							
126-1	s e ¹¹							
114-1	b e ¹¹							
149-1	p l e ¹¹							
171-1	tʰ e ³³							
191-1	w e ¹¹							
203-1	n i ³³							
224-1	l e ³³							
275-1	kʰ ɛ ¹¹							
302-1	ʔ u ³³							
315-1	tʰ ɛ ⁵⁵							
394-1	n ɔ ⁵⁵							
431-1	pʰ e ⁵⁵							
444-1	p e ⁵⁵							
445-1	n e ¹¹							
514-1	s i ⁵⁵							
555-1	kʰ w i ¹¹							
579-1	cʰ e ³³							
603-1	kʰ ɛ ¹¹							
737-1	l u ¹¹							
763-1	cʰ e ¹¹							
870-1	kʰ i ⁵⁵							
918-1	ʔ o ¹¹							
979-1	l e ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m e ¹¹							
1053-1	l w i ¹¹							
1065-1	m e ¹¹							
1091-1	m ɔ ¹¹							
1116-1	ʔ a ¹¹							
1129-1	n e ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ e ³³							
1255-1	p i ⁵⁵							
1277-1	t a ⁵⁵							
21-2		t əɨ ¹¹						
33-2		t əɨ ¹¹						
46-2		p l a ¹¹						
126-2		θ a ʔ						
114-2		b a ŋ						
149-2		p l a ¹¹						
171-2		tʰ a ŋ						
191-2		k w a ʔ						
203-2		n ai ⁵³						
224-2		l a ʔ ²¹						
275-2		kʰ a ŋ ⁴⁵						
302-2		ʔ u ⁵³						
315-2		tʰ au ʔ ⁴⁵						
394-2		n əu ¹¹						
431-2		pʰ a ʔ ²¹						
444-2		p a ʔ ²¹						
445-2		n a ¹¹						
514-2		θ ɨ ʔ						
555-2		kʰ w i ʔ						
579-2		cʰ a ⁵³						
603-2		kʰ a ŋ ⁴⁵						
737-2		l u ¹¹						
763-2		cʰ w ɛ ¹¹						
870-2		kʰ i ʔ ⁴⁵						
918-2		ʔ ə ⁵³						
979-2		l a ŋ						
1013-2		m a ¹¹						
1040-2		tʰ w i ¹¹						
1027-2		m a ¹¹						
1053-2		l w i ¹¹						
1065-2		m a ŋ ¹¹						
1091-2		m ɨ ¹¹						
1116-2		ʔ i ¹¹						
1129-2		n a ¹¹						
1173-2		d ai ¹¹						
1207-2		cʰ a ŋ						
1255-2		p i ʔ ²¹						
1277-2		t a ʔ						
21-3			t ə ¹¹					
33-3			t ə ¹¹					
46-3			p l a ¹¹					
126-3			s ɔ ⁵⁵					
114-3			b ɔ ¹¹					
149-3			p l a ¹¹					
171-3			tʰ ɔ ⁵⁵					
191-3			w a ¹¹					
203-3			n i ⁵⁵					
224-3			l a ³³					
275-3			kʰ a ¹¹					
302-3			ʔ u ¹¹					
315-3			tʰ ə ³³					
394-3			n o ³³					
431-3			p a ³³					
444-3			p ɔ ³³					
445-3			n a ¹¹					
514-3			s i ³³					
555-3			kʰ w i ¹¹					
579-3			cʰ ɔ ⁵⁵					
603-3			kʰ a ¹¹					
737-3			l u ¹¹					
763-3			cʰ u ¹¹					
870-3			kʰ i ³³					
918-3			ʔ o ¹¹					
979-3			l a ¹¹					
1013-3			m a ¹¹					
1040-3			tʰ i ¹¹					
1027-3			m a ¹¹					
1053-3			l i ¹¹					
1065-3			m ɔ ¹¹					
1091-3			m ɨ ¹¹					
1116-3			ʔ i ¹¹					
1129-3			n a ¹¹					
1173-3			d i ¹¹					
1207-3			cʰ ɔ ⁵⁵					
1255-3			p i ³³					
1277-3			t ɔ ³³					
21-4				tʰ o ŋ ⁵³				
33-4				tʰ o ⁵⁵				
46-4				pʰ l a ⁵³				
126-4				s a ɦ ³¹				
114-4				b a ŋ ⁵⁵				
149-4				pʰ l a ⁵³				
171-4				tʰ a ŋ ɦ ³¹				
191-4				w a ³³				
203-4				n e ɦ ³¹				
224-4				l a ʔ ⁴⁵				
275-4				kʰ a ⁵⁵				
302-4				ʔ o ɦ ³¹				
315-4				tʰ o ʔ ²¹				
394-4				n o ʔ ²¹				
431-4				pʰ a ʔ ²¹				
444-4				pʰ a ʔ ²¹				
445-4				n a ⁵⁵				
514-4				s i ⁵⁵				
555-4				kʰ w i ⁵⁵				
579-4				cʰ a a ³¹				
603-4				kʰ a ⁵⁵				
737-4				l u ⁵⁵				
763-4				cʰ a t ²¹				
870-4				kʰ i ʔ ²¹				
918-4				ʔ o ŋ ɦ ³¹				
979-4				l a ŋ				
1013-4				m a ⁵³				
1040-4				tʰ w i ⁵⁵				
1027-4				m a ⁵³				
1053-4				l w i ⁵⁵				
1065-4				m a ŋ				
1091-4				m ɨ n				
1116-4				ʔ e ⁵⁵				
1129-4				n a ⁵⁵				
1173-4				d e ⁵⁵				
1207-4				cʰ a ŋ ɦ ³¹				
1255-4				pʰ i ʔ ²¹				
1277-4				tʰ a ʔ ⁴⁵				
21-5					tʰ ɑ̃ ⁵⁵			
33-5					tʰ ɑ̃ ³³			
46-5					pʰ l a ⁵⁵			
126-5					s a ³³			
114-5					b a ³³			
149-5					pʰ l a ⁵⁵			
171-5					tʰ a ʔ			
191-5					w a ⁵⁵			
203-5					n i ³⁵			
224-5					l a ʔ ²¹			
275-5					kʰ ɛ̃ ³³			
302-5					ʔ u ³³			
315-5					tʰ au ʔ ⁴⁵			
394-5					n ãu ³³			
431-5					pʰ a ʔ ⁴⁵			
444-5					pʰ a ʔ ²¹			
445-5					n a ³³			
514-5					s ei ³³			
555-5					kʰ w i ³⁵			
579-5					cʰ a ³⁵			
603-5					kʰ ɛ̃ ³³			
737-5					l u ɦ ¹¹			
763-5					cʰ a ³³			
870-5					kʰ ei ³³			
918-5					ʔ ãi ³³			
979-5					l a ⁵⁵			
1013-5					m a ³³			
1040-5					tʰ w i ³³			
