COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t ɔ ¹¹							
46-1	pʰ l e ³³							
126-1	s e ³³							
114-1	b ɛ ¹¹							
149-1	p l e ³³							
171-1	tʰ e ³³							
191-1	k e ¹¹							
203-1	n a ³³							
224-1	l e ³³							
275-1	kʰ ɛ ¹¹							
302-1	ʔ u ¹¹							
315-1	tʰ ɔ ⁵⁵							
394-1	n o ¹¹							
431-1	pʰ ɛ ³³							
444-1	p ɛ ⁵⁵							
445-1	n ɛ ¹¹							
514-1	s i ¹¹							
555-1	kʰ r i ⁵⁵							
579-1	cʰ ɛ ³³							
603-1	kʰ ɛ ¹¹							
737-1	l u ¹¹							
763-1	cʰ ɨ ³³							
870-1	kʰ i ⁵⁵							
918-1	ʔ o ³³							
979-1	l ɛ ¹¹							
1013-1	m ɛ ¹¹							
1040-1	tʰ w i ⁵⁵							
1027-1	m ɛ ³³							
1053-1	l ɨ ¹¹							
1065-1	m ɛ ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ a ¹¹							
1129-1	n ɛ ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p a ¹¹							
1277-1	t a ¹¹							
1290-1	b o ¹¹							
1301-1	cʰ ɨ ¹¹							
1337-1	m o ¹¹							
1323-1	m u ¹¹							
1350-1	m a ¹¹							
1372-1	j a ¹¹							
1498-1	d a ¹¹							
1664-1	l a ¹¹							
1652-1	ʔ o ¹¹							
1687-1	s e ³³							
1708-1	s u ¹¹							
1732-1	t u ¹¹							
1742-1	n o ¹¹							
1755-1	pʰ r ɔ ⁵⁵							
1767-1	s i ³³							
1786-1	j a ¹¹							
1803-1	r e ³³							
1815-1	cʰ ɛ ³³							
1840-1	p r ¹¹							
1853-1	tʰ e ³³							
1866-1	s e ³³							
1894-1	l e ¹¹							
1934-1	c a ¹¹							
1947-1	kʰ ɛ ¹¹							
1993-1	pʰ r i ⁵⁵							
2059-1	ʔ o ¹¹							
2098-1	j a ¹¹							
2086-1	tʰ u ¹¹							
2153-1	s u ¹¹							
2180-1	l o ¹¹							
2205-1	kʰ r ɔ ⁵⁵							
2328-1	l e ³³							
2349-1	j u ¹¹							
2372-1	m ə ¹¹							
2388-1	m ə ¹¹							
2413-1	d a ³³							
2637-1	p l ɔ ¹¹							
2649-1	c u ¹¹							
2693-1	p o ³³							
2755-1	s u ¹¹							
2858-1	m ə ³³							
2953-1	cʰ e ³³							
2986-1	cʰ ɛ ³³							
3034-1	kʰ ɛ ⁵⁵							
3088-1	p l a ³³							
3113-1	p l i ⁵⁵							
3154-1	r u ¹¹							
3179-1	cʰ ɛ ¹¹							
3246-1	d ɛ ³³							
3259-1	c i ¹¹							
3282-1	tʰ ɔ ¹¹							
3295-1	cʰ ɛ ¹¹							
3338-1	l o ¹¹							
3351-1	p l i							
3375-1	m o ¹¹							
3410-1	j a ¹¹							
3423-1	m a ¹¹							
3445-1	cʰ ə ³³							
3485-1	p ə ¹¹							
3500-1	p l ɔ ¹¹							
3545-1	t u ¹¹							
3557-1	s ɔ ¹¹							
3581-1	c w i							
3594-1	kʰ i ³³							
3618-1	s u ¹¹							
3654-1	p l i							
3667-1	t a ¹¹							
3680-1	kʰ l i ⁵⁵							
3763-1	p u ¹¹							
3850-1	pʰ l e ³³							
3878-1	tʰ i ³³							
3903-1	tʰ i ³³							
3938-1	c w ¹¹							
3963-1	l a ¹¹							
3977-1	m ɛ ³³							
1464-1	l i ³³							
10-1	l u ¹¹							
59-1	tʰ e ³³							
91-1	r e ¹¹							
288-1	s u ¹¹							
316-1	m ə ¹¹							
336-1	kʰ l i ⁵⁵							
371-1	cʰ r ¹¹							
383-1	s i ¹¹							
408-1	pʰ a ³³							
469-1	pʰ r ¹¹							
567-1	s u ¹¹							
592-1	j a ¹¹							
646-1	s i ¹¹							
666-1	b ɛ ¹¹							
696-1	pʰ r ¹¹							
634-1	pʰ l ɔ ¹¹							
725-1	kʰ r i ⁵⁵							
750-1	kʰ u ¹¹							
823-1	kʰ l i ⁵⁵							
835-1	ʔ u ¹¹							
894-1	n ə ¹¹							
930-1	j a ¹¹							
942-1	kʰ ə ³³							
969-1	ʔ o ³³							
1160-1	ʔ ɛ ¹¹							
1314-1	k ɔ ⁵⁵							
1363-1	t e ³³							
1385-1	r ɔ ⁵⁵							
1530-1	b o ³³							
1539-1	ʔ a ³³							
1565-1	l i ¹¹							
1599-1	l e ¹¹							
1612-1	l u ¹¹							
1632-1	tʰ u ¹¹							
1643-1	k l ɔ ¹¹							
1676-1	k l ɔ ⁵⁵							
1700-1	tʰ ɔ ¹¹							
1829-1	c e ³³							
1878-1	l i ¹¹							
1907-1	s e ³³							
2025-1	t ɔ ¹¹							
2072-1	s u ¹¹							
2111-1	p ɔ ¹¹							
2193-1	pʰ e ³³							
2219-1	kʰ u ⁵⁵							
2230-1	ʔ ɛ ³³							
2255-1	r i ³³							
2279-1	r i ³³							
2320-1	j u ¹¹							
2341-1	m ɔ ¹¹							
2401-1	ʔ a ¹¹							
2442-1	s e ³³							
2468-1	n a ¹¹							
2480-1	pʰ r ¹¹							
2531-1	p u ¹¹							
2559-1	k i ¹¹							
2590-1	p o ¹¹							
2604-1	tʰ a ¹¹							
2662-1	tʰ u ¹¹							
2673-1	s u ¹¹							
2825-1	b o ³³							
2846-1	tʰ w ɛ							
2881-1	r w i							
2893-1	s e ³³							
2910-1	s e ¹¹							
2922-1	cʰ ɨ ³³							
3047-1	pʰ o ¹¹							
3059-1	p l a ³³							
3167-1	m ɛ ¹¹							
21-2		t ə ¹¹						
33-2		t ə ¹¹						
46-2		b l a ŋ ⁵³						
126-2		θ a ¹¹						
114-2		b a ŋ						
