index	index_p	rindex	rindex_p	cogid	id_dutch	segment_dutch	segment_dutch_L1	segment_dutch_L2	segment_dutch_L3	segment_dutch_R1	segment_dutch_R2	segment_dutch_R3	SC_dutch	SC_dutch_L1	SC_dutch_L2	SC_dutch_L3	SC_dutch_R1	SC_dutch_R2	SC_dutch_R3	PROSODY_dutch	PROSODY_dutch_L1	PROSODY_dutch_L2	PROSODY_dutch_L3	PROSODY_dutch_R1	PROSODY_dutch_R2	PROSODY_dutch_R3	id_english	segment_english	segment_english_L1	segment_english_L2	segment_english_L3	segment_english_R1	segment_english_R2	segment_english_R3	SC_english	SC_english_L1	SC_english_L2	SC_english_L3	SC_english_R1	SC_english_R2	SC_english_R3	PROSODY_english	PROSODY_english_L1	PROSODY_english_L2	PROSODY_english_L3	PROSODY_english_R1	PROSODY_english_R2	PROSODY_english_R3	id_french	segment_french	segment_french_L1	segment_french_L2	segment_french_L3	segment_french_R1	segment_french_R2	segment_french_R3	SC_french	SC_french_L1	SC_french_L2	SC_french_L3	SC_french_R1	SC_french_R2	SC_french_R3	PROSODY_french	PROSODY_french_L1	PROSODY_french_L2	PROSODY_french_L3	PROSODY_french_R1	PROSODY_french_R2	PROSODY_french_R3	id_german	segment_german	segment_german_L1	segment_german_L2	segment_german_L3	segment_german_R1	segment_german_R2	segment_german_R3	SC_german	SC_german_L1	SC_german_L2	SC_german_L3	SC_german_R1	SC_german_R2	SC_german_R3	PROSODY_german	PROSODY_german_L1	PROSODY_german_L2	PROSODY_german_L3	PROSODY_german_R1	PROSODY_german_R2	PROSODY_german_R3
1	0.2500	4	1.0000	-2290	1	s	∅	∅	∅	t	ɔ	f	S	∅	∅	∅	T	U	B	3	∅	∅	∅	1	7	3																																													2	ʃ	∅	∅	∅	t	ɔ	f	S	∅	∅	∅	T	U	B	3	∅	∅	∅	1	7	3
2	0.5000	3	0.7500	-2290	1	t	s	∅	∅	ɔ	f	∅	T	S	∅	∅	U	B	∅	1	3	∅	∅	7	3	∅																																													2	t	ʃ	∅	∅	ɔ	f	∅	T	S	∅	∅	U	B	∅	1	3	∅	∅	7	3	∅
3	0.7500	2	0.5000	-2290	1	ɔ	t	s	∅	f	∅	∅	U	T	S	∅	B	∅	∅	7	1	3	∅	3	∅	∅																																													2	ɔ	t	ʃ	∅	f	∅	∅	U	T	S	∅	B	∅	∅	7	1	3	∅	3	∅	∅
4	1.0000	1	0.2500	-2290	1	f	ɔ	t	s	∅	∅	∅	B	U	T	S	∅	∅	∅	3	7	1	3	∅	∅	∅																																													2	f	ɔ	t	ʃ	∅	∅	∅	B	U	T	S	∅	∅	∅	3	7	1	3	∅	∅	∅
1	0.2000	5	1.0000	-2270	3	r	∅	∅	∅	ɛ	s	t	R	∅	∅	∅	E	S	T	5	∅	∅	∅	7	3	1																																													4	r	∅	∅	∅	ɛ	s	t	R	∅	∅	∅	E	S	T	5	∅	∅	∅	7	3	1
2	0.4000	4	0.8000	-2270	3	ɛ	r	∅	∅	s	t	ə	E	R	∅	∅	S	T	E	7	5	∅	∅	3	1	7																																													4	ɛ	r	∅	∅	s	t	-	E	R	∅	∅	S	T	_	7	5	∅	∅	3	1	0
3	0.6000	3	0.6000	-2270	3	s	ɛ	r	∅	t	ə	∅	S	E	R	∅	T	E	∅	3	7	5	∅	1	7	∅																																													4	s	ɛ	r	∅	t	-	∅	S	E	R	∅	T	_	∅	3	7	5	∅	1	0	∅
4	0.8000	2	0.4000	-2270	3	t	s	ɛ	r	ə	∅	∅	T	S	E	R	E	∅	∅	1	3	7	5	7	∅	∅																																													4	t	s	ɛ	r	-	∅	∅	T	S	E	R	_	∅	∅	1	3	7	5	0	∅	∅
5	1.0000	1	0.2000	-2270	3	ə	t	s	ɛ	∅	∅	∅	E	T	S	E	∅	∅	∅	7	1	3	7	∅	∅	∅																																													4	-	t	s	ɛ	∅	∅	∅	_	T	S	E	∅	∅	∅	0	1	3	7	∅	∅	∅
1	0.1111	9	1.0000	-2104	5	m	∅	∅	∅	ɛ	s	t	M	∅	∅	∅	E	S	T	4	∅	∅	∅	7	3	1	6	p	∅	∅	∅	ɪ	-	tʃ	P	∅	∅	∅	I	_	T	1	∅	∅	∅	7	0	1																																												
