COGID	1	10	2	3	4	5	6	7	8	9
2689-1	i a ɛ a									
893-1	a t ɛ d z ʊ̀									
1285-1	n w a									
1303-1	n d ɔ m a									
2197-1	w z ɛ l a									
2828-1	ʃ i ɛ a									
3572-1	ʃ a ɛ i									
1095-1	l i m a									
1755-1	i w ɛ									
1789-1	k a a i a ŋ g a									
3207-1	z ɛ l a									
3519-1	t ɛ ɛ a									
3686-1	i i m t a									
4249-1	z w m i									
4451-1	β i s i									
448-1	ɛ ɛ a a a a									
630-1	β ɛ ɛ l ɛ									
814-1	n ɔ ɛ ŋ b ɛ									
1216-1	g a a i u a									
1228-1	z w a i									
1418-1	a i ɛ a á a a									
1475-1	g w a									
2026-1	t w ɛ i									
2775-1	w u u m t a									
3397-1	z i l a									
3826-1	z ɔ k a									
4003-1	i n n a									
4040-1	i ɛ ɛ i									
4373-1	l i a i									
4384-1	i ŋʰ ɔ									
84-1	ʃ a g u l u									
116-1	ʃ i s a									
181-1	w ɔ ɛ ŋ b ɔ									
419-1	i g a									
587-1	ɔ a ŋ a ɔ									
660-1	a ɛ a a									
848-1	d a i a									
1083-1	l i l a									
1122-1	β i u a									
1159-1	w a									
1350-1	a w a i									
1374-1	n n a a n ɛ									
1396-1	ʃ ɔ ɛ ʊ									
1430-1	i i s ʊ̀									
1666-1	t i á ŋ ʊ̀									
1767-1	k i k ʊ̀									
1906-1	i ŋ g i l a									
2177-1	a g a i									
2286-1	l a									
2317-1	ɛ ɛ t a									
2419-1	ʃ ɛ k									
2750-1	ɛ ɛ z i									
3018-1	ʃ i l a									
3275-1	k ɛ j n a									
3441-1	s a a ŋ g a									
3464-1	ʃ ɔ u a									
3639-1	d ɛ t ɛ m a l a									
3885-1	ɛ u m ɔ									
3981-1	ɛ i ɛ a a a									
4192-1	a i a a d a									
4260-1	z w a i									
4350-1	l ɛ ɛ l d ɔ									
43-1	i ɔ a a									
93-1	f ɔ n ɔ									
200-1	β i g									
374-1	k a a l a a a									
459-1	l u m a									
508-1	i ɛ a ɛ									
528-1	i i l i									
575-1	t a i									
871-1	u a i a									
2689-2		l i m a								
893-2		a a i d k a								
1303-2		o k o m a								
2197-2		w g e l a								
2828-2		w i n a								
3572-2		s o n i								
1095-2		l i l a								
1789-2		g a i a a ŋ g a								
3207-2		v u l a								
3519-2		l u l a								
3686-2		l i i g a								
4249-2		k u l i								
4451-2		v i s i								
448-2		l u g a l i								
630-2		v e e l e								
814-2		ɲ oː o m b e								
1216-2		g a l i g a								
1228-2		w a								
1418-2		s i a a a l a								
1475-2		w a								
2026-2		t w e								
3826-2		l o k a								
4003-2		v i o v a								
4373-2		l i l e								
4384-2		i l o								
84-2		p a k u l u								
116-2		v i k a								
419-2		l o g a								
587-2		o o i g o								
660-2		oː e l a								
848-2		k e l a								
1122-2		w i m a								
1159-2		w a								
1350-2		l u a								
1374-2		n d a a n a								
1906-2		iː o g i l a								
2419-2		s i k a								
2750-2		o o s i								
3441-2		s e e i g a								
3464-2		w o n a								
3639-2		t a l e a e b a								
3981-2		a o a a k a								
4192-2		s i o i b a								
4350-2		l e e l o o								
278-2		l a								
3971-2		k u e a								
55-2		l i m a								
43-2		s a a a a								
93-2		k o n o								
459-2		w u m a								
2689-3			w w w a							
893-3			a a a a d a							
1285-3			a w a							
1303-3			i k o w a							
2197-3			a x a l a							
2828-3			s i n a							
3572-3			l w n w							
1095-3			l i w a							
1755-3			l i i							
1789-3			x w a a a ŋ g a							
3207-3			f u l a							
3519-3			f u l a							
3686-3			tʰ w i b a							
4249-3			x w w i							
4451-3			b w l i							
448-3			l o a n i							
630-3			β e á l a							
1216-3			k u a a d a							
1228-3			f w a							
1418-3			l i a a g d a							
1475-3			k w a							
3397-3			β o l a							
4003-3			r i k ɲ a							
4040-3			k e n e							
4373-3			l i l i							
4384-3			i l o							
181-3			x e a ŋ g o							
419-3			l o k a							
587-3			w a u g o							
660-3			w e l a							
1083-3			l i l a							
1350-3			l w a							
1374-3			w tʰ a a ɲ e							
1396-3			s o f u							
1666-3			r a a l o							
1767-3			x o x o							
1906-3			i w g i l a							
2177-3			i k a n i							
2286-3			l a							
2317-3			f u l a							
2750-3			á a s i							
3275-3			x u a n a							
3464-3			l o ɲ a							
3639-3			l u u m a l a							
3981-3			i tʰ a a n a							
4192-3			w w a b a							
4260-3			i w a							
4350-3			w e á l o o							
278-3			β a							
745-3			x w x o							
3971-3			x w w a							
93-3			k o ɲ o							
200-3			β e							
374-3			tʰ a a l a							
508-3			l o j u							
528-3			β e l a							
2689-4				o u a a						
893-4				á u o e e a						
1285-4				o u u e						
3572-4				o o a a						
1755-4				u u u						
1789-4				k u o u o u g a						
3686-4				á o e g a						
4451-4				o u l u						
1216-4				k á l e a e						
4003-4				k o á r a						
419-4				l u g a						
1122-4				p e e e						
1430-4				o ɔ i i						
1666-4				u u u a						
1767-4				k o r i						
55-4				s a a a						
94-4				o e a						
2717-4				t ɔ o ŋ g a						
2689-5					w i m a					
893-5					a u d a					
1285-5					i w i					
1303-5					k o e					
2197-5					s k á a					
2828-5					ʃ i i a					
3572-5					s o w i					
1095-5					l i					
3207-5					f u a					
3519-5					t u w					
3686-5					l i d a					
4249-5					f u m i					
448-5					a o k l e e					
630-5					β e e l e					
814-5					o i g e					
1228-5					β w					
1418-5					ʃ i a					
2026-5					β w e					
2775-5					u a a					
3397-5					β o l					
3826-5					s o k					
4040-5					s e w i					
4373-5					l i i					
4384-5					i o					
84-5					u u					
116-5					i k a					
587-5					o i k o					
848-5					k u m a					
1159-5					m					
