COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	n a r ɨ									
35-1	h i θ u θ u									
36-1	h u θ a ts u									
48-1	n a g a s a r									
60-1	θ ʔ r i									
63-1	s i r a m i									
64-1	x uː									
67-1	h a r									
68-1	n e									
71-1	tɕ i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ e									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s i θ a									
103-1	ts u m ɨ									
110-1	θ e									
116-1	m u n ɨ ɴ									
120-1	n u m u r									
132-1	k i k u r									
139-1	x u r u s u r									
140-1	ʔ j u g u r									
156-1	θ a tɕ u r u									
168-1	ts u k i									
169-1	h u s i									
170-1	m i d ɨ									
173-1	ʔ s i r									
180-1	k u m u									
185-1	h a i									
186-1	m ʔ ɨ r u									
187-1	m k tɕ i									
190-1	ʔ x a s s r									
193-1	k iː r u s									
194-1	s i r u s a r									
195-1	k u r u s a r									
216-1	m a r u s a r i									
221-1	n a b									
239-1	ʔ θ kː r									
252-1	m uː tɕ ɨ									
253-1	j u ts u									
254-1	ʔ ts kː θ kː r									
266-1	x a d ɨ e									
267-1	n a g a r ɨ r u r									
268-1	eː m i r									
272-1	ʔ m ɨ ɴ									
276-1	ʔ r a u r									
281-1	m u s i									
304-1	ts ɨ b a s i									
305-1	tɕ i tɕ i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
342-1	ʔʲ u k i									
346-1	x u r a s a r									
347-1	k i r u r									
348-1	h i r ɴ s s r									
351-1	θ o s a r									
361-1	ʔ b o r s r									
379-1	k u s a tɕ a i									
394-1	h i n a r i									
395-1	mʲ i g i r									
400-1	h i ɨː a r u									
412-1	s a x ɨ r u r									
413-1	ts ɨ k s s a s i									
414-1	h u r u r									
422-1	h u k u r ɨ r u									
423-1	x a ɴ g a ɨ r u									
430-1	h a k u r									
435-1	h u kʲ u r									
446-1	s i θ a r									
447-1	ʔ g ɴ									
458-1	θ u s i									
56-1	h i θ ʔ									
62-1	ʔ n u									
70-1	θ a n ɨ r									
96-1	m e									
101-1	h a									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o tɕ u								
36-2		h u t a tɕ u								
48-2		n a g a kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a a								
68-2		n iː								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t iː								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a r e r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i z u								
173-2		i s kʲ								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a kʲ kʲ								
193-2		k iː r o kʲ								
194-2		s i r o kʲ a								
195-2		k u r o kʲ a								
216-2		m a r u s a								
221-2		n a m								
239-2		i tɕ u								
252-2		m i ts u								
253-2		j o ts u								
254-2		i tɕ u tɕ u								
266-2		k a z e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e g								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b a								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		j u k i								
346-2		k u r a kʲ a								
347-2		k i r u								
348-2		h i r o kʲ a								
351-2		t oː kʲ a kʲ								
361-2		o m o kʲ a								
379-2		k u s a r a								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i pː a r u								
412-2		s a k e r u								
413-2		ts u k i s a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a ɴ g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u w b kʲ								
458-2		t o s i								
56-2		h i t o								
65-2		k u t a								
70-2		t a n e								
75-2		k u t a								
14-3			k o r e							
18-3			d a r e							
35-3			h i t o tɕ u							
36-3			h u t a ts u							
48-3			n a g a							
60-3			t o r i							
63-3			s r a m							
64-3			k i							
67-3			h a k							
68-3			n e							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts u m e							
110-3			t e							
116-3			m u n e							
120-3			n o m ui							
132-3			k i k u							
139-3			k o r o s u							
140-3			o j o g u							
156-3			t a j i r							
168-3			ts u k i							
169-3			h o s i							
170-3			m e i u							
173-3			i s i							
180-3			k u m o							
185-3			h a							
186-3			m o e r							
187-3			m pː tɕ i							
190-3			a k a							
193-3			k i r o							
194-3			s i r o							
195-3			k u r o							
216-3			m a r i							
221-3			n a m							
239-3			i ts u							
252-3			m i u							
253-3			j o u							
254-3			i ts u tɕ u							
266-3			k a z e							
267-3			n a g a r e r ui							
268-3			ui m i							
272-3			a m e g							
276-3			a j a u							
281-3			m u s i							
304-3			ts u a k							
305-3			tɕ i k							
308-3			h a n a							
309-3			k u s a							
