COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m a b a			
222-1	a b o b o n e			
208-1	a b u b u ɾ u			
962-1	a k o ɲ e o			
203-1	a k u n i o o			
138-1	m m i l o			
504-1	m o l e a			
662-1	m u l e a			
478-1	m k o ɗ a			
409-1	a l e			
410-1	m u n e o			
256-1	m m o l e			
622-1	n b o			
546-1	n b o			
547-1	m o l a o			
847-1	m a n o o k e			
95-1	b a ɗ e			
105-1	b a ɲ e n e			
510-1	b o l a			
951-1	m b o m a ɾ e			
1116-1	m b o m a			
149-1	m a u e e			
376-1	m m a l o			
815-1	k o l e a			
453-1	m a n e			
67-1	m uː l e			
47-1	m o k e o n a			
869-1	m u l a			
57-1	k k u			
303-1	k m a e ʔ i a			
443-1	m o l a			
884-1	m u n e o			
166-1	m u n e o			
918-1	a b a ɾ e			
831-1	m o ɲ ʃ o			
616-1	b a o			
84-1	m o l e l e			
346-1	m o l u l o			
601-1	m i k e			
177-1	k ʔ a a o			
341-1	k ʔ o l a			
1066-1	m a n k i n a			
318-1	m m o l e			
241-1	m a ɲ ɲ o o			
556-1	m a n k u n e			
191-1	m m a m b i l			
458-1	a m ʔ i ɲ ʔ o			
1-1	m a n d i l e			
751-1	m o			
864-1	a n o n e e			
154-1	a a m a n ʃ o			
278-1	a m i l o ʔ o			
766-1	m o l a			
251-1	a k u ɾ e			
582-1	o ʔ o n e			
6-1	a l o			
1106-1	n k o			
473-1	m i n e			
1111-1	m a l o			
957-1	m a l e			
41-1	b o o			
24-1	m a			
25-1	m b e			
879-1	a b a ɾ a b e e			
837-1	m o l i			
233-1	b m a b e i o			
938-1	b m u l o a			
369-1	a b e			
946-1	m a n k o			
889-1	b b e l e			
820-1	m b o l e o			
438-1	n b o n e			
283-1	m a n k a ɾ e			
52-1	m u o e o			
842-1	m o n o a			
110-1	m ʔ i n e l e			
165-1	m a			
1007-1	m n k o l e			
1088-1	m o ɲ o l o			
1087-1	m n k o l e			
702-1	i l o			
536-1	k e e			
694-1	n o o			
468-2		l a b a		
222-2		a b o b o n i		
208-2		a b u r b u d u		
962-2		a k o r o a		
203-2		a g u ɗ i ʔ e		
138-2		a ʃ i l i		
504-2		ɗ o ʃ e n a		
662-2		b u ɗ e n a		
478-2		m g o ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		b ʔ a l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ e f a a		
847-2		n e n d i g i		
95-2		b a ɗ i		
105-2		b i n e n i		
510-2		b o ʃ a		
951-2		m b e m a r e		
1116-2		m b u m a		
149-2		b ʔ u s ʔ i		
376-2		b ʔ a l i		
815-2		g o r a ʔ a		
453-2		ɗ a n a		
67-2		ɗ a ʃ i		
47-2		d o k o ʔ o n a		
869-2		ɗ u l a		
57-2		k a g u		
303-2		k ʔ a s ʔ i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h a n ʃ i		
616-2		b i e		
84-2		h o ʃ a l a		
346-2		h o o l u		
601-2		s i g i		
177-2		k ʔ a f a a		
341-2		k ʔ o l a		
1066-2		f e n s ʔ i n a		
318-2		m f e ʃ a		
241-2		m a n e ʃ o		
556-2		h a n d u n u		
191-2		b ʔ i m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n i r e		
751-2		r o		
864-2		a n o n e n a		
154-2		a a m a n ʃ i		
278-2		a m i l u ʔ i		
766-2		ʃ o r a		
251-2		a g u r u		
582-2		u ʔ u n e		
6-2		a l i		
1106-2		n k o		
473-2		m i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		l a r e		
879-2		a b a r e b e d e		
566-2		a a f a n f a r a s ʔ		
742-2		a g o a		
1044-2		ʃ i m b i l a		
13-2		a l h a m i s		
720-2		a s e l a a		
837-2		m a l i		
233-2		b ʔ i b i o		
938-2		b ʔ u l e a n a		
369-2		a r e		
946-2		b a n g o		
889-2		b ʔ e l a		
820-2		a m o r e n		
405-2		b a d a		
134-2		b ʔ a ɗ i ʔ i		
1078-2		m i i		
429-2		b o n k o ʃ		
187-2		b i s k k ʔ e		
438-2		n d i n e		
385-2		m o k ʔ o ʃ		
283-2		m a n s ʔ a r e		
390-2		a b a i u a		
783-2		m a r l a		
842-2		m o n o ʃ a		
110-2		k ɗ i ɗ e r i		
650-2		k ʔ o ʃ		
91-2		g a l a s i		
668-2		w a l a		
777-2		a i n d a l i a		
728-2		s i ʃ i		
165-2		m a		
1007-2		o n g o l e		
1087-2		o n g o l e		
894-2		i s ʔ a		
536-2		k ʔ e d a		
694-2		n d a		
468-3			m a b a	
222-3			a b a b a n a	
208-3			a b u r b u d u	
962-3			a g ɔ r ʔ a	
203-3			a g u d i l a	
138-3			a ʃ i l a	
504-3			d a ʃ a f a	
662-3			b u d a ʔ a	
478-3			a g ɔ d a	
409-3			a r a	
410-3			g u n d i	
256-3			b ʔ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ a f a ʔ	
847-3			m a n d a k i	
95-3			b a d i	
105-3			b a n i	
510-3			b ɔ ʃ a	
951-3			m b a m a r a	
1116-3			m b u m a	
149-3			b ʔ u s ʔ i	
376-3			b ʔ a l i	
815-3			k ɔ r a f a	
453-3			d u n a	
67-3			d a ʃ a	
47-3			d ɔ k ʔ ʔ u l a	
869-3			d u θ a	
57-3			k a k u	
303-3			k ʔ a s ʔ i a	
443-3			g a r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r a	
831-3			h a a ʃ a	
616-3			b a a	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h a l u	
601-3			s i k i	
177-3			k ʔ a f a a	
341-3			k ʔ ɔ l a	
1066-3			f a n s ʔ i ŋ a	
318-3			a f a s i	
241-3			m a n a ʃ a	
556-3			h a n d u n u	
191-3			b ʔ a m b ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n d i r a	
751-3			r ɔ	
864-3			a n ɔ n ʔ i	
154-3			a m a n s i	
278-3			a m i l u ʔ a	
766-3			ʃ ɔ r a	
251-3			a g u r u	
582-3			a ʔ ɔ ŋ a	
6-3			a l i	
1106-3			n k ɔ	
473-3			m i n a	
1111-3			h a l u	
957-3			m a r a	
24-3			s i	
25-3			m a r a	
879-3			a b a r a b a d a	
566-3			a n f a n f ɔ r ɔ s ʔ	
742-3			a g ɔ a	
