COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	tɕʰ ʅ ³⁵																		
5-1	ʈʂ a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ŋ																		
8-1	ɕ j a																		
9-1	p u ³⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ³⁵																		
33-1	y u																		
38-1	ə ²¹⁴																		
40-1	y a n																		
42-1	u ²¹⁴																		
43-1	tɕ ə ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a n ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l ei ³⁵																		
109-1	ɕ i ŋ ⁵¹																		
115-1	t au ²¹⁴																		
118-1	ʈʂ j ⁵⁵																		
124-1	tɕ j a ²¹⁴																		
127-1	ʈʂ u o																		
133-1	tʰ au ³⁵																		
144-1	ʂ a ⁵⁵																		
161-1	ɕ y ŋ ŋ																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ²¹⁴																		
171-1	tʰ u ⁵¹																		
173-1	l ʅ ³⁵																		
174-1	l ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a n ³⁵																		
177-1	p a ³⁵																		
179-1	l j ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə n ³⁵																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ŋ																		
200-1	ʈʂʰ u ³⁵																		
202-1	t au ⁵⁵																		
205-1	f ə ŋ ⁵⁵																		
206-1	tɕʰ j e																		
209-1	x w a																		
211-1	ʈʂʰ u o																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ²¹⁴																		
219-1	ʂ w a ⁵⁵																		
