COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ²¹⁴																		
4-1	tɕʰ ʅ ³⁵																		
5-1	ʈʂ a ŋ ŋ																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ŋ																		
8-1	ɕ j a																		
9-1	p u ⁵¹																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ³⁵																		
33-1	y u ²¹⁴																		
38-1	ə ²¹⁴																		
40-1	y ŋ ŋ																		
42-1	u a																		
43-1	tɕ ə n ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ³⁵																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵⁵																		
64-1	l i n ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵¹																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l i ³⁵																		
109-1	ɕ i n ⁵⁵																		
115-1	t au ²¹⁴																		
118-1	tɕ j ²¹⁴																		
124-1	tɕ j a ²¹⁴																		
127-1	ʈʂ u o																		
133-1	tʰ au ⁵¹																		
144-1	ʂ a ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ²¹⁴																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ʅ ³⁵																		
174-1	l ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ³⁵																		
179-1	l j ou																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə n ³⁵																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ŋ																		
200-1	ʈʂʰ u ³⁵																		
202-1	t au ⁵⁵																		
205-1	f ə ŋ ⁵⁵																		
206-1	tɕʰ j e																		
209-1	x w a																		
211-1	ʈʂʰ u o																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ w a ⁵⁵																		
220-1	ʈʂʰ ʅ ⁵¹																		
225-1	tɕʰ j a n																		
230-1	tɕ j a n																		
234-1	pʰ i ³⁵																		
238-1	l i ³⁵																		
242-1	ʈʂ u ⁵¹																		
253-1	tɕʰ i n ³⁵																		
256-1	ʂ w o																		
261-1	x w a ⁵⁵																		
262-1	p ai ³⁵																		
263-1	ʂ ʅ ³⁵																		
264-1	tɕ j a ŋ																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n																		
274-1	u a																		
275-1	p a n ⁵¹																		
279-1	n a n ³⁵																		
287-1	l a n ³⁵																		
291-1	x ou ³⁵																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ²¹⁴																		
303-1	tɕʰ y ²¹⁴																		
306-1	kʰ ou ²¹⁴																		
307-1	k u ²¹⁴																		
308-1	tɕ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	kʰ ɤ ²¹⁴																		
314-1	tʰ ai ³⁵																		
323-1	m i ŋ ³⁵																		
325-1	tʰ u ²¹⁴																		
330-1	f ou ²¹⁴																		
334-1	ɕ i ³⁵																		
335-1	ʈʂʰ u ⁵⁵																		
338-1	k au ²¹⁴																		
339-1	ʈʂ ou ²¹⁴																		
341-1	x u ⁵⁵																		
342-1	m i ŋ ⁵¹																		
343-1	x w o																		
344-1	j au ²¹⁴																		
349-1	kʰ u ²¹⁴																		
353-1	ʈʂʰ u ŋ ŋ																		
360-1	x ou ³⁵																		
375-1	ʈʂ w ei ²¹⁴																		
388-1	ʂ ʅ ⁵¹																		
389-1	x w ei																		
392-1	kʰ w ə n																		
394-1	tɕ j a n ⁵¹																		
401-1	tʰ u ²¹⁴																		
402-1	ʈʂ ai ²¹⁴																		
403-1	t i ⁵¹																		
409-1	ʈʂ w o ⁵⁵																		
418-1	m ei ⁵¹																		
441-1	tʰ j a n ³⁵																		
443-1	m u ⁵¹																		
459-1	w a ⁵¹																		
460-1	t w o ⁵⁵																		
461-1	j a ⁵¹																		
464-1	t a ⁵¹																		
465-1	tʰ j a n ⁵⁵																		
466-1	tʰ ai ⁵¹																		
467-1	f u ⁵⁵																		
469-1	ʂ ʅ ³⁵																		
480-1	n y ³⁵																		
482-1	l i n																		
484-1	x au ²¹⁴																		
491-1	m ei ⁵¹																		
492-1	tɕʰ i ⁵⁵																		
495-1	tɕ j ²¹⁴																		
496-1	k u ⁵⁵																		
507-1	n j a ŋ ³⁵																		
509-1	tɕʰ y ⁵¹																		
510-1	pʰ o ³⁵																		
513-1	ʂ i ⁵¹																		
518-1	ʂ au ²¹⁴																		
525-1	ʈʂ ʅ ²¹⁴																		
527-1	i ŋ ⁵¹																		
533-1	x j e																		
548-1	kʰ ɤ ⁵⁵																		
554-1	x j e																		
558-1	y ŋ ŋ																		
564-1	f u ²¹⁴																		
580-1	ʂ ɤ ³⁵																		
587-1	ɕ j au																		
588-1	ʂ au ²¹⁴																		
589-1	tɕ j a n																		
594-1	ʈʂʰ ʅ ³⁵																		
602-1	u ²¹⁴																		
604-1	ʂ ʅ ⁵⁵																		
611-1	ʂ a n ⁵⁵																		
630-1	ʈʂ w o ²¹⁴																		
637-1	tɕ i n ⁵⁵																		
638-1	ʂ ʅ ⁵¹																		
639-1	p o ⁵¹																		
2-2		i ⁴¹																	
4-2		tɕʰ i ²⁴																	
5-2		ts a n ⁵⁵																	
6-2		s a n ³³																	
7-2		s a n ⁵⁵																	
8-2		x j a																	
9-2		p u ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu																	
32-2		j a ¹³																	
33-2		y ɤu ⁴¹																	
38-2		n ⁴¹																	
40-2		oː o n ¹³																	
42-2		u ⁴¹																	
43-2		ʈʂ i n ³³																	
46-2		w a n ¹³																	
52-2		n j a n ¹³																	
53-2		n ə n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ts a n ⁵⁵																	
64-2		n i n ¹³																	
68-2		tɕ ieː ⁵⁵																	
85-2		w ei ⁵⁵																	
86-2		t i ³³																	
87-2		tɕ y ⁵⁵																	
93-2		ɲ i ⁴¹																	
98-2		n ai ¹³																	
109-2		s i n ³³																	
115-2		t au ⁴¹																	
118-2		ts j e ²⁴																	
124-2		k j a																	
127-2		ts o ⁵⁵																	
133-2		tʰ ɤu ³³																	
144-2		s a ³³																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		i ¹³																	
171-2		tʰ o ⁵⁵																	
173-2		n ɤu ²⁴																	
174-2		n ei ⁴¹																	
175-2		tɕ yeː ¹³																	
176-2		n j a n ⁴¹																	
177-2		p ɤ ²⁴																	
179-2		n j ɤu																	
181-2		p i n ³³																	
182-2		tɕ i ¹³																	
189-2		k oː a n ³³																	
191-2		t o ŋ ³³																	
193-2		n ə n ¹³																	
198-2		t ə n ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
200-2		tsʰ y ²⁴																	
202-2		t au ³³																	
205-2		f ə n ³³																	
206-2		tɕʰ j e ²⁴																	
209-2		f a ²⁴																	
211-2		tsʰ y ³³																	
215-2		n i ¹³																	
216-2		k w a ²⁴																	
217-2		t au ⁵⁵																	
219-2		s oː ³³																	
220-2		tsʰ i ⁵⁵																	
225-2		tɕʰ ieː ¹³																	
230-2		tɕ ieː ⁵⁵																	
234-2		p i ²⁴																	
238-2		n i ²⁴																	
242-2		ts y ⁵⁵																	
253-2		tɕ i n ¹³																	
256-2		s ɤu ²⁴																	
261-2		f a ³³																	
262-2		p ɤ ²⁴																	
263-2		s ʅ ¹³																	
264-2		tɕ j a n																	
271-2		s ʅ ²⁴																	
272-2		tɕʰ ieː n																	
274-2		u ⁴¹																	
275-2		p oː n																	
279-2		n a n ¹³																	
287-2		n a n																	
291-2		x ɤu ⁴¹																	
295-2		tɕ y ⁵⁵																	
300-2		j ɤu ⁴¹																	
303-2		tɕʰ y ⁴¹																	
306-2		kʰ ɤu ⁴¹																	
307-2		k u ⁴¹																	
308-2		tɕ y ⁵⁵																	
312-2		tɕ j au ⁵⁵																	
313-2		kʰ o ⁴¹																	
314-2		t ai ¹³																	
323-2		m i n ¹³																	
325-2		tʰ o ⁴¹																	
330-2		f u ⁴¹																	
334-2		s i ²⁴																	
335-2		tsʰ ɥ ³³																	
338-2		k au ⁴¹																	
339-2		ʈʂ ɤu ³³																	
341-2		f u ³³																	
342-2		m i n ¹³																	
343-2		x o ¹³																	
344-2		j au ⁴¹																	
349-2		kʰ u ²⁴																	
353-2		tsʰ a n ⁵⁵																	
360-2		x ɤu ¹³																	
375-2		ts ei ⁵⁵																	
388-2		s ɿ ⁵⁵																	
389-2		f ei ³³																	
392-2		kʰ w ə n ⁵⁵																	
394-2		tɕ yeː ⁵⁵																	
401-2		tʰ o ⁴¹																	
402-2		ts ai ⁵⁵																	
403-2		t i ⁵⁵																	
409-2		ts o ²⁴																	
418-2		m ei ¹³																	
441-2		t ieː ¹³																	
443-2		m o ⁴¹																	
459-2		w ai ⁵⁵																	
460-2		t o ³³																	
461-2		j a ¹³																	
464-2		t a ⁵⁵																	
465-2		tʰ ieː ¹³																	
466-2		t ai ¹³																	
467-2		f u ³³																	
469-2		s ʅ ²⁴																	
480-2		ɲ j ⁴¹																	
482-2		n a n																	
484-2		x au ⁴¹																	
491-2		m ei ⁵⁵																	
492-2		tɕʰ i ³³																	
495-2		ts j e ²⁴																	
496-2		k u ³³																	
507-2		ɲ j a n ¹³																	
509-2		tɕʰ y ⁴¹																	
510-2		p o ¹³																	
513-2		s i ⁵⁵																	
518-2		s au ⁴¹																	
525-2		ʈʂ ʅ ⁴¹																	
527-2		i n n																	
533-2		x ai ¹³																	
548-2		kʰ a ²⁴																	
554-2		x ai ¹³																	
558-2		j o ŋ ¹³																	
564-2		f u ⁴¹																	
580-2		s j ²⁴																	
587-2		s j au ³³																	
588-2		s j ⁴¹																	
589-2		tɕ ieː ⁵⁵																	
594-2		tsʰ i ²⁴																	
602-2		u ²⁴																	
604-2		s ɿ ⁴¹																	
611-2		s a n ³³																	
630-2		ts o ⁴¹																	
637-2		tɕ i n ³³																	
638-2		s ɿ ⁵⁵																	
639-2		p u ⁴¹																	
2-3			i ⁵⁵																
4-3			kʰ i k																
5-3			ts a ŋ ³³																
6-3			s ɯ ŋ ³³																
7-3			s ɯ ŋ ³³																
8-3			h j a																
9-3			p ou ʔ																
17-3			ts a ŋ ³³																
31-3			k j u ⁵³																
32-3			j a ⁵⁵																
33-3			h u ³⁵																
38-3			h i e																
40-3			h e ŋ ⁵⁵																
42-3			ou ⁵³																
43-3			ts ɯ ŋ ³³																
46-3			m a ŋ ⁵⁵																
52-3			l j e ŋ ⁵⁵																
53-3			l i ŋ ⁵⁵																
56-3			k ɯ ŋ ³³																
59-3			tʰ w a																
60-3			ts a ŋ ³⁵																
64-3			l i m ⁵⁵																
68-3			k ɯ ŋ ŋ																
85-3			w i ³⁵																
86-3			t i ³³																
87-3			ts u ³⁵																
93-3			n i ⁵³																
98-3			l ai ⁵⁵																
109-3			s i ŋ ³³																
115-3			t au ⁵³																
118-3			ts j e ²¹³																
124-3			k a e																
127-3			ts w ⁵³																
133-3			tʰ o ³³																
144-3			s w a ³³																
161-3			s j ŋ ŋ ³³																
166-3			k w e ŋ ³³																
170-3			h i e																
171-3			tʰ o ²¹³																
173-3			l i e ⁴																
174-3			l w i																
175-3			ts j e ŋ																
176-3			l j e ŋ ⁵⁵																
177-3			p a ʔ ²¹																
179-3			l j u ⁵⁵																
181-3			p e ŋ ³³																
182-3			kʰ i ⁵⁵																
189-3			k w e ŋ ³³																
191-3			t a ŋ ³³																
193-3			l i m ⁵⁵																
198-3			t i ŋ ³³																
199-3			s j ŋ ŋ ³³																
200-3			tsʰ u k																
202-3			t o ³³																
205-3			h w e ŋ ³³																
206-3			kʰ j e ʔ ²¹																
209-3			h w e ⁴																
211-3			tsʰ u ³³																
215-3			l i ³⁵																
216-3			k w e ʔ																
217-3			t au ¹¹																
219-3			s w a ³³																
220-3			tsʰ i ²¹³																
225-3			tsʰ j e ŋ																
230-3			k j e ŋ																
234-3			pʰ w i ʔ																
238-3			l i ʔ																
242-3			ts u ³⁵																
253-3			kʰ i ŋ ⁵⁵																
256-3			s j k ⁴																
261-3			h w e ⁵³																
262-3			p e ʔ ⁴																
263-3			s i ⁵⁵																
264-3			k j e ŋ																
271-3			s i k																
272-3			tsʰ j e ŋ ³³																
274-3			ou ³³																
275-3			p a ŋ ⁵³																
279-3			l a ŋ ⁵⁵																
287-3			l w ŋ ⁵⁵																
291-3			h u ⁵⁵																
295-3			kʰ j ⁵⁵																
300-3			j u ⁵⁵																
303-3			tsʰ u ⁵³																
306-3			kʰ au ⁵³																
307-3			k ou ⁵³																
308-3			k u ³³																
312-3			k j əu ³³																
313-3			kʰ w a																
314-3			tʰ ai ⁵⁵																
323-3			m i ŋ ⁵⁵																
325-3			tʰ o ²¹³																
330-3			h w e																
334-3			s i ⁵³																
335-3			tsʰ w i ³³																
338-3			k au ⁵³																
339-3			ts au ³³																
341-3			h u ¹¹																
342-3			m i ŋ ⁵⁵																
343-3			h w e																
344-3			j e ⁵⁵																
349-3			kʰ ou ⁵³																
353-3			tsʰ a ŋ ³³																
360-3			h u ⁵⁵																
375-3			ts w i ⁵³																
388-3			s i ³⁵																
389-3			h w e ⁵³																
392-3			kʰ w e ŋ																
394-3			k w ŋ ³³																
401-3			tʰ o ²¹³																
402-3			ts ai ²¹³																
403-3			t i ³⁵																
409-3			ts w ³³																
418-3			m ai ⁵⁵																
441-3			tʰ j ə m ⁵⁵																
443-3			m o ¹¹																
459-3			w i ⁵⁵																
460-3			t o ³³																
461-3			j a ⁵⁵																
464-3			t a ²¹³																
465-3			tʰ j ə m ⁵⁵																
466-3			tʰ ai ²¹³																
467-3			h u ¹¹																
469-3			s i k ²¹																
480-3			n i ⁵⁵																
482-3			l ai ⁵⁵																
484-3			h au ⁵³																
491-3			m i ⁵⁵																
492-3			tsʰ i ³³																
495-3			ts j e ⁵³																
496-3			k ou ³³																
507-3			n i ⁵⁵																
509-3			tsʰ u ⁵³																
510-3			pʰ w a																
513-3			s i ³⁵																
518-3			s j əu ⁵³																
525-3			ts i ⁵³																
527-3			j e ŋ ŋ																
533-3			h ai ⁵⁵																
548-3			kʰ i k ²¹																
554-3			h ai ⁵⁵																
558-3			j e ŋ ŋ																
564-3			h u ¹¹																
580-3			s i ³⁵																
587-3			s j u ⁵³																
588-3			s j əu ³³																
589-3			k j e ŋ																
594-3			tsʰ i k ²¹																
602-3			ou ³³																
604-3			s i ⁵³																
611-3			s ɯ ŋ ³³																
630-3			ts w ⁵³																
637-3			k ɯ ŋ ³³																
638-3			s i ³⁵																
639-3			p ou ⁵³																
2-4				i ³¹															
4-4				tɕʰ ɿ ³¹															
5-4				ts a ŋ ¹³															
6-4				s a n ⁴⁴															
7-4				s a ŋ ¹³															
8-4				ɕ j a															
9-4				p e ³¹															
17-4				ts o ŋ ⁴⁴															
31-4				tɕ j əu ¹³															
32-4				j a ³¹															
33-4				y u															
38-4				ə ⁵³															
40-4				ɥ o n															
42-4				v u ⁵³															
43-4				tɕ ə n ⁵³															
46-4				w a ŋ ³¹															
52-4				n j a ŋ ³¹															
53-4				z ə n ³¹															
56-4				tɕ i n ⁴⁴															
59-4				tʰ a ³¹															
60-4				ts a ŋ ¹³															
64-4				n i n ¹³															
68-4				tɕ j a n ¹³															
85-4				w ei ¹³															
86-4				t i ¹³															
87-4				ts u ¹³															
93-4				n i ⁵³															
98-4				n i ³¹															
109-4				ɕ i n ¹³															
115-4				t au ⁵³															
118-4				ts j ³¹															
124-4				tɕ j a															
127-4				ts o ⁵³															
133-4				tʰ au ⁴⁴															
144-4				s a ⁴⁴															
161-4				ɕ ɥ o ŋ ⁴⁴															
166-4				k w a ŋ ⁴⁴															
170-4				ə ⁵³															
171-4				tʰ o ³¹															
173-4				z ɿ ³¹															
174-4				n w ei ¹³															
175-4				tɕʰ ɥ a n ³¹															
176-4				n j a ŋ ³¹															
177-4				p e ³¹															
179-4				n j ³¹															
181-4				p i n ⁴⁴															
182-4				tɕʰ i ³¹															
189-4				k w a n ⁴⁴															
191-4				t o ŋ ⁴⁴															
193-4				n ə n ³¹															
198-4				t ə n ¹³															
199-4				ɕ ɥ o ŋ ⁴⁴															
200-4				tsʰ ɿ ³¹															
202-4				t au ⁴⁴															
205-4				f a n ⁴⁴															
206-4				tɕʰ ɿ ³¹															
209-4				x a ³¹															
211-4				tsʰ o ⁴⁴															
215-4				n i ¹³															
216-4				k w a ⁴⁴															
217-4				t au ¹³															
219-4				s w a															
220-4				tsʰ ɿ ¹³															
225-4				tɕʰ j a n ³¹															
230-4				tɕ j a n ¹³															
234-4				pʰ i ³¹															
238-4				n i ³¹															
242-4				ts u ¹³															
253-4				tɕʰ i n ³¹															
256-4				s o ³¹															
261-4				x w a															
262-4				p e ³¹															
263-4				tsʰ ɿ ³¹															
264-4				tɕ j a ŋ															
271-4				s ɿ ³¹															
272-4				tɕʰ j n n															
274-4				v u ⁵³															
275-4				p a n ¹³															
279-4				n a n ³¹															
287-4				n w a n															
291-4				x əu ¹³															
295-4				tɕʰ y ⁵³															
300-4				j əu ⁵³															
303-4				tɕʰ y ⁵³															
306-4				kʰ əu ⁵³															
307-4				k u ⁵³															
308-4				tɕ u ⁵³															
312-4				tɕ j au ¹³															
313-4				kʰ o ⁵³															
314-4				tʰ ai ³¹															
323-4				m i n ³¹															
325-4				tʰ o ³¹															
330-4				f əu ⁵³															
334-4				ɕ i ³¹															
335-4				tsʰ w ei ⁴⁴															
338-4				k au ⁵³															
339-4				ts əu ⁴⁴															
341-4				f u ⁴⁴															
342-4				m i n ³¹															
343-4				x o ³¹															
344-4				j au ⁵³															
349-4				kʰ u ³¹															
353-4				tsʰ a ŋ ¹³															
360-4				x əu ³¹															
375-4				ts w ei ⁵³															
388-4				s ɿ ¹³															
389-4				x w ei															
392-4				kʰ w ə n ¹³															
394-4				tɕ j a n ¹³															
401-4				tʰ o ³¹															
402-4				ts ai ¹³															
403-4				t i ¹³															
409-4				ts o ⁵³															
418-4				m i ³¹															
441-4				tʰ j a n ³¹															
443-4				m u ¹³															
459-4				w a ¹³															
460-4				t o ⁵³															
461-4				j a ³¹															
464-4				t a ¹³															
465-4				tʰ j a n ⁴⁴															
466-4				tʰ ai ³¹															
467-4				f u ⁴⁴															
469-4				s ɿ ³¹															
480-4				ɲ j a n ³¹															
