COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ⁵⁵																		
4-1	tɕʰ i ³⁵																		
5-1	ʈʂ a ŋ ŋ																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a a ŋ																		
8-1	ɕ j a																		
9-1	p u ⁵¹																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j e ²¹⁴																		
33-1	y u																		
38-1	ə ²¹⁴																		
40-1	y a n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕ i n ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	ʐ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ʈʂ u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l i ³⁵																		
109-1	ɕ i ŋ ⁵⁵																		
115-1	t au ²¹⁴																		
118-1	tɕ j e ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ʈʂ w o																		
133-1	tʰ u ⁵⁵																		
144-1	ʂ a ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	ə ²¹⁴																		
171-1	tʰ u ⁵¹																		
173-1	ʐ ʅ ³⁵																		
174-1	l ei ⁵¹																		
175-1	tɕʰ ɥ a n ³⁵																		
176-1	l j a ŋ ³⁵																		
177-1	p a ⁵¹																		
179-1	l j ou																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l ə n ³⁵																		
198-1	t ə ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
2-2		i ⁴¹																	
4-2		tsʰ i ²⁴																	
5-2		ts a n ⁵⁵																	
6-2		s a n ³³																	
7-2		s a n ³³																	
8-2		x j ¹³																	
9-2		p u ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁵⁵																	
32-2		j e ⁴¹																	
33-2		y ɤu ⁴¹																	
38-2		ɤ ⁴¹																	
40-2		y n n																	
42-2		u ⁴¹																	
43-2		tɕ i n ³³																	
46-2		w a n ¹³																	
52-2		n j a n ¹³																	
53-2		n ə n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ts a n ⁵⁵																	
64-2		n i n ¹³																	
68-2		tɕ ieː ⁵⁵																	
85-2		w ei ⁵⁵																	
86-2		t i ³³																	
87-2		tɕ y ⁵⁵																	
93-2		n i ⁴¹																	
98-2		n ai ⁵⁵																	
109-2		s i n ³³																	
115-2		t au ⁴¹																	
118-2		ts j e ⁵⁵																	
124-2		k j a																	
127-2		ts o ⁴¹																	
133-2		tʰ ɤu ³³																	
144-2		s a ³³																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		ɤ ʅ																	
171-2		tʰ ɤu ⁴¹																	
173-2		ʐ ʅ ²⁴																	
174-2		n ei ⁵⁵																	
175-2		tɕ yeː ¹³																	
176-2		n j a n ¹³																	
177-2		p ɤ ²⁴																	
179-2		n j ɤu																	
181-2		p i n ³³																	
182-2		tɕ i ¹³																	
189-2		k w a n ³³																	
191-2		t o ŋ ³³																	
193-2		n ə n ¹³																	
198-2		t ə n ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
2-3			i e																
4-3			tsʰ i k ²¹																
5-3			ts a ŋ ³³																
6-3			s uaː ³³																
7-3			s ɯ ŋ																
8-3			h j e																
9-3			p e k																
17-3			ts a ŋ ³³																
31-3			k j u ³³																
32-3			j e ⁵⁵																
33-3			h u ³⁵																
38-3			h i ³⁵																
40-3			h u ŋ ⁵⁵																
42-3			ou ⁵³																
43-3			ts ɯ ŋ ³³																
46-3			m a ŋ ⁵⁵																
52-3			l i ⁵⁵ ⁵⁵																
53-3			z i ŋ ⁵⁵																
56-3			k ɯ ŋ ³³																
59-3			tʰ a ³³																
