COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	s uː ɗ e			
222-1	ɪ b o d o n e			
208-1	ɪ b u l k u k e			
962-1	ɪ ʔ o l dʒ a			
203-1	ɪ ʔ u d i ɾ e			
138-1	ʔ s i l e			
504-1	ɗ o s ʔ dʒ e			
662-1	ɗ u g ʔ e			
478-1	m ʔ o ʃ e			
409-1	iː l e			
410-1	k oː n k e			
256-1	k ʔ eː l e			
622-1	n d u			
546-1	n d u			
547-1	s oː s a k			
847-1	m e n d e k e			
95-1	ɓ uː ɗ e			
105-1	ɗ eː g n e			
510-1	ɓ o ʃ e			
951-1	m ʔ l ɲ a r e			
1116-1	mː b ɲ ʃ e			
149-1	ɗ ʔ u s k e			
376-1	k ʔ a l e			
815-1	k o l ʔ dʒ e			
453-1	ɓ uː n e			
67-1	ɓ uː ʃ e			
47-1	k o g ʔ d o dʒ e			
869-1	ɓ uː ʃ e			
57-1	ɓ uː ɗ e			
303-1	k ʔ a s k i e			
443-1	ɓ uː l e			
884-1	k oː n ʃ e			
166-1	k oː n k e			
918-1	a b eː l e			
831-1	s oː ʔ ʃ e			
616-1	k eː e			
84-1	h o s ɪ l e			
346-1	h o s u l e			
601-1	s uː ɗ e			
177-1	k ʔ a s a o			
341-1	k ʔ o l e			
1066-1	s m n s d ɛ n e			
318-1	ʔ s eː ʃ e			
241-1	m a g dʒ o			
556-1	s a n d u n e			
191-1	k ʔ i k ʔ i l			
458-1	ɪ s g i s k e			
1-1	s a ŋ k i ɾ e			
751-1	l o			
864-1	ɪ n o n ʔ e			
154-1	ɪ ʔ ŋ a n dʒ e			
278-1	ɪ n i l o k e			
766-1	s uː l e			
251-1	a ʔ u l e			
582-1	o ʔ o n i			
6-1	iː l e			
1106-1	n g o			
473-1	m uː n e			
1111-1	s uː ʃ e			
957-1	m uː l e			
41-1	k i ɗ			
24-1	s eː			
25-1	s uː l e			
879-1	a b a l a b e k i			
837-1	m oː ʃ i			
233-1	k ʔ e k e ɾ o			
938-1	k ʔ u l ʔ i a			
369-1	a l e			
946-1	k oː ɲ ʃ o			
889-1	k ʔ eː l e			
820-1	ɪ ʔ o l e i			
438-1	n d i n e			
468-2		θ a b a		
222-2		ɪ b ɪ b o j i		
208-2		a b ɪ r b u j u		
962-2		ɪ g o r l a		
203-2		a g ɪ d i j ʔ		
138-2		a ʃ i l i		
504-2		ɗ ɪ ʃ a		
662-2		t ɪ d ʔ a		
478-2		tʃ g o ɗ e		
409-2		a r e		
410-2		g u ŋ d i		
256-2		t aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		tʃ ɪ n d iː j i		
95-2		b ə ɗ i		
105-2		b ɪ ŋ tʃ ŋ i		
510-2		b o ʃ a		
951-2		m ʔ ɪ a r e		
1116-2		m b n a		
149-2		t ʔ u s ʔ i		
376-2		t aː l i		
815-2		g ɪ r a		
453-2		ɗ aː ŋ e		
67-2		ɗ a ʃ i		
47-2		t ɪ k ʔ o ʃ a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ ɪ s i a		
443-2		g oː lː a		
884-2		g aː ŋ d i		
166-2		g u ŋ d i		
918-2		a b a r e		
831-2		h aː n ʃ i		
616-2		b i e		
84-2		h ɪ ʃ a l a		
346-2		h ɪ o l u		
601-2		s i g i		
177-2		k ʔ a f a j		
341-2		k o l a		
1066-2		f ɪ ŋ tʃ i ŋ i		
318-2		a f i ʃ i		
241-2		m ɪ n ʔ ʃ o		
556-2		h a ŋ d u j u		
191-2		t tʃ ɪ ŋ j i l		
458-2		a sː ʔ i s j i		
1-2		h a ŋ i r u		
751-2		r o		
864-2		ɪ m ɪ n ʔ i		
154-2		a ʔ ŋ a n j i		
278-2		a m ɪ l j i		
766-2		ʃ o lː a		
251-2		a g aː r u		
582-2		ɪ u ŋ ʔ		
6-2		a l i		
1106-2		m mː o		
473-2		tʃ i ŋ e		
1111-2		h a l u		
957-2		m a lː e		
41-2		b i e		
24-2		s e		
25-2		s aː r e		
879-2		a b a r a j e j u		
566-2		a e f a ŋ f a r a s t		
742-2		a g o ʔ		
1044-2		ʃ i m i l		
13-2		a l h a m i s		
720-2		aː s ɛ l a ʔ		
837-2		m oː f i		
233-2		ɗ ʔ uː i o		
938-2		ɗ u l ə a		
369-2		a r e		
946-2		k a ŋ g o		
889-2		ɗ oː l a		
820-2		ɪ ŋ o r e j		
405-2		b o d a		
134-2		t a ɗ i ʔ i		
1078-2		m i h i		
429-2		t o n ʔ o ʃ		
187-2		t ə s k ʔ ʔ e		
438-2		n g i n e		
468-3			θ a d a	
222-3			a b ɔ d iː n i	
208-3			a ɓ u r d u d u	
962-3			a g ɔ r θ a	
203-3			a g u d i ʔ	
138-3			a ʃ eː l i	
504-3			ɗ ɔ ʃ a θ a	
662-3			ɓ ɔ d ʔ a	
478-3			g ɛ d a	
409-3			a r e	
410-3			g u n d i	
256-3			d ʔ eː l i	
622-3			m sː u	
546-3			m sː u	
547-3			ʃ ʊu̯ f a ʔ	
847-3			ɛ n d i g i	
95-3			ɓ ɛ d i	
105-3			b ɔ ɲ i	
510-3			ɓ ɔ ʃ a	
951-3			m b ʊ ŋ a r i	
1116-3			m b u n a	
149-3			ɓ ʔ u s ʔ i	
376-3			d ʔ eː l i	
815-3			k ɔ r a d a	
453-3			ɓ u n a	
67-3			ɓ a ʃ a	
47-3			ɗ ɔ k ɔ θ a	
869-3			ɓ u θ a	
57-3			k a d u	
303-3			ʔ a s ʔ i a	
443-3			ɓ ʊː r a	
884-3			g ʊu̯ n d i	
166-3			g u n d i	
918-3			a b eː r i	
831-3			h a n ʃ a	
616-3			k a e	
84-3			h ɔ ʃ ɛ l a	
346-3			h ɔ h l u	
601-3			s u g i	
177-3			k ʔ a f a a	
341-3			k ʔ ɔ l a	
1066-3			ɛ n ʔ i n a	
318-3			a f eː ʃ i	
241-3			m a ʃ o	
556-3			h a n d u ŋ u	
191-3			t ɛ m d ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n h i r	
751-3			r eː	
864-3			a m ɔ n i	
154-3			a m a ɲ s i	
278-3			a m i l u ʔ a	
766-3			ʃ ɔ r a	
251-3			a g eː r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l e	
1106-3			m sː e	
473-3			ɓ i n a	
1111-3			h a θ u	
957-3			m ə r a	
24-3			sː eː	
25-3			l a r a	
879-3			a b a r a b i d ʔ	
566-3			a w a w ɔ r ɔ s ʔ	
742-3			a g ɔ a	
1044-3			ʃ ɛ m d i l a	
13-3			l h a ɲ i s	
720-3			a s ɛ l a a	
233-3			b ʔ i b i o	
938-3			m m u l a a i a	
369-3			a r e	
889-3			d ʔ eː l a	
405-3			b ʊː d i	
134-3			ʔ ʊ d i ʃ i	
1078-3			m iː h i	
429-3			b ɔ ŋ ɔ ʃ	
187-3			b s ʔ i k i	
468-4				θ a ɗ a
222-4				aː dʒ o ɗ ɛ ɲ e
208-4				aː g u r ɗ u ɗ u
962-4				a g o r ʔ a
203-4				a dʒ u d i
138-4				ʃ i l e
504-4				t o ʃ y a
662-4				t oː d y a
478-4				g o ɗ a
409-4				a r e
410-4				t u n d i
256-4				t aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				m e n d ɛ ɗ i
95-4				ɓ ɛ ɗ i
105-4				t o i n i
510-4				ɓ o ʃ a
951-4				m dʒ a r e
1116-4				m a
149-4				t u z ʔ i
376-4				t a l i
815-4				t o r i y a
453-4				ɓ oː n a
67-4				aː ʃ e
47-4				t o k o ʃ a
869-4				ɓ oː θ a
57-4				k aː ɗ u
303-4				t a z ʔ i a
443-4				g ɛ r a
884-4				t oː n d i
166-4				t u n d i
918-4				a b ɛ r e
831-4				h a ʃ e
616-4				ɓ a e
84-4				h o ʃ ɛ l e
346-4				h o h i l u
601-4				s i ɗ i
177-4				t ʔ a f a
341-4				t ʔ o l a
1066-4				f e n z ʔ i ŋ a
318-4				f aː ʃ i
241-4				m a ʃ o
556-4				h a n d u ɲ u
191-4				t ɛ m ɗ e l
458-4				aː s ʔ i z ʔ i
1-4				h a ŋ i r
751-4				r o
864-4				a m o ŋ i
154-4				a m a n z i
278-4				a m i l o
766-4				ʃ oː r a
251-4				a g aː r u
582-4				o o n
6-4				a l i
1106-4				n g o
473-4				m i n e
1111-4				h a θ u
957-4				m a r e
41-4				b e ʔ
566-4				a f a n f o r o ʃ t
742-4				a g o
1044-4				ʃ o m b i l
13-4				a l h a m i ʃ
720-4				aː s ɛ l a
837-4				m a f i
946-4				ɪ n ɗ o
820-4				a g o r y u
405-4				ɓ ɛ d a
134-4				t a ɗ i ʔ i
1078-4				m uː h i
429-4				θ o i o ʃ
187-4				t o s ʔ i k e
438-4				m d ɛ n e
