COGID	Albanian	English	French	German	Latin
560-1	l e r				
438-1	l				
1222-1	e				
353-1	p ə ʃ				
201-1	ɟ e				
20-1	m e				
503-1	p e m				
957-1	p				
728-1	l i ə				
244-1	p e m				
289-1	n				
911-1	l i o				
724-1	m				
145-1	l e				
992-1	m o				
1181-1	m e a				
741-1	p e r				
1150-1	p e a				
585-1	l i				
814-1	m i r				
916-1	d				
1079-1	l i r				
630-1	n r				
343-1	l j t				
8-1	i				
385-1	p t				
683-1	l e a o				
650-1	l e r				
612-1	l e r				
871-1	l j				
667-1	l i l				
527-1	m e				
499-1	p e				
1029-1	p e				
336-1	p e ə r				
198-1	m i ð				
164-1	n e t a ð				
560-2		h ɪ s			
438-2		g r			
1222-2		s s			
353-2		p ɪ ʃ			
201-2		h a n			
20-2		h a r			
503-2		p l ʃ			
957-2		g u			
728-2		h ɪ			
244-2		n ɪ m			
289-2		n a d			
911-2		p i			
724-2		g r			
145-2		l o			
992-2		h ɛ			
706-2		ʃ			
106-2		p ʊ d			
741-2		p ʊ			
421-2		s l ɪ m			
227-2		p ʊ			
920-2		h ɛ			
1083-2		h ɪ r d			
1066-2		θ u			
1125-2		ð ʊ d			
1197-2		h au d			
473-2		n ɪ			
284-2		n ɪ r			
661-2		f n			
701-2		n ɪ			
315-2		h ɛ			
1169-2		s a l			
1150-2		h ɪ r s			
982-2		s ɪ ŋ			
987-2		s ɪ			
1055-2		s a ɪ			
1130-2		s ai			
433-2		s o			
625-2		g ɪ θ			
1186-2		h ɪ n			
416-2		h			
1233-2		h ɪ n			
884-2		h ɪ r			
1016-2		g t ɛ ai			
952-2					
78-2		l l ɛ r			
514-2		ð ɪ ə r			
116-2					
188-2		ð ɛ ə			
745-2		f ɪ ə			
1100-2		s l au			
47-2		g ai t			
111-2		g ʊ h			
1061-2		h ɛ			
24-2		n ɪ n d			
232-2		n a n			
671-2		l ɪ v			
385-2		s ɪ			
945-2		s ɪ m			
644-2		h			
1041-2		s a			
492-2		ð a n			
1209-2		h ɑ			
527-2		w a t			
14-2		g ʊ l v			
1-2		l l			
915-2		au θ d			
271-2		ð ʃ			
711-2		ð ai t			
1112-2		p l ʊ d			
205-2		m au s t			
301-2		s l au s			
72-2		f o l d			
