COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o ɲ e			
208-1	a b u ɾ b u			
962-1	a g o ɾ o			
203-1	a g u t i			
138-1	ʃ ɪ l i			
504-1	ɗ oː ʃ e			
662-1	ɓ uː ɗ e			
478-1	eː g ɗ o			
409-1	a ɾ e			
410-1	g u n t i			
256-1	ɓ l o			
622-1	ɲ t u			
546-1	ɲ t u			
547-1	ʃ e f a ʔ			
847-1	ɲ e ɲ d i g i			
95-1	b e ɗ i			
105-1	b ɪ ɲ e ɲ i			
510-1	b o ʃ e			
951-1	m b a ɾ e ɾ o			
1116-1	m b a m a			
149-1	ɓ u dʒ i			
376-1	ɓ a l i			
815-1	k o ɾ a f a			
453-1	ɗ u n e			
67-1	ɗ e s e			
47-1	ɗ o k o θ a			
869-1	ɗ uː θ e			
57-1	k g u			
303-1	g a dʒ ʔ i a			
443-1	g eː ɾ e			
884-1	g uː n t i			
166-1	g u n t i			
918-1	a b e ɾ o			
831-1	h ʃ i			
616-1	b eː o			
84-1	h o ʃ a l a			
346-1	h o h o l u			
601-1	dʒ i g i			
177-1	k ʔ a f e			
341-1	k ʔ o l a			
1066-1	f e ɲ dʒ o a			
318-1	f eː dʒ i			
241-1	m a n ʃ o			
556-1	h a n d u ɲ u			
191-1	ɓ e m b ɪ l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	h a ŋ s i ɾ			
751-1	ɾ o			
864-1	a o ɲ i			
154-1	a m a ŋ dʒ i			
278-1	a m i l e			
766-1	ʃ ɔː ɾ e			
251-1	a g uː ɾ u			
582-1	o o n			
6-1	a l i			
1106-1	n g o			
473-1	ɪ n e			
1111-1	h a θ u			
957-1	m a ɾ e			
41-1	b i e			
24-1	dʒ eː			
25-1	θ ɾ e			
879-1	a b a ɾ a b e t			
837-1	m ʃ i			
233-1	b e b i o			
938-1	ɓ uː l e			
369-1	a d e			
946-1	ɓ a g o			
889-1	ɓ eː l a			
820-1	ʃ o d e ɲ			
438-1	ɲ t ɪ n e			
283-1	m a ŋ dʒ o ɾ e			
52-1	t o s			
842-1	ɗ o o o ʃ a			
110-1	s i t e d i			
165-1	m a			
1007-1	ɪ g o l e			
1088-1	h o s e l e			
1087-1	ɪ n g o l e			
702-1	eː l a			
536-1	k eː t e			
694-1	ɲ t ə			
468-2		r a b a		
222-2		a b o b o n i		
208-2		a b u b u r u		
962-2		a g o l a		
203-2		a g u r i ʔ o		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ f a		
662-2		ɓ oː r e		
478-2		g o ɗ e		
409-2		a e		
410-2		g u n r i		
256-2		ɓ ʔ l e		
622-2		n r u		
546-2		n r u		
547-2		ʃ ɛ f a		
847-2		n ɛ r i g i		
95-2		b ɛ ɗ i		
105-2		b ɛ ŋ ɛ n i		
510-2		b o ʃ e		
951-2		m b a m a e		
1116-2		m b u m a		
149-2		ɓ u r ʃ i		
376-2		ɓ ɛ l i		
815-2		g o a f a		
453-2		ɗ u ŋ e		
67-2		ɗ ɛ ʃ e		
47-2		r u k o l a n e		
869-2		ɗ oː l a		
57-2		k g u		
303-2		g a s ʔ i a		
443-2		g e a		
884-2		g u n r i		
166-2		g u n r i		
918-2		a b a e		
831-2		h a ʃ i		
616-2		b iː e		
84-2		h o ʃ i l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a n		
341-2		k ʔ o l a		
1066-2		f ɛ n d e n i		
318-2		f ɛ ʃ i		
241-2		m a n ʃ o		
556-2		h a n d u n u		
191-2		ɓ i m b i l		
458-2		a sː ʔ i s ʔ i		
1-2		h a ŋ g i		
751-2		o		
864-2		a n o n e		
154-2		a m a n e		
278-2		m i l e		
766-2		ʃ oː e		
251-2		a g u u		
582-2		u ʔ o ŋ e		
6-2		a l i		
1106-2		n g o		
473-2		i ŋ e		
1111-2		h a l u		
957-2		m a e		
41-2		b i e		
24-2		ʃ iː		
25-2		l a e		
879-2		a b a ɛ b ɛ r		
566-2		aː w a ŋ f a r s ʔ		
742-2		aː g o		
1044-2		ʃ i m b i l u		
13-2		h a m i s		
720-2		aː s ɛ l a ʔ		
837-2		m ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l ɛ n e		
369-2		a e		
946-2		ɓ a n g o		
889-2		ɓ e l o		
820-2		a ʃ o i n		
405-2		b i d e		
134-2		ɓ a ɗ e		
1078-2		m i h i		
429-2		b o ŋ k o ʃ		
187-2		b s k ʔ e		
438-2		n r ɛ ŋ e		
385-2		m o k ʔ o ʃ		
283-2		mː a n s e		
390-2		aː b a i o		
783-2		m u r l a		
842-2		ɗ o n o ʃ e		
110-2		z i r ɛ		
650-2		k ʔ o ʃ		
91-2		g ɛ l a s i		
668-2		w ɛ l e		
777-2		i l d aː l i a		
728-2		s i		
165-2		m a		
1007-2		i n g o l e		
1087-2		i n g o l e		
894-2		iː s ʔ u		
536-2		k ʔ e d e		
694-2		n r ɛ		
468-3			θ ə b a	
222-3			a b ɔ b o n e	
208-3			a b u b u d u	
962-3			a g o θ a	
203-3			a g u d i ʔ o	
138-3			a ʃ ɪ l u	
504-3			d ɔː ʃ ɛ f a	
662-3			ɓ u d a	
478-3			g ɔ d a	
409-3			a e	
410-3			g u n d i	
256-3			p l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ d i g i	
95-3			b ɛ ɗ i	
105-3			b ɪ n i	
510-3			b ə ʃ a	
951-3			m b i m a e	
1116-3			m b u m a	
149-3			ɓ u ʃ ʔ i	
376-3			ɓ ɛ l i	
815-3			g ɔ a f a	
453-3			d u ŋ e	
67-3			d a ʃ a	
47-3			d u k u θ a n e	
869-3			d u θ a	
57-3			g g u	
303-3			g ə ʃ ʔ i a	
443-3			g e a	
884-3			g u n d i	
166-3			g u n d u	
918-3			a b a e	
831-3			h a h a ʃ a	
616-3			b iː ɛ	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h ɔ l u	
601-3			ʃ i g i	
177-3			k ʔ a f e n e	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d i ŋ a	
318-3			f eː ʃ i	
241-3			m i ʃ iː ʃ o	
556-3			h a n d u n u	
191-3			p ɪ m b i l	
458-3			a ʃ ʔ i ʃ ʔ i	
1-3			h a r g ɪ	
751-3			ɔ	
864-3			a n ɔ n i	
154-3			a m a n s i	
278-3			a m i l u ʔ i	
766-3			ʃ ɔː a	
251-3			a g u u	
582-3			u ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ ŋ a	
1111-3			h a θ u	
957-3			m a e	
24-3			ʃ i	
25-3			θ a a	
879-3			a b a a b ɛ d i	
566-3			a w f a r s ʔ	
742-3			a g o ʔ	
1044-3			a ʃ ɪ m b l i ŋ a	
13-3			a l h a m i s	
720-3			a s ɛ l a ʔ	
233-3			b i p i ɔ	
938-3			ɓ u l a	
369-3			a a	
889-3			ɓ iː l	
405-3			b i d ɛ	
134-3			ɓ i d i ʔ i	
1078-3			m ɪ h i	
429-3			b ɔ ŋ k ɔ ʃ	
187-3			b u s k ʔ i	
385-3			m i k ʔ ɔ ʃ	
283-3			a n ʃ ʔ ɛ	
390-3			aː b a	
783-3			m a r θ a	
52-3			d ɔː ʃ i	
842-3			d ɔ n ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			w ɛ l a	
777-3			g i n d a l i a	
728-3			s i ʔ i	
165-3			m ə	
1088-3			h ɔ ʃ a l a	
702-3			iː l a	
894-3			iː s ʔ u	
536-3			k ɔ eː d i	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u b u d u
962-4				a g o θ e
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a n e
662-4				ɓ u ɗ i
478-4				g o ɗ i
409-4				a e
410-4				g u n d i
256-4				ɓ l e
622-4				n d u
546-4				n d u
547-4				ʃ e f a
847-4				n ɛ n d i g i
95-4				b ɛ ɗ i
105-4				b ɪ n e
510-4				b o ʃ a
951-4				m b a m a
1116-4				m b a m a
149-4				ɓ u r ʃ i
376-4				ɓ a l i
815-4				g o a
453-4				ɗ u n e
67-4				ɗ e ʃ i
47-4				ɗ o k o θ e n e
869-4				ɗ uː θ e
57-4				k g u
303-4				g a ʃ ʔ i a
443-4				g e a
884-4				g u n d i
166-4				g u n d i
918-4				a b a e
831-4				h ʃ i
