COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a									
56-1	o m a									
96-1	t a r a k									
99-1	r a k o n									
114-1	t o k o									
115-1	t o k									
133-1	t i p a tʃ									
144-1	r a w a s									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	n									
249-1	tʃ									
1-1	w a t a									
2-1	w o m									
65-1	i w									
74-1	p a n a									
106-1	t o m k									
128-1	h o k o									
147-1	t o m i k									
231-1	p a n a o									
232-1	p i o									
239-1	n a m a k a n									
266-1	p i m									
51-1	o w									
97-1	t o m a k m									
109-1	o p									
121-1	k a p k a k									
149-1	t o k									
160-1	k									
163-1	p o n									
167-1	p a									
207-1	m									
259-1	t o a									
66-1	k r a k a w									
134-1	n a p a t									
139-1	m a o m tʃ									
142-1	p a m a m a tʃ i									
145-1	k a r a t									
148-1	t a r a k o n									
162-1	i n									
166-1	m i									
179-1	t a									
201-1	p									
21-1	t a w									
24-1	t o k a n									
50-1	n a									
57-1	t o k a w									
84-1	p i w a n									
91-1	m o k o n									
131-1	t o k a ʒ̟ m a tʃ i									
151-1	k i w									
154-1	w o									
192-1	t o t									
197-1	t r o m									
205-1	p a n									
227-1	w a p o t o									
246-1	i w i									
251-1	w a n a									
271-1	tʃ i n									
285-1	r a w i n									
75-1	o p i									
79-1	t a n									
104-1	k a h o r									
153-1	tʃ a k									
157-1	t a r a m									
174-1	h o r o									
240-1	t i m a k									
270-1	k a w a t									
52-2		t a								
56-2		h m								
96-2		a r a t								
99-2		r a r a								
114-2		t o k o								
115-2		r a tʃ i								
133-2		t i p a r a								
144-2		r a								
150-2		k a								
234-2		k o m								
236-2		p a k o								
241-2		a								
249-2		i s e								
74-2		p a								
93-2		t o p a r a								
95-2		a s i								
106-2		t o m a k								
119-2		w a s i								
128-2		h o								
147-2		t o m i								
231-2		p a o								
232-2		p i u								
239-2		n a m a								
266-2		p a m								
51-2		i w e								
55-2		h a m								
97-2		h o m a								
121-2		a p a tʃ i								
163-2		p e n								
167-2		p a								
259-2		t o a								
66-2		r a a								
112-2		t a r a k a								
116-2		t o p a tʃ i								
125-2		k a m a tʃ i								
135-2		k i m a tʃ i								
139-2		m a o s i t								
142-2		p a r a m a								
148-2		r a w a s i								
162-2		i n								
166-2		i m i								
179-2		t a								
45-2		h o r a m a								
84-2		p i w a								
131-2		k a t u m a tʃ i								
146-2		k i m a s a								
154-2		w e								
192-2		t o t								
197-2		r a m								
235-2		tʃ o								
237-2		m a j i								
246-2		i w i								
250-2		w a r a k o								
267-2		o a								
39-2		n a r a m a								
42-2		t a r a m a								
44-2		w a n								
75-2		i p e w a j								
94-2		k e r e m								
122-2		p e r a k o								
52-3			t i							
56-3			m i							
96-3			r a tʃ i							
99-3			r a r a							
114-3			t o k i							
115-3			j i r i							
133-3			t i j a r a m a s i							
144-3			n a r a m a tʃ i							
150-3			k a j							
234-3			k o m							
236-3			p a k i							
241-3			a j i							
249-3			i s e							
1-3			w a tʃ a m							
2-3			w i j m							
65-3			i w i							
93-3			t o p a r i tʃ i							
95-3			j i							
106-3			t i							
119-3			j a tʃ i							
128-3			p k i							
147-3			t i m i							
231-3			p a ɲ a j o							
232-3			p i j o							
239-3			n a m a k a							
266-3			p i m							
3-3			w a r i							
4-3			w a r i							
55-3			h i							
109-3			i p a r i							
121-3			k a j a k a tʃ i ʔ							
149-3			t o k							
160-3			k i r i k							
207-3			m i							
112-3			t a r a k i							
125-3			k a tʃ i m a tʃ i							
134-3			n i j a p a t							
135-3			t i k i							
139-3			m e k e r i							
57-3			t o k a w a							
71-3			m i							
131-3			t o k o t i m a tʃ i							
146-3			k i m a s i							
227-3			w a j a p a							
132-3			m i tʃ e							
240-3			t i m a k							
52-4				ʒ̟ i						
56-4				m a						
96-4				ʒ̟ a						
99-4				ʒ̟ a k o n						
114-4				ʒ̟ o k i						
115-4				t i						
133-4				ʒ̟ i p a						
144-4				a r a w						
150-4				k a w						
234-4				k o m						
236-4				p a k o n						
241-4				n a w						
249-4				i tʃ						
1-4				w a ʒ̟ a						
2-4				w i						
65-4				i w i						
74-4				p a n a						
93-4				ʒ̟ o p a r a						
95-4				w i n						
106-4				ʒ̟ o n a						
119-4				w i ʒ̟ i						
128-4				w o k o						
147-4				ʒ̟ i m i						
231-4				p a n a o						
232-4				p i o						
239-4				n a m a k a n						
266-4				p i ʒ̟						
3-4				w i k o n						
4-4				w a r a k o						
51-4				w i						
97-4				t o m a m						
109-4				p i						
121-4				k a p i k a tʃ i ʔ						
149-4				t o k						
160-4				k i r i k						
163-4				p i						
167-4				p a						
207-4				m i						
259-4				ʒ̟ o a w						
66-4				k a r a k a						
116-4				ʒ̟ o p a k a tʃ i						
134-4				t i j i p a t						
135-4				ʒ̟ i k o p						
139-4				w i s o k						
142-4				p a r a m a tʃ i						
145-4				k a r a t i						
148-4				ʒ̟ a r a k a						
162-4				i n						
166-4				m i						
179-4				t a						
201-4				p a						
21-4				t a w						
24-4				a w i k o n						
45-4				w i j a m a						
50-4				n a m a						
57-4				t o k a w						
71-4				o m i						
84-4				p i w a k o n						
91-4				m a k o n						
131-4				ʒ̟ o k a ʒ̟ i m a tʃ i						
146-4				k i m a s i						
151-4				k i w						
154-4				w o						
192-4				ʒ̟ i ʒ̟						
205-4				p a n						
227-4				w a p i t o ʔ						
235-4				tʃ o w						
237-4				n a m a						
246-4				i j i						
250-4				ʒ̟ m o p k o						
251-4				w a n a						
271-4				tʃ i w u						
284-4				w i t i						
285-4				i r a w i						
44-4				j a m a m						
75-4				i p i a m						
79-4				t a n						
94-4				k a w						
104-4				k a w i						
132-4				m a tʃ						
153-4				tʃ a k						
157-4				t a r a m						
174-4				p r i						
177-4				t o p a n						
240-4				t i m a k						
270-4				k a w a t i ʔ						
52-5					t i					
56-5					m e					
96-5					t a r a k i					
99-5					w o r a k o					
114-5					t o k o i					
115-5					t o r i					
133-5					t i j i p a s i					
144-5					t o r a k i					
150-5					k a w					
234-5					k o m					
236-5					p i k o m					
241-5					a w i					
249-5					i s o					
1-5					w a t a					
2-5					w m					
65-5					i f i					
74-5					p a m a					
93-5					t o p a r i ʔ					
95-5					w i k i					
106-5					t o m i t					
119-5					p i t					
128-5					p k o k i					
147-5					t i k o m					
239-5					n a m a k a n					
266-5					p i t					
3-5					w o r a k o					
4-5					w o r a k o					
51-5					w i					
55-5					f o m					
97-5					m a m					
109-5					p i t					
149-5					t o k					
160-5					k i r i k					
163-5					p i					
167-5					p a					
207-5					m i					
259-5					t o w a					
66-5					k a r a k o					
112-5					t a r a k a r a s i					
116-5					t o p a k a s i					
134-5					t i k i t					
135-5					t o m o p					
139-5					m o k o s i					
142-5					p a r a m a s i					
145-5					k a r a t a s i					
148-5					t a r a k i					
162-5					i j a					
166-5					m i					
179-5					t a k					
201-5					p e					
21-5					t a k a t					
45-5					f o r a m a m a					
50-5					i n a					
71-5					m i					
84-5					p i w a n					
91-5					m a k o n					
146-5					k i m a s i					
151-5					k i w					
154-5					w e					
192-5					t i t					
197-5					t i k o m					
205-5					p a m					
235-5					s o w i					
237-5					m i j a m a					
250-5					t o r a p a k o					
251-5					w a n a					
267-5					s o w a					
271-5					s i k o					
284-5					w i t					
285-5					i r a w i					
