COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə																		
63-1	ʔ a s																		
107-1	g ə ə																		
112-1	d ə b ə																		
331-1	ʔ ɨ g																		
377-1	b ə g																		
381-1	ʔ ə																		
417-1	r																		
451-1	s ə n																		
454-1	ʔ a ə r																		
484-1	s ɨ ɨ s																		
535-1	ʔ ə s ə r																		
543-1	s ə ə s																		
593-1	ʔ ə ə s																		
640-1	ʔ ə																		
1-1	d ə ə r ə																		
65-1	ʔ ə																		
212-1	ʔ ə n																		
244-1	ʔ ə r ə																		
248-1	ʔ ə ə																		
293-1	ʔ ə r ə																		
373-1	ʔ ə a																		
408-1	ʔ ə r																		
414-1	ʔ ə a																		
601-1	r ə																		
642-1	ʔ ə a s																		
60-1	ʔ ə ə s ə																		
115-1	ʔ ə																		
209-1	s ə ɨ																		
242-1	ʔ ə ə ɨ s																		
415-1	s ɨ n a																		
450-1	s ə r																		
490-1	ʔ ə b ə ə																		
638-1	s ə r																		
645-1	g a																		
160-1	tʃʼ ə r ə																		
208-1	ʔ ə n ə																		
214-1	ʔ ə																		
378-1	ʔ ə n ə ə																		
379-1	ʔ ə ə																		
409-1	ʔ ə t ə r																		
598-1	ʔ ə																		
646-1	ʔ ə n ə																		
210-1	g ə ə ə n																		
215-1	ʔ ə ə ə																		
285-1	ʔ ɨ a																		
332-1	ʔ ə g r																		
380-1	ʔ ə h ə																		
412-1	s ə ə n																		
64-1	a ə																		
67-1	ə																		
251-1	ʔ ə ə																		
294-1	ə g																		
597-1	ʔ ə ə g ə ə ə																		
7-1	ʔ a g a																		
158-1	ʔ ə m ə s																		
372-1	g ə n ə																		
374-1	ə r ə																		
375-1	s ə																		
411-1	ʔ ə r ə																		
541-1	ʔ ə																		
6-1	g ə ə																		
113-1	ʔ ə n																		
330-1	g ə																		
448-1	g ə ə ə ə ə																		
449-1	a ə																		
491-1	ʔ ɨ n g ə																		
596-1	ə g ə																		
4-1	g ə t																		
8-1	g ə ə ə																		
106-1	ʔ ə s a																		
290-1	ʔ ə g ə s ə																		
489-1	ə ə ə r																		
602-1	ʔ ɨ n																		
2-1	ʔ ə a																		
3-1	g ɨ a																		
213-1	ʔ a r ə s																		
486-1	n ə t ə ə																		
647-1	ʔ ə ə																		
10-1	ɨ g ə r																		
110-1	ə ə																		
152-1	ʔ a o																		
211-1	ʔ ə s ə																		
328-1	s ə t ə ə																		
333-1	ʔ ɨ s ɨ r																		
334-1	ʔ a n b ə s a																		
410-1	g a																		
540-1	l ə a																		
109-1	g ɨ n																		
61-2		d ə m																	
63-2		ʔ ə ɨ																	
107-2		kʼ ɨ m ə																	
112-2		d ə b ə n a																	
331-2		n ɨ																	
377-2		b ə																	
381-2		ə																	
417-2		r ə																	
451-2		s ə																	
454-2		ʔ ə ɨ r																	
484-2		s ɨ ɨ s																	
535-2		ʔ ə s ɨ r																	
543-2		s ə s																	
593-2		ʔ ə m ə																	
640-2		m ə																	
1-2		d ə b ə r ə																	
65-2		tʼ ɨ b																	
163-2		s ə																	
212-2		ʔ ə n																	
244-2		ʔ ə r ə																	
248-2		m ə																	
293-2		f ə r ə																	
373-2		kʼ ɨ m a																	
408-2		b ə r ə																	
414-2		d ə b a																	
642-2		n ɨ ə s																	
60-2		n ə ə s ə																	
115-2		l ə m																	
209-2		s ɨ ɨ																	
242-2		ʔ ə m ɨ s																	
415-2		s ɨ n a b																	
450-2		s ə r																	
490-2		tʼ ə b																	
645-2		ə																	
160-2		d ə r ə kʼ																	
208-2		ʔ ɨ n																	
378-2		ʔ ɨ n ə																	
379-2		s ə ə																	
409-2		ʔ ə ə r																	
598-2		kʼ ə ə																	
646-2		ʔ ə t ə																	
210-2		ʔ ɨ o n																	
215-2		ə ə ə																	
285-2		m ɨ d a d																	
380-2		ʔ ɨ ɨ																	
412-2		s ə ɨ n																	
496-2		s ə b ə																	
64-2		d a b o																	
251-2		ɨ ə																	
294-2		m ə																	
597-2		m ə n g ə d ə n a																	
7-2		ɨ l g a																	
158-2		kʼ ə m ɨ s																	
296-2		ə a																	
375-2		s ə b																	
541-2		kʼ ə d ɨ n																	
113-2		b ə a																	
252-2		r ə ə ə																	
330-2		kʼ ə																	
449-2		ɨ ə																	
491-2		d ɨ n g ə t																	
545-2		ə ə a																	
596-2		n ə g ə																	
4-2		ə r ə a																	
106-2		m ə a																	
254-2		ɨ m																	
290-2		tʃ ə ə ə																	
602-2		m ɨ n																	
2-2		kʼ ə a																	
3-2		ɨ																	
213-2		ʔ ə r ə																	
486-2		n ə d ə ə																	
10-2		tʼ ɨ a r																	
152-2		ʔ ɨ s o																	
211-2		m ɨ s ə t																	
328-2		s ə d ə b ə																	
333-2		m ɨ s ɨ r																	
334-2		ɨ m ə a																	
540-2		l ə b a																	
109-2		g ɨ n																	
61-3			t ə m																
63-3			ʔ a t ɨ m																
107-3			g a m ə r a																
112-3			t a ə r a																
331-3			n ɨ g w																
377-3			p ə kʼ ə r ə																
381-3			ʔ a t																
417-3			r a																
451-3			w ə a t																
454-3			ʔ a t a r																
484-3			w ɨ t a t																
535-3			ʔ a ɨ r																
543-3			w ə t																
593-3			ʔ a m a																
640-3			m w a n																
1-3			t ə p ə r ə m																
65-3			t ə w																
163-3			s ə t ə																
212-3			ʔ ə n																
244-3			ʔ a r ə ə t																
248-3			m ə r a																
293-3			w ə r ə																
373-3			kʼ ɨ m a r																
408-3			p a r a																
414-3			t ə w a kʼ ə r a																
601-3			ʔ ə r ə																
642-3			n ə a																
60-3			n ə w ə ə m																
115-3			w ə r a m																
209-3			w ɨ m a t																
