COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
174				j ɑ ɾ	j ɑ ɾ	j ɜ ɾ	
1432	s̪ u m	s̪ u m	s̪ u m	s̪ u m	x s̪ u m	s̪ u m	s̪ u m
80	p r̪ ɛ t̪ l ɑ	p r̪ ɛ l ɑ			p r̪ ɛ l ɑ		
342	g o b i	g o b i	ɸ u l g o b i				pʰ u l g o b i
1577	k r̪ o		k r̪ o				k r̪ o
853		ɪ ɕ ɪ n̪	ɪ ɕ ɪ n̪	ɜ ɕ i n̪	i ɕ ɪ n̪	i ɕ ɪ n̪	
1521				ʐ o ŋ	ɖʐ o ŋ	ɖʐ o ŋ	
677	lʲ ɜ x m o	lʲ ɜ x m o	lʲ ɜ x m o	lʲ ɜ x m o	lʲ ɜ x m o	lʲ ɜ x m o	lʲ ɜ x m o
506	tɕ u s̪ tɕ ɪ k	tɕ u s̪ tɕ ɪ k	tɕ u s̪ tɕ ɪ k	tɕ u s̪ tɕ ɪ k	tɕ u s̪ tɕ i k	tɕ u s̪ tɕ i k	tɕ u s̪ tɕ i k
1553	ʑ ɜ k ʊ r̪ d u n̪						ʊ ɾ d u n̪
120	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪	z̪ ɛ ɾ s̪
229	tɕ ɜ ŋ m ɛ n̪	tɕ ɜ ŋ m ɛ n̪	tɕ ɑ ŋ m ɛ n̪	tɕʲ ɑ ŋ m ɛ n̪	tɕ ɑ ŋ m ɛ n̪	tɕ ɑ ŋ m ɛ n̪	
1143	m ɑ ɾ̥ p o	m ɑ r̪ p o	m ɜ ɕ p o	m ɑ r̪ ɸ o	m ɑ r̪ ɸ o	m ɑ r̪ ɸ o	m ɑ r̪ p o
946	kʰ ɑ	kʰ ɑ	kʰ ɑ				kʰ ɑ
1601	g oˑ	g o			g oˑ	g oˑ	g o
939		ɑ ŋ o	ɜ m o	ɑ ŋ o	ɑ ŋ o	ɑ ŋ o	
767	ɜ ɕ i p ɑ	ɜ ɕ i p ɑ	ɜ ɕ i p ɑ	ɜ ɕ i p ɜ	ɜ ɕ i p ɑ	ɜ ɕ i p ɜ	
1578		ʈʂ o		ʈʂ o	ʈʂ o	ʈʂ o	
956			tɕʰ ɪ n̪			tɕʰ ɪ n̪	
1282	ts̪ u n̪ tθ e	ts̪ u n̪ tθ e	ts̪ u m tθ e	ts̪ u n̪ tθ e	ts̪ u n̪ tθ ɛ	ts̪ u n̪ tθ e	ts̪ u m tθ e
358	pʰ r̪ u	pʰ r̪ u	pʰ r̪ u		p l̥ u	p l̥ u	pʰ r̪ u
391	g r̪ ɜ x m o	ɖʐ ɜ x m o	g r̪ ɜ x m o	ʐ ɜ x m o	ɖʐ ɜ x m o	ɖʐ ɜ x m o	g r̪ ɜ x m o
1609	k ɑ r̪ p o	k ɑ r̪ p o	k ɜ ɕ p o	k ɑ r̪ ɸ o	k ɑ r̪ ɸ o	k ɑ r̪ ɸ o	k ɑ r̪ ɸ o
154		s̪ ʊ t̪ ʊ p s̪				s̪ o t̪ ɜ p s̪	t̪ʰ ɜ m p s̪
1593	g ɑ ɾ	g ɑ	g ɑ ɾ	g ɑ ɾ	g ɑ ɾ	g ɑ ɾ	g ɑ ɾ
447	s̪ k ɜ m b o	s̪ k ɜ m b o	s̪ k ɜ m b o	s̪ k ɜ m b o	s̪ k ɜ m b o	s̪ k ɜ m b o	s̪ k ɜ m b o
34		s̪ t̪ r̪ ɜ k s̪		s̪ t̪ r̪ ɜ k s̪		s̪ t̪ r̪ ɜ k s̪	
566			ɾ ɜ b ɜ q	ɾ ɜ b ɜ q	ɾ ɜ b ɜ q	ɾ ɜ b ɜ q	
701	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o	kʰ o
1136				p ɜ r̪ ɜ k z̪ ɜ	p ɜ ɽ ɑ ɣ z̪ ɑ	pʰ ɜ ɽ ɜ k z̪ ɜ	p ɑ r̪ ɑ z̪ β̞ ɑ
17	s̪ k o m s̪	s̪ k o m s̪	s̪ k o m s̪	s̪ k o m s̪	s̪ k o m s̪	s̪ k o m s̪	s̪ k o m s̪
957				dʑʲ ɑ g ɜ t̪	dʑ ɑ g ɜ t̪	dʑ ɑ g ɜ t̪	
311	tɕʰ ɜ x s̪				tɕʰ ɜ x s̪		
1488	tɕ o ŋ ɛ s̪	tɕ o ŋ ɜ s̪	tɕ o ŋ ɜ s̪	tɕ o ŋ ɜ s̪	tɕ o ŋ ɜ s̪	tɕ o ŋ ɜ s̪	tɕ o ŋ ɜ s̪
1561	ɕ e r̪ p ɑ	ɕ ɪ r̪ p ɑ	ɕ ɜ ɕ p ɜ	ɕ ɛ r̪ ɸ ɑ	x ɕ ɛ r̪ ɸ ɜ	x ɕ ɛ r̪ ɸ ɜ	ɕ e r̪ p ɑ
572	dz̪ o g u		z̪ o g u				z̪ ɪ g u
1406		tθʰ o q	tθʰ o q	tθʰ o q	tθʰ o q	tθʰ o q	
1626		n̪ ɜ m ɑ					n̪ ɑ m ɑ
1569	tɕ i	tɕ i	tɕ i	tɕ i	tɕ i	tɕ i	tɕ i
1625	z̪ ɜ n̪ z̪ ʊ s̪	z̪ ɜ n̪ z̪ ʊ s̪	z̪ ɜ n̪ z̪ u s̪	z̪ ɜ n̪ z̪ ʊ s̪	z̪ ɜ n̪ z̪ ʊ s̪	z̪ ɜ n̪ z̪ ʊ s̪	
330	g o b i	g o b i	g o b i				g o b i
261	n̪ ɑ q p o	n̪ ɑ q p o	n̪ ɜ q p o	n̪ ɑ q p o	n̪ ɑ q p o	n̪ ɜ q p o	n̪ ɑ q p o
1585	n̪ ɑ m	n̪ ɑ m	n̪ ɑ m	n̪ ɑ m	n̪ ɑ m	n̪ ɑ m	n̪ ɑ m
96	d̪ u k s̪	d̪ u k s̪	d̪ u k s̪	d̪ u k s̪	d̪ u k s̪	d̪ u k s̪	d̪ u k s̪
1668	j ɑ ŋ	j ɑ ŋ	j ɑ ŋ	j ɑ ŋ	j ɑ ŋ	j ɑ ŋ	j ɑ ŋ
1239	m o	m o	m o	m o	m o	m o	
343				k ɜ ɽ ɜ m	k ɜ ɽ ɜ m	k ɜ ɽ ɜ m	
989		s̪ ɜ r̪ p ɜ		s̪ ɜ r̪ ɸ ɑ	s̪ ɜ r̪ ɸ ɜ	s̪ ɜ r̪ f ɜ	
214			t̪ʰ ɜ l b ɜ				t̪ʰ ɜ l b ɜ
65	k o s̪	k o s̪	k o s̪	k o s̪	k o s̪	k o s̪	k o s̪
181	pʰ ɪ r̪ o	pʰ i r̪ o	pʰ r̪ i d o	f i t̪ r̪ o	pʰ i r̪ o	pʰ i t̪ r̪ o	pʰ i tʰ o q
82				ɾ ɪ l s̪		ɾ ɪ l s̪	
1364		ɸ tɕ u	ɸ tɕ u	ɸ tɕ u	ɸ tɕ u	p ɕ tɕ u	
422	l o x s̪ o	l o x s̪ o	l o x s̪ o	l o x s̪ o	l o x s̪ o	l o x s̪ o	l o x s̪ o
1348		ʑ ɪ n̪ d o	ʑ ɪ g d o	dʑ i n̪ d o	ʑ ɪ n̪ d o	ʑ ɪ n̪ d o	
1073	ɾ gʲ ɑ	b gʲ ɜ	β gʲ ɜ	β gʲ ɜ	β gʲ ɜ	b gʲ ɜ	ɾ gʲ ɜ
1347	s̪ ȵ ɜ m ɜ						ɕ ȵ ɑ ŋ m ɑ
1012	t̪ r̪ o b ɜ ɾ	tɕ o b ɜ ɾ	t̪ r̪ o b ɜ ɾ	t̪ r̪ o b ɑ ɾ	t̪ r̪ o b ɜ ɾ	t̪ r̪ o b ɜ ɾ	t̪ r̪ o b ɑ ɾ
1380			d̪ i		d̪ i	d̪ i	
584		z̪ ɛ r̪ m õ ŋ		z̪ ɛ r̪ m o ŋ	z̪ ɛ r̪ m õ ŋ	z̪ ɛ r̪ m õ ŋ	s̪ ɛ r̪ m õ
642	m e β̞ ɑ	m e β̞ ɑ	m e β̞ ɑ	m e β̞ ɑ		m e β̞ ɑ	
564	ɾ ɑ						ɾ ɑ
600	pʰ u	pʰ u					
57	t̪ʰ ũ ŋ s̪	t̪ʰ ũ s̪	t̪ʰ ũ s̪	t̪ʰ ũ ŋ s̪	t̪ʰ ũ s̪	t̪ʰ ũ ŋ s̪	t̪ʰ ũ s̪
310	tɕʰ ɜ q s̪	tɕʰ ɜ q p o	tɕʰ ɜ q	tɕʰ ɜ q p o	tɕʰ ɜ q p o	tɕʰ ɜ q p o	tɕʰ ɜ q p o
329	b ɜ n̪ d	b ɜ n̪ d	b ɜ n̪ d				b ɜ n̪ d
938	ɜ ŋ ɑ						ɜ m ɑ
294	b u	b u	b u	p l̥ u	p l̥ u	p l̥ u	pʰ r̪ u
855	l̪ t̪ i m	l̪ ʈ i m					
988	s̪ o ŋ ɑ		s̪ o m ɑ				s̪ o m ɑ
1520	g ʊ r̪ o ŋ	g r̪ o ŋ	g ʊ r̪ o ŋ			g ʊ r̪ o ŋ	
488	ɾ gʲ ɛ t̪	b gʲ ɜ t̪	β gʲ ɜ t̪	gʲ ɜ t̪	β gʲ ɛ t̪	gʲ ɛ t̪	ɾ gʲ ɛ t̪
413	ʑ ɜ q	dʑ ɜ q	ʑ ɜ q	ʑ ɜ q	ʑ ɜ q	ʑ ɜ q	ʑ ɜ q
1379	d̪ʲ u n̪	d̪ʲ u n̪		d̪ʲ u ŋ	d̪ʲ u	d̪ʲ u ŋ	d̪ʲ u
399	b ɑ				b ɜ	b ɜ	
482				p ɑ ɣ ɜ n̪		p ɑ ɣ ɜ n̪	
49	ɕ ɪ s̪	ɕ i s̪	ɕ i s̪	ɕ i s̪	ɕ ɪ s̪	ɕ i s̪	ɕ i s̪
726	l̪ tɕʰ o	l̪ tɕʰ o	l̪ tɕʰ o	l̪ tɕʰ o	l̪ tɕʰ o	l̪ tɕʰ o	
1700	n̪ o ŋ o					n̪ o ŋ o	n̪ õ ŋ o
400			b ɜ l ɜ ŋ			b ɜ l ɜ ŋ	
1207	p ɑ j u	p ɑ j u	p ɑ j u	p ɑ j u	p ɑ j u	p ɑ j u	
33	p o t̪ ʊ k s̪		t̪ ʊ k s̪		t̪ ʊ k s̪		
