COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ k															
175-1	k a															
241-1	ʔ k															
2163-1	kʰ k n															
2181-1	n k k															
2060-1	ʔ k k															
410-1	k k															
1841-1	k k															
2017-1	k k															
1004-1	k a															
614-1	k k k															
686-1	k k k															
88-1	k k ʔ															
872-1	n k ŋ															
1891-1	k a															
68-1	k k k															
631-1	k k n															
594-1	k a															
1759-1	k a ɲ															
805-1	g k ɲ															
756-1	k k k															
1201-1	k ɔ k															
2042-1	ʔ a															
1968-1	k k ʔ															
2000-1	r a ŋ															
17-1	k k k															
4-1	k ə k															
788-1	k k															
1219-1	k k k															
141-1	ʔ a ŋ															
541-1	k r j a ŋ															
1687-1	k k n															
123-1	k a k															
1652-1	k k ɲ															
576-1	ŋ ɔ															
1738-1	k k k															
442-1	k ɔ k															
368-1	k j a ŋ															
1778-1	p k k															
957-1	n k p															
1704-1	ʔ k ʔ															
304-1	j k k															
1796-1	g ɔ ŋ															
720-1	k k k															
287-1	k k p															
321-1	k k k															
206-1	k k ʔ															
1950-1	ʔ ɔ															
665-1	k k a n															
703-1	n k ʔ															
1290-1	k k															
1391-1	k k k															
269-1	k k k															
855-1	k k n															
2078-1	k k															
2213-1	k k															
1858-1	k a															
1151-1	k j a n															
737-1	p k k															
340-1	k ɔ															
1111-1	k k															
485-1	ŋ k															
1356-1	k k k															
1093-1	g ɔ ŋ															
1063-1	k ɔ k															
648-1	g k ɲ															
223-1	k ɔ n															
1248-1	k k															
1509-1	g k ɲ															
504-1	k k k															
2130-1	k k															
1-1	ʔ ɔ															
386-1	j k ʔ															
1411-1	ʔ k															
1027-1	k k ʔ															
1459-1	k k k															
1323-1	k ə															
1538-1	r j a k															
975-1	ɲ a k															
940-1	ŋ k k															
1476-1	ʔ a k															
1923-1	n k															
105-1	g ɔ ŋ															
1431-1	ʔ k															
1814-1	k k ɲ															
1183-1	n ɔ n															
1430-1	k k															
1721-1	k ɔ ʔ															
1617-1	k k ʔ															
1564-1	k ɔ															
2111-1	k k															
1563-1	k a															
1597-1	g ɔ ŋ															
1859-2		n a														
175-2		kʰ a														
241-2		ʔ a														
2163-2		kʰ ɔ n														
2181-2		ɣ a														
2060-2		ʔ a														
410-2		d ɔːi̯														
1841-2		m a														
2017-2		h a														
1004-2		au̯ ɔ														
614-2		b ɔ h														
686-2		b l ɔːi̯														
88-2		a o ɔ														
872-2		ɣ a n														
1891-2		d ɔ														
68-2		kʰ ɔ														
631-2		b kʰ ɔi̯ n														
594-2		au̯ ɔ														
1759-2		h a n														
805-2		kʰ eː n														
756-2		h a														
1201-2		m a ɔ ʔ														
2042-2		ʔ a														
1968-2		d ɔ ʔ														
2000-2		kʰ ɔ n														
17-2		kʰ ɔ ʔ														
4-2		b eː														
788-2		d a														
1219-2		kʰ ɔ														
141-2		ʔ a n														
541-2		b o ɔ ɔ n														
1687-2		h a n														
123-2		ɣ a														
1652-2		dʑ eː n														
576-2		n a														
1738-2		d ɔ														
442-2		h a														
368-2		d ɔ ɔ n														
1778-2		b ɔi̯ ʔ														
957-2		n a ʔ														
1704-2		ʔ a														
304-2		ɔ ɔ														
1796-2		dʑ ɔ n														
720-2		d eː h														
287-2		a o ɔi̯ b														
321-2		kʰ ɔi̯ h														
206-2		d ɔ														
1950-2		ʔ a ɔ														
665-2		b ɔ ɔ n														
703-2		n a														
1290-2		m a														
1391-2		kʰ ɔ ʔ														
269-2		a o ɔ ʔ														
855-2		dʑ ɔ n														
2078-2		kʰ a														
2213-2		m a														
1111-2		g a														
485-2		n a														
1356-2		m a h														
