COGID	1	10	2	3	4	5	6	7	8	9
2689-1	tʃ i m a									
893-1	i m d a ɔ									
1285-1	ŋ w a i									
1303-1	l g a m a									
2197-1	s l a l a									
2828-1	z i n a									
3572-1	s ɔ v ɔ									
1095-1	l i m a									
1755-1	ŋ n a									
1789-1	k a ŋ a á n g ɔ									
3207-1	β a l a									
3519-1	β ʊ v a									
3686-1	a ɔ m b a									
4249-1	β a v a									
4451-1	β a s ɔ									
448-1	m l l i l a									
630-1	β ɛ ɛ l ɛ									
814-1	g ɛ ɛ m b a									
1216-1	g i β i b a									
1228-1	p w a a									
1418-1	β i l a n a a									
1475-1	g i a									
2026-1	t a ɛ i									
2775-1	s i u m b a									
3397-1	β a l a									
3826-1	s a k a									
4003-1	i i ʊ n a									
4040-1	g a v a									
4373-1	l i f i									
4384-1	i f i									
84-1	s u g u m a									
116-1	s ɛ k a									
181-1	g a á ŋ g ɛ									
419-1	ʊ ɔ h ɔ									
587-1	a ɔ n g a									
660-1	a ɛ l a									
848-1	k a m a									
1083-1	β i l a									
1122-1	β u m m									
2689-2		s a m a								
893-2		a n b k a								
1303-2		n k a l a								
2197-2		s g a l a								
2828-2		s a n a								
3572-2		s a s a								
1095-2		l e n a								
1789-2		k a n a a ŋ g a								
3207-2		w j l a								
3519-2		k a m a								
3686-2		k a m b a								
4249-2		k a s a								
4451-2		w a s a								
448-2		w i g e l i								
630-2		l a e l i								
814-2		s a a m b a								
1216-2		t a v l b a								
1228-2		p w a a								
1418-2		s a l a n a a								
1475-2		i a								
2026-2		t a a								
3826-2		s a t a								
4003-2		p a a n a								
4373-2		a a s i								
4384-2		a s i								
84-2		s u g u m a								
116-2		s a k a								
419-2		w o v a								
587-2		o a ŋ b o								
660-2		n a m a								
848-2		t a a a								
1122-2		w u m a								
2689-3			m a m a							
893-3			e a n a d a							
1285-3			s a a							
1303-3			β x a m o							
2197-3			s a l a							
2828-3			β a n a							
3572-3			s a n o							
1095-3			l i m a							
1755-3			i l u							
1789-3			x a a a a n g a							
3207-3			β i l a							
3519-3			f a n a							
3686-3			tʰ a m b a							
4249-3			x a l a							
4451-3			β a x a							
448-3			β a a l a							
630-3			β e e l e							
1216-3			k e β a n a							
1228-3			s w a							
1418-3			β i l i a d a							
1475-3			k i a							
3397-3			β i l a							
4003-3			a a k x a							
4040-3			β a l a							
4373-3			l e s i							
4384-3			i l e							
181-3			f i o ŋ g a							
419-3			m o k a							
587-3			ìì a n d o							
660-3			β a l a							
1083-3			β i l a							
2689-4				ɲ a m a						
893-4				i u m e a						
1285-4				t á o e						
3572-4				ɲ a n o						
1755-4				i n o						
1789-4				t á l i n g o						
3686-4				t w m g a						
4451-4				b á n o						
1216-4				k u n dʒ i						
4003-4				p i á dʒ a						
419-4				l u g i						
1122-4				b o n e						
2689-5					s i m					
893-5					e e n u d a					
1285-5					s w a					
1303-5					l k á m					
2197-5					s k i l a					
2828-5					ʃ i n					
3572-5					s o ʃ					
1095-5					l i m					
3207-5					f u β a					
3519-5					k á m					
3686-5					k m d					
4249-5					k á m					
448-5					l a k t l a					
630-5					β e e l i					
814-5					s e m g					
1228-5					p w a					
1418-5					β e l u u e					
2026-5					t e					
2775-5					t i m g a					
3397-5					β i l i					
3826-5					l e k					
4040-5					t á m o					
4373-5					l i ʃ i					
4384-5					i l i					
84-5					f u k a m					
116-5					s e k					
587-5					i ŋ g					
848-5					t					
1303-6						m k i l				
1755-6						a s a				
448-6						m a ɲ ɔ l a				
1475-6						k l				
3397-6						s a l a				
2689-7							a m a			
893-7							á o n i k a			
1285-7							ŋ i a			
1303-7							s k á m e			
2197-7							s m i a			
2828-7							z o n a			
3572-7							s e v e			
1095-7							z u a			
1755-7							m ɲ e			
1789-7							ɣ n n o a n g e			
3519-7							k á m a			
3686-7							k á m b a			
4249-7							k á m e			
4451-7							v i s a			
814-7							s a m b a			
1216-7							t e i v a			
1475-7							g e			
2026-7							b e e			
2775-7							tʃ u m b a			
3826-7							s e k a			
4003-7							u k e			
4040-7							ɣ á ɲ o			
84-7							ɣ u m a			
116-7							s e k a			
181-7							k a ŋ g a			
419-7							v o k o			
587-7							i ŋ k a			
660-7							v á n u			
848-7							h a ɲ u			
1122-7							v u m a			
2689-8								dʒ a m a		
1285-8								t w a		
1303-8								k a r a		
2197-8								ʃ k a r a		
2828-8								a m a		
3572-8								k a n a		
1755-8								t r a		
1789-8								t á r a a ŋ g a		
3207-8								f a r a		
3519-8								k a m a		
3686-8								k a m d a		
4249-8								k a r a		
4451-8								k á r a		
814-8								r a m d a		
1228-8								t a a		
2026-8								t a a		
2775-8								k a m g a		
3826-8								t a k a		
4040-8								t a n a		
181-8								k i m d a		
660-8								k a r a		
848-8								t a a		
1083-8								a a r a		
2689-9									ɲ a m a	
893-9									i á n a b a	
1285-9									s w a a	
1303-9									ŋ k a l a	
2197-9									s g i l a	
2828-9									b e n a	
3572-9									s e z a	
1095-9									s e m a	
1789-9									t á n á a n g a	
3207-9									b i l a	
4249-9									b á z a	
4451-9									b i s a	
630-9									b e l i	
814-9									s á m b a	
1228-9									k w a	
1418-9									b e m i a o a	
1475-9									k n a	
2026-9									k e e a	
2775-9									i m b a	
3397-9									b i l a	
3826-9									s e g a	
4003-9									s i i s a	
4040-9									g a l a	
4373-9									b i z i	
4384-9									e l i	
116-9									s e k a	
181-9									i l ŋ g a	
1083-9									b i l a	
2689-10										b u m a
893-10										ɛ ɔ n ɛ a
1285-10										f i a a
2197-10										ts χ i m a
2828-10										f i n a
1095-10										ts u m a
1755-10										a m a
3207-10										b u f a
3519-10										f u n a
448-10										b a ɬʰ d l a
630-10										b ɛ o l a
1216-10										t ɛ b ɛ l a
1418-10										b ɛ l á l l a
2775-10										ts i i m χ a
3397-10										f a l a
4373-10										l ɛ l a
4384-10										a l a
84-10										b á χ ʊ m a
1083-10										tɬʰ ɔ l a
1122-10										l ʊ m a
