COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i ʔ									
56-1	o m i ʔ									
96-1	a t ʔ									
99-1	a r i z a ʔ									
114-1	t o k									
115-1	o n									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k o n ʔ									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	m o m ʔ									
65-1	i w									
74-1	p a n a									
106-1	t o n e ʔ									
128-1	p o k									
147-1	t o n i									
231-1	p a n a w o ʔ									
232-1	p i p i w o ʔ									
239-1	n a m a k a n									
266-1	i z i m ʔ									
51-1	o w e ʔ									
97-1	m a p o m									
109-1	o p w i k									
121-1	k a p a w a k									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n ʔ									
52-2		t a t ã								
56-2		i m e								
96-2		a r a s								
99-2		a r o r e m								
114-2		t o k i s i								
115-2		i r a s i								
133-2		t a p r a s i								
144-2		i r a r a s i								
150-2		k a j								
234-2		k e m								
236-2		p a k a m								
241-2		a j ã n								
249-2		i s e								
74-2		p a m ã								
93-2		t o p a r i s i								
95-2		w i k i s i								
106-2		t a m e s ã								
119-2		i w i t i s i								
128-2		s a k a s i								
147-2		t i m i s ã								
231-2		t a m a ã								
232-2		i t i j a i								
239-2		m a m a k a n								
266-2		i t i n								
51-2		i w i								
55-2		i s a m								
97-2		n i e m a s i								
121-2		k a p i w a k i s i								
163-2		i p i m								
52-3			t i a							
56-3			i m e							
96-3			a t a t							
99-3			a t i p a m t a							
114-3			t i tʃ i tʃ i							
115-3			t i i a tʃ e							
133-3			t e t a a tʃ e							
144-3			i t i r a tʃ e							
150-3			tʃ a w							
234-3			a tʃ i m							
236-3			k i tʃ i m							
241-3			a w i m							
249-3			h i							
1-3			w a a							
2-3			a w i m							
65-3			a w							
93-3			k i k a r i tʃ e							
95-3			a w i							
106-3			e m i tʃ e							
119-3			ɲ a t i tʃ e							
128-3			i tʃ i tʃ i							
147-3			i m i tʃ e							
231-3			t a m a t i							
232-3			u p i w a							
239-3			a m a tʃ a m							
266-3			a t i m							
3-3			a ɲ i k a							
4-3			w a w a							
55-3			m i a m							
109-3			p a tʃ e							
121-3			u e a a a a a a m							
149-3			tʃ e k m m							
160-3			tʃ i w i							
52-4				i t o						
56-4				u m e						
96-4				a t						
99-4				a r i						
114-4				t o k						
115-4				u r						
133-4				t i p a n						
144-4				o t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				o m						
65-4				i w						
74-4				p a n a						
93-4				t i p a						
95-4				i						
106-4				t u m a						
119-4										
128-4				p o k						
147-4				t u m e						
231-4				p a m a w o						
232-4				p i						
239-4				m a m a k a n						
266-4				i s i m						
3-4				o						
4-4				w o w i						
51-4				u w e						
97-4				a p u m						
109-4				o p e k						
121-4				k a p a w a						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
52-5					a t i					
56-5					i m a					
96-5					a r a s i					
99-5					a r a r o n					
114-5					t o k o s i					
115-5					i r i s i					
133-5					t i p r a s i					
144-5					a w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					a w i n					
249-5					i s i					
1-5					w a t a ʔ					
2-5					w i r m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					k i t i					
106-5					t i n s i					
119-5					i t i s i					
128-5					f o k o s i					
147-5					t i m i s i					
239-5					m a m a k a n					
266-5					i t i m					
3-5					w a r i k i a					
4-5					w a r i					
51-5					i w i					
55-5					i f i m					
97-5					a f r o m a n					
109-5					i p i j i s i					
149-5					t o k i					
160-5					k i r i k					
163-5					i p i m					
