COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	tɬ k i + n e x + tɬ i								
8-1	w e j t								
16-1	tɬ e s + tɬ i								
24-1	i s t i tɬ								
32-1	m i k i								
51-1	o n +								
52-1	w aː k + tɬ								
53-1	n a k a s + tɬ								
54-1	tɬ aː l i l								
55-1	k w a								
60-1	iː x + t o oː + t								
1-2		n u tʃ i							
2-2		+ n e x i							
8-2		w eː j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w e k + k u k							
53-2		n a k a s							
54-2		t a h l i							
55-2		k w							
60-2		i x t l u l u							
1-3			m o tʃ i n						
2-3			ʔ a n e x + ʔ i						
8-3			w eː ʔ j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			ʔ o n + i						
52-3			w aː k + ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a ʔ						
60-3			iː x + t l o l o						
1-4				n o tʃ i					
2-4				+ n e x i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t o tɬ					
1-5					m o tʃ i				
2-5					k a n e x + t i				
8-5					w e j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + a				
52-5					aː g + i k				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b a				
60-5					i x o o				
1-6						n u tʃ i			
2-6						k a + n e x + t i			
8-6						w e j i +			
16-6						e s + t i			
24-6						i s t i +			
32-6						m i k i			
51-6						+ u n + i			
52-6						w a k + t u k			
53-6						n a k a s			
54-6						t a l i			
55-6						k w a			
60-6						iː x t e l u l u + +			
1-7							n o		
2-7							n e x + t		
8-7							w e		
16-7							e Ø + t		
24-7							Ø t		
32-7							k u		
51-7							o n + u		
52-7							w a k + k		
53-7							n a k a Ø		
54-7							t a u		
55-7							k w a		
60-7							x e		
1-8								n o tʃ ɨ +	
2-8								+ n ɨ x + tɬ ɨ	
8-8								w eː j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k	
51-8								o n + iː	
52-8								w aː k + k ɨ	
53-8								n a k a s + t ɨ	
54-8								tɬ aː l + l ɨ	
55-8								k w a	
60-8								iː x + t k o l k +	
1-9									n o tʃ iː
2-9									iː iː + n e x + tɬ i
8-9									b e j + iː
16-9									e s + tɬ iː
24-9									iː s t e + tɬ
32-9									m iː k i
51-9									+ o n + iː iː iː
52-9									b ø k + t iː k
53-9									n a k a s + tɬ
54-9									tɬ ø l iː
55-9									k w ø +
60-9									i x + t + l o l u + +
