COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
872	pʰ u ŋ k a			pʰ u ŋ k a				
773	g a ɾ a ŋ tʃ i ŋ n a ŋ			g ă z a ŋ tʃ i ŋ n a	g a ɾ a ŋ tʃ i ŋ n a ŋ		g a ɾ a ŋ tʃ i ŋ n a ŋ	
627		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i		g a ɾ a ŋ k i l i	g a ɾ a ŋ k i l i
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
2209	b i t i ŋ p i n l a	b i t i ŋ p e w o	b i t i ŋ p e w o	b i t i ŋ pʰ i tʃʰ a m	b i t i ŋ p æ kʰ ə n	p i t i ŋ		
964			tʰ i m l u ŋ			tʰ i m l u ŋ		
990		tʃ o tʃ o			tʃ o tʃ o	tʃ o tʃ o	tʃ o tʃ o	tʃ o
2681	b a l a ŋ b u	b a l u ŋ b o	b a l u ŋ b o		b a l a ŋ b u	b a l u ŋ b o	b a l a ŋ b u	b a l a ŋ b u
2608					j a m l o k		j a m l o k	
2555				g a tʃ a	k a tʃ u		k a tʃ u	
2646		h a ŋ j a				h a ŋ j a		
1415	ɾ a	ɾ a	ɾ a		ɾ a	ɾ a	ɾ a	ɾ a
2765	i n i ŋ			i ɲ i ŋ				i n i ŋ
55	d̪ a i b a	d̪ a ʃ i b a k		d̪ a i b a		d̪ a ʃ i b a k	d a ʃ i	d̪ a ʃ i b a k
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
863	s e		s e	s e				
1584	g a ɾ i l a m	g a ɾ i l a m			g a ɾ i l a m	g a ɾ i l a m		g a ɾ i l a m
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
1761					s a ʔ	s a h̥		
535	s o s o		s o s o	s o s o	s o s o	s o s o	s ŭ s u	s o s o
389		g o g a	g o g a		g o g a	g o g a	g o g a	g o g a
1629					ŋ o n b u		ŋ o n b u	
2149					n u p kʰ ə n		n u p kʰ ə n	
962	s e m				s e m			s e m
134	dʒ a p							dʒ a p
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
2638		p e t̪ a r				b e t̪ a r		
2445		t̪ a m tʃ u				t̪ a m tʃ u		
